pair,entry_time,exit_time,entry_price,exit_price,peak_price,structure_high,pnl,pnl_pct,bars_to_exit,peak_capture,exit_reason
250_2PN3nnNg,2026-06-30 05:58:00+00:00,2026-06-30 06:03:00+00:00,0.00010814,0.00011617,0.0001211,0.00011361,8.03e-06,7.4259,5,61.98,case1_divergence_fulfilled
250_2PN3nnNg,2026-06-30 06:04:00+00:00,2026-06-30 06:09:00+00:00,0.00011067,0.00011404,0.00011724,0.00011361,3.37e-06,3.0455,5,51.29,case1_divergence_fulfilled
250_2PN3nnNg,2026-06-30 06:32:00+00:00,2026-06-30 06:33:00+00:00,0.00010749,0.00011783,0.00011888,0.00011712,1.034e-05,9.6235,1,90.83,case1_divergence_fulfilled
250_2PN3nnNg,2026-06-30 06:34:00+00:00,2026-06-30 06:35:00+00:00,0.00011553,0.00011798,0.00011866,0.00011712,2.45e-06,2.1175,1,78.32,case1_divergence_fulfilled
250_2PN3nnNg,2026-06-30 06:36:00+00:00,2026-06-30 06:42:00+00:00,0.0001148,0.00011736,0.0001192,0.00011712,2.55e-06,2.2247,6,58.06,case1_divergence_fulfilled
250_8D8cEe27,2026-06-29 09:15:00+00:00,2026-06-29 09:16:00+00:00,0.00011857,0.00011871,0.00011873,0.00011849,1.5e-07,0.1237,1,0.0,case1_divergence_fulfilled
250_8D8cEe27,2026-06-29 09:17:00+00:00,2026-06-29 09:18:00+00:00,0.00011867,0.00011866,0.00011882,0.00011849,-1e-08,-0.0062,1,0.0,case1_divergence_fulfilled
250_8D8cEe27,2026-06-29 09:19:00+00:00,2026-06-29 09:21:00+00:00,0.00011846,0.00011852,0.00011867,0.00011849,6e-08,0.054,2,0.0,case1_divergence_fulfilled
250_8D8cEe27,2026-06-29 09:22:00+00:00,2026-06-29 09:27:00+00:00,0.00011843,0.00011855,0.00011855,0.00011849,1.2e-07,0.0989,5,0.0,case1_divergence_fulfilled
250_8D8cEe27,2026-06-29 09:28:00+00:00,2026-06-29 09:30:00+00:00,0.0001184,0.00011864,0.00011864,0.00011849,2.4e-07,0.2038,2,0.0,case1_divergence_fulfilled
3D9aEAFjgepcWSbVp9L1QFb8A9khDX45pZ3wx6RdaVVr_8ubws2HW,2026-06-29 21:00:00+00:00,2026-06-29 21:02:00+00:00,2.206e-05,2.224e-05,2.3e-05,2.223e-05,1.8e-07,0.7969,2,18.78,case1_divergence_fulfilled
3D9aEAFjgepcWSbVp9L1QFb8A9khDX45pZ3wx6RdaVVr_8ubws2HW,2026-06-29 21:03:00+00:00,2026-06-29 21:54:00+00:00,2.205e-05,2.286e-05,2.286e-05,2.223e-05,8.1e-07,3.654,51,99.65,case1_divergence_fulfilled
3D9aEAFjgepcWSbVp9L1QFb8A9khDX45pZ3wx6RdaVVr_8ubws2HW,2026-06-29 23:28:00+00:00,2026-06-30 03:45:00+00:00,4.52e-06,3.819e-05,3.844e-05,3.667e-05,3.367e-05,744.6497,257,99.28,case1_divergence_fulfilled
3D9aEAFjgepcWSbVp9L1QFb8A9khDX45pZ3wx6RdaVVr_8ubws2HW,2026-06-30 05:01:00+00:00,2026-06-30 06:44:00+00:00,4.76e-06,4.61e-06,2.119e-05,7.498e-05,-1.5e-07,-3.224,103,-0.94,end_of_data
ANSEM_3dRq7bo2,2026-06-29 23:47:00+00:00,2026-06-30 00:03:00+00:00,1.717e-05,1.866e-05,1.866e-05,1.843e-05,1.49e-06,8.6577,16,100.0,case1_divergence_fulfilled
ANSEM_3dRq7bo2,2026-06-30 01:01:00+00:00,2026-06-30 01:02:00+00:00,2.056e-05,2.16e-05,2.179e-05,2.012e-05,1.03e-06,5.0223,1,84.47,case1_divergence_fulfilled
