ticker,status,composite,obv_score,cvd_score,vwap_score,vol_score,up_ratio,vwap,last_close,bars
FABC,ok,0.7155,0.699,1.0,1.0,0.0,0.8784,3.8253,4.1199,40
ENGS,ok,0.693,0.5809,0.9361,0.2326,1.0,0.7152,2.62,2.55,40
ADTX,ok,0.6795,0.5125,0.7818,0.3145,1.0,0.7886,0.0024,0.0024,40
GIPR,ok,0.6789,0.6441,0.8836,0.4438,0.5,0.9229,0.1657,0.1648,40
SNOA,ok,0.6629,0.5342,0.4996,0.9098,0.5,0.871,1.2104,1.26,40
UBXG,ok,0.6489,0.4182,1.0,1.0,0.0,0.8261,7.2946,8.27,40
CTNT,ok,0.6333,0.4331,0.8953,1.0,0.5,0.3382,1.5318,1.9874,40
TVRD,ok,0.5848,0.5011,1.0,0.8259,0.0,0.5968,1.8885,1.95,40
PHGE,ok,0.5805,0.5353,0.706,1.0,0.0,0.6611,0.3345,0.3771,40
ARTL,ok,0.5628,0.5748,0.6456,0.4602,0.5,0.6332,1.0843,1.08,40
ELMT,ok,0.559,0.566,0.7404,0.3973,0.5,0.5914,19.1467,18.95,40
NAMM,ok,0.5362,0.5911,0.9451,0.4628,0.0,0.6821,1.8963,1.8893,40
SPPL,ok,0.5345,0.4629,0.5178,0.4643,1.0,0.2276,3.904,3.89,40
GDC,ok,0.5268,0.5215,0.6836,1.0,0.0,0.4291,2.4079,2.6482,40
NXTS,ok,0.5218,0.5717,0.8245,0.5339,0.0,0.6788,4.5346,4.55,40
MBRX,ok,0.5215,0.5738,0.8547,0.5724,0.0,0.6065,3.5245,3.55,40
CNEY,ok,0.509,0.5792,0.7632,0.1833,0.5,0.5194,0.4614,0.4468,40
PLCE,ok,0.5073,0.5374,0.6421,0.599,0.1372,0.6207,3.0003,3.03,40
LGHL,ok,0.5012,0.4179,0.4508,0.7124,0.5,0.425,0.3089,0.3155,40
LGCL,ok,0.4986,0.5005,0.5534,1.0,0.0,0.4389,0.8388,0.9153,40
AZI,ok,0.4938,0.4545,0.8274,0.5371,0.0,0.6498,2.7597,2.77,40
BNBX,ok,0.492,0.6876,0.9065,0.0,0.0,0.8657,0.4544,0.352,40
LNZA,ok,0.4816,0.5437,0.3658,0.408,0.5,0.5903,7.7917,7.72,40
RDGT,ok,0.4803,0.4909,0.6153,0.7493,0.0,0.5457,1.5318,1.57,40
OCC,ok,0.4776,0.5817,0.2917,0.4522,0.5,0.5626,20.2467,20.1499,40
BIYA,ok,0.474,0.4271,0.8647,0.6423,0.0,0.4359,0.282,0.286,40
ASTI,ok,0.4711,0.5224,0.2192,0.53,0.5,0.584,5.0738,5.089,40
VIVO,ok,0.4704,0.543,0.6127,0.6811,0.0,0.5153,5.2941,5.39,40
QTTB,ok,0.4688,0.5527,0.3493,0.3057,0.5,0.6361,14.4916,14.21,40
CIIT,ok,0.4678,0.5112,0.9619,0.2596,0.0,0.6063,0.6661,0.6501,40
BIRD,ok,0.4667,0.4745,0.7297,0.5831,0.0,0.5463,4.268,4.3035,40
BYAH,ok,0.4608,0.452,0.7167,0.5108,0.0,0.6242,1.1393,1.1405,40
LBGJ,ok,0.4592,0.5151,0.533,0.2064,0.5,0.5416,1.257,1.2201,40
SWMR,ok,0.4474,0.4941,0.4966,0.698,0.0,0.5485,48.4409,49.4,40
WSHP,ok,0.4381,0.5808,0.4186,0.4997,0.0,0.6916,8.8002,8.8,40
CYCU,ok,0.4362,0.4332,0.5032,0.4403,0.5,0.3045,0.6026,0.599,40
VIVS,ok,0.4308,0.3003,0.7905,0.4235,0.5,0.1397,1.0581,1.05,40
TOYO,ok,0.4281,0.48,0.2775,0.4186,0.5,0.4646,7.3095,7.25,40
