ticker,status,div_composite,rsi_div_detected,rsi_score,rsi_delta,price_delta_pct,rsi_at_sw2,price_sw1,price_sw2,vol_div_detected,vol_score,vol_ratio,vol_sw1,vol_sw2,last_close,bars,sw1_time,sw2_time
NVVE,BOTH_DIV,0.7817,True,0.5633,11.27,-3.08,42.85,0.3544,0.3435,True,1.0,0.0092,112401.0,1031.0,0.3599,78,2026-07-01 13:50,2026-07-01 19:25
HKIT,BOTH_DIV,0.7488,True,0.532,10.64,-0.49,33.29,0.2031,0.2021,True,0.9656,0.2071,198714.0,41158.0,0.2163,78,2026-07-01 18:05,2026-07-01 18:55
LGHL,BOTH_DIV,0.6553,True,0.3107,6.21,-0.69,42.09,0.3471,0.3447,True,1.0,0.0086,23073.0,199.0,0.352,78,2026-07-01 16:15,2026-07-01 19:15
TRT,BOTH_DIV,0.6105,True,1.0,23.23,-0.11,31.51,11.122,11.11,True,0.221,0.9051,3287.0,2975.0,12.0,78,2026-07-01 14:50,2026-07-01 18:55
UPC,BOTH_DIV,0.5908,True,0.1816,3.63,-2.78,40.33,5.4,5.25,True,1.0,0.1554,7284.0,1132.0,5.56,78,2026-07-01 16:30,2026-07-01 19:30
ZCMD,BOTH_DIV,0.5537,True,0.1073,2.15,-2.73,46.46,1.1,1.07,True,1.0,0.0341,27798.0,949.0,1.12,78,2026-07-01 14:05,2026-07-01 19:20
CVKD,BOTH_DIV,0.5255,True,0.0509,1.02,-0.0,43.21,3.0,2.9999,True,1.0,0.1541,4548.0,701.0,3.17,78,2026-07-01 13:40,2026-07-01 18:50
TC,BOTH_DIV,0.4782,True,0.2669,5.34,-1.52,39.44,4.17,4.1067,True,0.6895,0.2901,305946.0,88748.0,4.384,78,2026-07-01 16:15,2026-07-01 19:35
NXGL,BOTH_DIV,0.4553,True,0.1696,3.39,-0.85,45.41,0.5663,0.5615,True,0.7409,0.2699,4616.0,1246.0,0.566,78,2026-07-01 17:00,2026-07-01 19:15
ELMT,BOTH_DIV,0.3801,True,0.2328,4.66,-0.68,28.9,19.2008,19.07,True,0.5273,0.3793,9813.0,3722.0,19.25,78,2026-07-01 17:50,2026-07-01 18:55
HQ,BOTH_DIV,0.3453,True,0.4146,8.29,-1.02,40.37,27.5,27.22,True,0.276,0.7247,10188.0,7383.0,27.03,78,2026-07-01 17:25,2026-07-01 19:15
CRMT,BOTH_DIV,0.2533,True,0.1206,2.41,-0.72,37.13,2.79,2.77,True,0.3861,0.5181,16093.0,8337.0,2.79,78,2026-07-01 18:35,2026-07-01 19:45
KUST,VOL_DIV,0.25,False,0.0,-5.8,-1.89,41.58,1.3251,1.3001,True,1.0,0.1515,129048.0,19545.0,1.2603,78,2026-07-01 17:00,2026-07-01 18:50
BTOG,VOL_DIV,0.25,False,0.0,,-6.57,44.28,1.3701,1.2801,True,1.0,0.1726,138961.0,23985.0,1.2518,78,2026-07-01 13:55,2026-07-01 19:10
SMJF,VOL_DIV,0.25,False,0.0,-11.83,-0.76,44.07,5.28,5.2401,True,1.0,0.0308,6453.0,199.0,5.2,78,2026-07-01 16:25,2026-07-01 19:25
HUBC,VOL_DIV,0.25,False,0.0,-16.5,-0.68,41.24,1.46,1.4501,True,1.0,0.0915,4830.0,442.0,1.49,78,2026-07-01 14:55,2026-07-01 19:15
ALZN,VOL_DIV,0.25,False,0.0,,-6.87,30.51,1.149,1.0701,True,1.0,0.0732,75676.0,5542.0,1.12,78,2026-07-01 13:35,2026-07-01 19:05
WHLR,VOL_DIV,0.25,False,0.0,-19.78,-5.79,40.69,1.21,1.14,True,1.0,0.085,50132.0,4261.0,0.9896,78,2026-07-01 13:30,2026-07-01 17:30
CRVO,VOL_DIV,0.25,False,0.0,-26.65,-3.49,34.48,3.73,3.6,True,1.0,0.1357,56549.0,7672.0,3.69,78,2026-07-01 16:30,2026-07-01 19:10
PHGE,VOL_DIV,0.25,False,0.0,-0.83,-0.09,46.66,0.3356,0.3353,True,1.0,0.0538,4923.0,265.0,0.3193,78,2026-07-01 18:55,2026-07-01 19:30
CHRN,RSI_DIV,0.25,True,1.0,21.81,-3.4,37.93,18.255,17.635,False,0.0,1.7419,8047.0,14017.0,17.64,78,2026-07-01 15:35,2026-07-01 19:45
IVF,VOL_DIV,0.25,False,0.0,,-0.22,45.56,1.8817,1.8776,True,1.0,0.0163,18724.0,305.0,1.82,78,2026-07-01 13:50,2026-07-01 18:00
NEXR,VOL_DIV,0.25,False,0.0,-22.84,-4.14,34.82,0.6784,0.6503,True,1.0,0.1379,5120.0,706.0,0.6845,78,2026-07-01 15:45,2026-07-01 19:35
ONFO,VOL_DIV,0.25,False,0.0,-8.16,-1.49,47.08,0.3426,0.3375,True,1.0,0.162,6172.0,1000.0,0.3536,78,2026-07-01 17:25,2026-07-01 19:15
ARTL,VOL_DIV,0.25,False,0.0,-10.98,-0.01,47.28,1.0901,1.09,True,1.0,0.0623,4815.0,300.0,1.1,78,2026-07-01 14:55,2026-07-01 18:10
PCLA,VOL_DIV,0.25,False,0.0,-0.45,-0.2,45.35,5.551,5.54,True,1.0,0.1055,13126.0,1385.0,5.7,78,2026-07-01 16:00,2026-07-01 19:15
IMCC,VOL_DIV,0.25,False,0.0,-11.92,-0.52,42.08,0.1539,0.1531,True,1.0,0.0738,22930.0,1692.0,0.1598,78,2026-07-01 15:00,2026-07-01 19:25
HXHX,VOL_DIV,0.25,False,0.0,-6.34,-3.1,39.94,0.471,0.4564,True,1.0,0.1011,15334.0,1551.0,0.4846,78,2026-07-01 16:25,2026-07-01 17:35
ASTC,VOL_DIV,0.25,False,0.0,,-4.56,37.85,12.06,11.51,True,1.0,0.1367,13745.0,1879.0,11.815,78,2026-07-01 14:30,2026-07-01 19:00
RYOJ,VOL_DIV,0.25,False,0.0,-15.42,-2.24,49.38,3.0891,3.02,True,1.0,0.1676,14336.0,2402.0,3.13,78,2026-07-01 15:10,2026-07-01 19:35
SLGB,VOL_DIV,0.25,False,0.0,-12.91,-2.83,41.01,0.66,0.6413,True,1.0,0.1924,2484.0,478.0,0.6595,78,2026-07-01 14:45,2026-07-01 19:00
CIIT,VOL_DIV,0.25,False,0.0,-5.53,-0.12,44.76,0.5947,0.594,True,1.0,0.0324,8213.0,266.0,0.5941,78,2026-07-01 14:35,2026-07-01 19:45
AIRS,VOL_DIV,0.25,False,0.0,-23.93,-4.14,30.52,4.59,4.4,True,1.0,0.1942,23211.0,4507.0,4.41,78,2026-07-01 15:05,2026-07-01 18:55
SIF,VOL_DIV,0.25,False,0.0,-13.47,-2.64,46.17,25.22,24.555,True,1.0,0.1318,10573.0,1394.0,24.51,78,2026-07-01 17:55,2026-07-01 19:00
BELFA,VOL_DIV,0.25,False,0.0,,-0.87,46.95,282.59,280.145,True,1.0,0.0612,4595.0,281.0,281.67,78,2026-07-01 14:00,2026-07-01 19:40
CUPR,VOL_DIV,0.25,False,0.0,-6.88,-7.26,46.59,6.2,5.75,True,1.0,0.1127,10233.0,1153.0,5.96,78,2026-07-01 14:25,2026-07-01 19:35
ICCM,VOL_DIV,0.25,False,0.0,-5.03,-2.56,44.45,5.2854,5.15,True,1.0,0.0788,7873.0,620.0,5.28,78,2026-07-01 14:45,2026-07-01 19:25
FC,VOL_DIV,0.25,False,0.0,-1.47,-1.24,32.69,25.89,25.57,True,1.0,0.1629,12754.0,2078.0,24.99,78,2026-07-01 18:05,2026-07-01 18:55
OCC,VOL_DIV,0.2356,False,0.0,,-4.46,29.11,18.85,18.01,True,0.9426,0.2122,20751.0,4403.0,17.86,78,2026-07-01 14:05,2026-07-01 18:50
GSUN,VOL_DIV,0.2298,False,0.0,,-22.75,19.99,0.4549,0.3514,True,0.919,0.2176,1448506.0,315232.0,0.3977,78,2026-07-01 14:20,2026-07-01 19:45
RDGT,VOL_DIV,0.2275,False,0.0,-25.84,-2.33,43.5,1.5204,1.485,True,0.91,0.2198,4732.0,1040.0,1.45,78,2026-07-01 14:10,2026-07-01 18:15
TNMG,VOL_DIV,0.2255,False,0.0,-18.97,-8.59,35.67,0.6567,0.6003,True,0.9019,0.2217,28028.0,6215.0,0.6516,78,2026-07-01 16:25,2026-07-01 18:45
LGCL,VOL_DIV,0.1938,False,0.0,-40.27,-11.11,29.59,1.89,1.68,True,0.7753,0.258,101054.0,26068.0,1.85,78,2026-07-01 14:55,2026-07-01 19:20
DXST,VOL_DIV,0.1897,False,0.0,-14.57,-1.02,31.01,1.95,1.9301,True,0.7589,0.2635,27834.0,7335.0,2.05,78,2026-07-01 14:15,2026-07-01 19:25
SDOT,BOTH_DIV,0.1843,True,0.0694,1.39,-0.28,39.53,69.6329,69.44,True,0.2992,0.6684,67630.0,45203.0,75.51,78,2026-07-01 18:25,2026-07-01 19:20
EDBL,VOL_DIV,0.1802,False,0.0,,-1.23,45.14,0.163,0.161,True,0.7207,0.2775,98911.0,27447.0,0.1625,78,2026-07-01 14:30,2026-07-01 19:20
CELZ,BOTH_DIV,0.1539,True,0.0586,1.17,-0.01,43.51,1.2201,1.22,True,0.2492,0.8025,42236.0,33893.0,1.26,78,2026-07-01 18:55,2026-07-01 19:30
AIDX,VOL_DIV,0.1496,False,0.0,-5.58,-1.49,39.64,0.6101,0.601,True,0.5985,0.3342,12805.0,4279.0,0.6095,78,2026-07-01 17:30,2026-07-01 19:40
EHGO,VOL_DIV,0.1403,False,0.0,-5.65,-3.96,44.21,2.5199,2.42,True,0.561,0.3565,796079.0,283802.0,2.5001,78,2026-07-01 19:05,2026-07-01 19:45
AUUD,VOL_DIV,0.1296,False,0.0,-15.67,-1.84,38.06,1.345,1.3203,True,0.5182,0.386,4954.0,1912.0,1.36,78,2026-07-01 16:10,2026-07-01 18:50
CODX,VOL_DIV,0.1211,False,0.0,-22.92,-7.28,45.4,3.1817,2.95,True,0.4844,0.4129,167332.0,69090.0,3.08,78,2026-07-01 14:50,2026-07-01 19:35
BIRD,VOL_DIV,0.1113,False,0.0,-10.0,-0.83,42.91,4.094,4.06,True,0.4451,0.4494,3781.0,1699.0,4.02,78,2026-07-01 14:30,2026-07-01 19:25
