Strategy,Avg_Capture,Median_Capture,P25_Capture,P75_Capture,Avg_Gain_Pct,Loss_Rate_Pct,N_Trades
Triple+HMMDist,82.4636701828056,85.18519826713832,73.47574875091847,92.79278737462849,153.99066165582678,2.8368794326241136,141
VolDiv+Effort+Mom,79.68755502184639,84.78861288059365,69.99996821087633,92.79278737462849,150.67904069329526,2.8368794326241136,141
VolDiv+Effort,68.27834013186477,78.62174887840106,47.24147252333501,88.57377032200773,113.46932717026526,3.546099290780142,141
VolDiv->MSF,33.542073341567225,19.672129545696386,0.4096395024922402,68.15985885247994,73.07655258022886,21.27659574468085,141
VolDivBearish,33.508294194218315,12.112000252610503,1.5384417878092909,64.35713032801263,73.82653386816143,14.184397163120568,141
EffortVsResult,27.635433936364578,7.585670916296332,-0.23094941278137762,57.005537722925666,57.84211284364944,25.53191489361702,141
Trail_15pct,18.884788080450633,32.259370027181134,-2.8685621607974174,81.71585175583397,16.2536981081748,33.33333333333333,141
Trail_10pct,16.08159674502133,3.3425922900724387,-1.924118146814294,67.60959530498516,6.917450779771543,39.00709219858156,141
Trail_8pct,13.188122630370108,1.6161598184743582,-6.393574303341386,64.35713032801263,5.954896473186119,43.262411347517734,141
OFI_proxy,9.738110553184892,0.21315874957105627,-4.285731802186095,32.155771160667456,15.786125259048648,41.13475177304964,141
Composite_2of5,6.3160571771582,0.07407533321206362,-5.172408477588553,18.000010430815024,7.16692625148273,45.39007092198582,141
MomentumDiv,6.295619018977342,4.649004428743555,-2.5380686086363924,22.439029382709787,10.192307577854555,35.46099290780142,141
Trail_5pct,5.3235654696036,-0.7125616420305211,-9.449155008063826,16.165141371260933,4.668890429717699,58.156028368794324,141
FixedBar_10,5.227485493944798,0.5328591951263683,-3.2930928695429658,12.739972367815083,6.538652076865908,40.42553191489361,141
MSF_lookback5,4.19986244833555,0.21293096177825224,-5.882348816286517,10.783188571841773,11.874599926145908,46.808510638297875,141
AdaptiveATR_3.5x,4.1638757061977145,0.0,-1.262932408543359,5.147037683468402,6.478273183568328,34.04255319148936,141
FixedBar_8,4.008276896897897,1.4273514107411112,-4.798579554554898,11.634502618220441,6.4123090510587275,41.13475177304964,141
MSF,3.243168539931698,0.0,-3.4482723183923683,7.619548150065864,9.791275857475528,48.226950354609926,141
Triple+ATRStop,3.043798520259445,0.0,-2.2097513810503817,2.0019693938774865,6.566568386098796,37.5886524822695,141
MSF+Trail_15pct,2.7627813832653376,0.0,-3.4482723183923683,9.713442979131928,6.9864256755164895,47.5177304964539,141
VolumeExhaustion,2.399043097303567,0.21137844038764536,-2.4508156699224153,7.8481685293307875,6.549631035574436,43.262411347517734,141
FixedBar_5,1.7026515910182018,0.0,-2.573588964863404,7.382103297487492,5.262393027010818,46.09929078014184,141
AdaptiveATR_2.5x,1.4880346389591659,0.0,-2.2097513810503817,1.6667434903822005,6.448972488895403,37.5886524822695,141
Combined_8pct+Red,1.3753608399891444,0.09603815858831138,-3.676485540961374,7.117398348819513,4.418816550254996,46.09929078014184,141
FirstRedBar,1.3654198885596838,0.13440848154915686,-3.396539601220292,9.077375482708906,4.73567228968819,45.39007092198582,141
MomentumReversal,0.7657450533092875,0.18691651258250458,-3.396539601220292,5.94534422328753,4.853548839834654,41.13475177304964,141
FixedBar_3,0.12076293802928476,0.8782512264564215,-2.4508156699224153,5.3380657309117465,5.169038566648418,38.297872340425535,141
