ticker,entry_price,peak_price,exit_price,exit_bar,peak_capture,gain_pct,total_bars
BAOS,2.6700000762939453,3.819999933242798,2.9049999713897705,26,20.43477602852233,8.801493946847124,133
BAOS,2.6700000762939453,3.819999933242798,2.9049999713897705,26,20.43477602852233,8.801493946847124,133
BAOS,2.6700000762939453,3.819999933242798,2.9049999713897705,26,20.43477602852233,8.801493946847124,133
CCTG,0.6150000095367432,4.5,0.6114000082015991,35,-0.0926641272582029,-0.5853660616779163,378
BGI,0.6899999976158142,0.7099999785423279,0.6830000281333923,8,-34.99988079059676,-1.0144883342911828,9
AIOS,7.409999847412109,33.86989974975586,33.029998779296875,20,96.82575907861016,345.74898055945806,20
CLWT,1.2649999856948853,2.25,1.2050000429153442,31,-6.091364660727342,-4.743078534232715,189
CHNR,4.070000171661377,5.329999923706055,4.800099849700928,11,57.9444302949087,17.93856627139953,11
BGI,0.6899999976158142,0.7099999785423279,0.6830000281333923,8,-34.99988079059676,-1.0144883342911828,9
CHNR,4.070000171661377,5.329999923706055,4.800099849700928,11,57.9444302949087,17.93856627139953,11
CHNR,4.070000171661377,5.329999923706055,4.800099849700928,11,57.9444302949087,17.93856627139953,11
BGI,0.6899999976158142,0.7099999785423279,0.6830000281333923,8,-34.99988079059676,-1.0144883342911828,9
CCTG,0.6150000095367432,4.5,0.6114000082015991,35,-0.0926641272582029,-0.5853660616779163,378
BGI,0.6899999976158142,0.7099999785423279,0.6830000281333923,8,-34.99988079059676,-1.0144883342911828,9
BGMS,0.9950000047683716,2.240000009536743,1.000100016593933,35,0.4096395024922402,0.5125640001126198,209
BTOG,2.049999952316284,2.2625999450683594,2.1201000213623047,47,32.972752321665475,3.4195156427596407,78
APWC,1.382699966430664,2.26990008354187,2.0880000591278076,163,79.49729481479969,51.00890358143442,163
CCTG,0.6150000095367432,4.5,0.6114000082015991,35,-0.0926641272582029,-0.5853660616779163,378
CIIT,1.440000057220459,3.4200000762939453,1.5450999736785889,22,5.3080765376613455,7.298605019571847,245
ACCL,1.4019999504089355,2.1600000858306885,1.465000033378601,19,8.311355107425165,4.493586676040157,165
AHMA,1.0700000524520874,5.400000095367432,1.059999942779541,18,-0.23094941278137762,-0.934589643208842,573
BBGI,22.799999237060547,24.989999771118164,23.260099411010742,13,21.00913523969444,2.0179832866060785,457
