ticker,entry_price,known_peak,exit_price,exit_bar,peak_bar,exited_before_peak,peak_capture,gain_pct,total_fwd_bars
BAOS,2.6700000762939453,3.819999933242798,2.9049999713897705,23,56,True,20.43477602852233,8.801493946847124,64
BAOS,2.6700000762939453,3.819999933242798,2.9049999713897705,23,56,True,20.43477602852233,8.801493946847124,64
BAOS,2.6700000762939453,3.819999933242798,2.9049999713897705,23,56,True,20.43477602852233,8.801493946847124,64
CCTG,0.6150000095367432,4.5,0.5701000094413757,21,51,True,-1.1557271610189488,-7.30081291042401,64
BGI,0.6899999976158142,0.7099999785423279,0.6588000059127808,11,35,True,-156.0001072884629,-4.521737943600012,64
AIOS,7.409999847412109,33.86989974975586,8.300000190734863,12,20,True,3.3635816711608952,12.010801101886397,64
CLWT,1.2649999856948853,2.25,1.1699999570846558,7,46,True,-9.644672815284059,-7.509883769527825,64
CHNR,4.070000171661377,5.329999923706055,4.050000190734863,3,11,True,-1.5873003858975763,-0.4914000020385666,64
BGI,0.6899999976158142,0.7099999785423279,0.6588000059127808,11,35,True,-156.0001072884629,-4.521737943600012,64
CHNR,4.070000171661377,5.329999923706055,4.050000190734863,3,11,True,-1.5873003858975763,-0.4914000020385666,64
CHNR,4.070000171661377,5.329999923706055,4.050000190734863,3,11,True,-1.5873003858975763,-0.4914000020385666,64
BGI,0.6899999976158142,0.7099999785423279,0.6588000059127808,11,35,True,-156.0001072884629,-4.521737943600012,64
CCTG,0.6150000095367432,4.5,0.5701000094413757,21,51,True,-1.1557271610189488,-7.30081291042401,64
BGI,0.6899999976158142,0.7099999785423279,0.6588000059127808,11,35,True,-156.0001072884629,-4.521737943600012,64
BGMS,0.9950000047683716,2.240000009536743,0.949999988079071,23,27,True,-3.6144591579879273,-4.522614720969393,64
BTOG,2.049999952316284,2.2625999450683594,2.0999999046325684,59,49,False,23.5183226815026,2.4390221209414906,64
APWC,1.382699966430664,2.26990008354187,1.5430999994277954,11,9,False,18.079352099209203,11.60049445948798,64
CCTG,0.6150000095367432,4.5,0.5701000094413757,21,51,True,-1.1557271610189488,-7.30081291042401,64
CIIT,1.440000057220459,3.4200000762939453,1.4500000476837158,7,16,True,0.5050500185316258,0.6944437545758981,64
ACCL,1.4019999504089355,2.1600000858306885,1.4299999475479126,20,42,True,3.6939303610279426,1.9971467995280605,64
AHMA,1.0700000524520874,5.400000095367432,1.021299958229065,19,53,True,-1.1247134813013349,-4.551410451935764,64
BBGI,22.799999237060547,24.989999771118164,20.70009994506836,44,20,False,-95.88578903684143,-9.210084922191049,64
BQ,0.7599999904632568,1.2999999523162842,0.7710000276565552,7,3,False,2.0370440685868485,1.4473733330698182,64
BGMS,0.9950000047683716,2.240000009536743,0.949999988079071,23,27,True,-3.6144591579879273,-4.522614720969393,64
BCG,1.9199999570846558,2.5,1.8801000118255615,11,44,True,-6.879300397727378,-2.078122195360809,64
ACCL,1.4019999504089355,2.1600000858306885,1.4299999475479126,20,42,True,3.6939303610279426,1.9971467995280605,64
AIHS,1.2200000286102295,1.5399999618530271,1.2000000476837158,12,8,False,-6.24999534338616,-1.6393426604503258,64
CHR,1.659999966621399,2.880000114440918,1.6299999952316284,9,36,True,-2.4590137503990332,-1.8072272284938358,64
APWC,1.382699966430664,2.26990008354187,1.5430999994277954,11,9,False,18.079352099209203,11.60049445948798,64
CIIT,1.440000057220459,3.4200000762939453,1.4500000476837158,7,16,True,0.5050500185316258,0.6944437545758981,64
CCTG,0.6150000095367432,4.5,0.5701000094413757,21,51,True,-1.1557271610189488,-7.30081291042401,64
CCTG,0.6150000095367432,4.5,0.5701000094413757,21,51,True,-1.1557271610189488,-7.30081291042401,64
BQ,0.7599999904632568,1.2999999523162842,0.7710000276565552,7,3,False,2.0370440685868485,1.4473733330698182,64
CCTG,0.6150000095367432,4.5,0.5701000094413757,21,51,True,-1.1557271610189488,-7.30081291042401,64
AGMH,0.8615000247955322,1.4500000476837158,0.8202999830245972,9,62,True,-7.000856443256785,-4.782361066177966,64
BYAH,1.1100000143051147,6.489999771118164,1.2599999904632568,46,53,True,2.788103772090086,13.513511191443136,64
AIOS,7.409999847412109,33.86989974975586,8.300000190734863,12,20,True,3.3635816711608952,12.010801101886397,64
AXIL,6.769999980926514,7.25,6.75,12,13,True,-4.166662527455388,-0.2954206939861255,64
BENF,3.434799909591675,3.869999885559082,3.359999895095825,10,62,True,-17.187504279975304,-2.177710971954164,64
AMBO,2.299999952316284,2.880000114440918,2.220099925994873,4,25,True,-13.775862756438636,-3.4739142599088058,64
CETX,10.850000381469727,11.549999237060549,10.819999694824219,8,21,True,-4.285819384688314,-0.27650401466109403,64
BENF,3.434799909591675,3.869999885559082,3.359999895095825,10,62,True,-17.187504279975304,-2.177710971954164,64
BELFA,237.4949951171875,276.2049865722656,231.375,5,63,True,-15.80985912717027,-2.576894352728445,64
AZI,1.3600000143051147,6.989999771118164,1.3200000524520874,19,3,False,-0.7104789268351577,-2.9411736347271384,64
CIIT,1.440000057220459,3.4200000762939453,1.4500000476837158,7,16,True,0.5050500185316258,0.6944437545758981,64
CHR,1.659999966621399,2.880000114440918,1.6299999952316284,9,36,True,-2.4590137503990332,-1.8072272284938358,64
BKTI,94.52999877929688,97.80999755859376,92.8550033569336,9,55,True,-51.066952613998794,-1.77191943720846,64
AZI,1.3600000143051147,6.989999771118164,1.3200000524520874,19,3,False,-0.7104789268351577,-2.9411736347271384,64
BTBD,1.809999942779541,2.309999942779541,1.8100999593734741,4,37,True,0.020003318786621094,0.005525778845026602,64
BNRG,3.0450000762939453,3.4000000953674316,2.934999942779541,12,10,False,-30.985951437831854,-3.6124837687454154,64
BGMS,0.9950000047683716,2.240000009536743,0.949999988079071,23,27,True,-3.6144591579879273,-4.522614720969393,64
ARTL,4.010000228881836,4.119999885559082,3.799999952316284,3,1,False,-190.90993818437184,-5.236914328658506,64
ANNA,3.809999942779541,4.099899768829346,3.889899969100952,13,52,True,27.561253626859482,2.0971135832385603,64
BNZI,9.055999755859375,9.107999801635742,8.315999984741211,19,0,False,-1423.0752301654256,-8.171375784759407,64
BKTI,94.52999877929688,97.80999755859376,92.8550033569336,9,55,True,-51.066952613998794,-1.77191943720846,64
