Strategy,Avg_Capture,Median_Capture,P25,P75,Avg_Gain_Pct,Loss_Rate,Before_Peak_Rate,Avg_Exit_Bar,N
MSF,-6.7183472214475595,-0.010541216197216745,-4.533542193458659,6.687391275377118,8.813063932046193,50.0,76.66666666666667,5.946666666666666,150
Trail_5pct,-15.576163103025417,-3.02352472306798,-24.958707274528734,4.251011719631185,3.8339434881262444,67.33333333333333,65.33333333333333,13.293333333333333,150
FixedBar_8,-26.799385628463632,0.3075867873124621,-7.996281283537887,9.745920950959263,5.424183178226389,44.666666666666664,76.0,7.0,150
VolumeExhaustion,-32.23378262703294,0.0,-4.508956579685393,6.660930500089735,5.550840510091188,47.333333333333336,78.0,4.766666666666667,150
MomentumDiv,-48.99354127353498,1.6393425002660222,-6.506023851241362,15.498199902342987,8.988500791011013,41.333333333333336,70.0,18.973333333333333,150
MomentumReversal,-65.01507177986808,0.04801907929415569,-6.9533318768162005,4.97163778812756,4.219245195812782,44.0,80.0,3.3333333333333335,150
FirstRedBar,-110.81556961531159,0.0,-8.495620504325652,6.524387792587023,3.8776064069864136,49.333333333333336,78.66666666666666,6.373333333333333,150
FixedBar_32,-159.50432369565493,-0.17920746463185006,-37.86763275867075,13.913031940422716,10.904217542747869,54.0,44.0,30.85333333333333,150
EffortVsResult,-170.1265498492742,2.2418161432575685,-5.788878478985751,35.851974190727645,48.71292124740626,36.666666666666664,53.333333333333336,28.253333333333334,150
OFI_proxy,-173.1212911878497,-0.018896520001609064,-13.42302540288596,15.069400040429802,10.972177121399024,50.0,63.33333333333333,15.566666666666666,150
Trail_10pct,-198.285643846885,-1.8062013327021237e-06,-30.9888826574891,13.934430794765307,3.6918355729885524,50.66666666666667,31.333333333333336,33.04666666666667,150
FixedBar_16,-204.4304504440742,-0.42471032756258087,-18.428499190028454,10.336606850711272,5.200422761011453,54.0,60.66666666666667,14.96,150
VolDiv->MSF,-242.7940029958513,0.586527211061135,-11.695768672607775,21.00913523969444,58.31966456908541,42.66666666666667,47.333333333333336,36.66,150
VolDivBearish,-254.74999985797118,2.380931656733188,-3.987064975189633,22.00200841298428,58.02368753478714,36.0,52.0,34.35333333333333,150
VolDiv+Effort,-303.76058834114826,0.24731653499733752,-24.407152023906644,19.114757785806923,60.78737641919235,46.0,13.333333333333334,56.7,150
VolDiv+Effort+Mom,-305.1468645491113,-0.38352712335065436,-50.312590571205895,16.906040566712992,60.577660420642495,51.33333333333333,2.0,62.2,150
Trail_15pct,-337.59048451418835,-0.38352712335065436,-41.29713545574621,17.241382145286106,7.580469635934221,52.666666666666664,14.666666666666666,43.96666666666667,150
