Strategy,Peak_Capture,Avg_Return,Avg_Exit_Bar,Avg_Peak_Bar,Loss_Rate,Win_Rate,Before_Peak_Rate,Median_Capture,P25_Capture,P75_Capture,N_Trades
Trail_5pct,-15.576163103025417,3.8339434881262444,13.293333333333333,26.9,67.33333333333333,32.666666666666664,65.33333333333333,-3.02352472306798,-24.958707274528734,4.251011719631185,150
FixedBar_8,-26.799385628463632,5.424183178226389,7.0,26.9,44.666666666666664,53.333333333333336,76.0,0.3075867873124621,-7.996281283537887,9.745920950959263,150
HMM_Distribution,-52.28036465514949,56.719254072161604,20.14666666666667,26.9,44.0,52.0,55.333333333333336,0.4578547043606612,-13.327233282258897,14.495541700270067,150
VolDiv+Effort+HMM,-52.28036465514949,56.719254072161604,20.14666666666667,26.9,44.0,52.0,55.333333333333336,0.4578547043606612,-13.327233282258897,14.495541700270067,150
FixedBar_32,-159.50432369565493,10.904217542747869,30.85333333333333,26.9,54.0,43.333333333333336,44.0,-0.17920746463185006,-37.86763275867075,13.913031940422716,150
EffortVsResult,-170.1265498492742,48.71292124740626,28.253333333333334,26.9,36.666666666666664,59.333333333333336,53.333333333333336,2.2418161432575685,-5.788878478985751,35.851974190727645,150
Trail_10pct,-198.285643846885,3.6918355729885524,33.04666666666667,26.9,50.66666666666667,49.333333333333336,31.333333333333336,-1.8062013327021237e-06,-30.9888826574891,13.934430794765307,150
FixedBar_16,-204.4304504440742,5.200422761011453,14.96,26.9,54.0,45.33333333333333,60.66666666666667,-0.42471032756258087,-18.428499190028454,10.336606850711272,150
VolDiv+Effort,-303.76058834114826,60.78737641919235,56.7,26.9,46.0,52.0,13.333333333333334,0.24731653499733752,-24.407152023906644,19.114757785806923,150
VolDiv+Effort+Mom,-305.1468645491113,60.577660420642495,62.2,26.9,51.33333333333333,46.666666666666664,2.0,-0.38352712335065436,-50.312590571205895,16.906040566712992,150
Trail_15pct,-337.59048451418835,7.580469635934221,43.96666666666667,26.9,52.666666666666664,47.333333333333336,14.666666666666666,-0.38352712335065436,-41.29713545574621,17.241382145286106,150
