Strategy,Peak_Capture,Avg_Return,Avg_Exit_Bar,Avg_Peak_Bar,Loss_Rate,Win_Rate,Before_Peak_Rate,Median_Capture,P25_Capture,P75_Capture,N_Trades
Directional_Movement,14.751997631549788,1.7280894384336287,10.63963963963964,26.81981981981982,63.06306306306306,36.93693693693694,63.96396396396396,-1.35252362764683,-17.187504279975304,2.441759933891542,111
Vol_Delta_Exhaustion,11.783431561834727,1.9221686176557666,20.216216216216218,26.81981981981982,49.549549549549546,48.64864864864865,63.06306306306306,0.0,-13.394892814367665,11.189470434320839,111
Volume_Climax,8.704347324545127,10.852533434988812,21.71171171171171,26.81981981981982,63.06306306306306,36.03603603603604,47.74774774774775,-0.7915058057225498,-39.46231731695812,12.814315038686566,111
Vol_Exhaustion_VAR,2.9175020141844636,9.329749765003125,22.54954954954955,26.81981981981982,52.25225225225225,46.846846846846844,62.16216216216216,-0.14029015812290546,-39.46231731695812,14.542951605225856,111
Keltner_Channel,1.91573369526858,2.283003942552817,18.27927927927928,26.81981981981982,58.55855855855856,40.54054054054054,55.85585585585585,-0.7915058057225498,-43.28677810857921,7.876246986033765,111
AVWAP_Bands_3σ,-0.020463100838596475,0.10021258481972556,13.441441441441441,26.81981981981982,45.94594594594595,52.25225225225225,71.17117117117117,0.12612557656946163,-17.577213090069336,6.280064677177108,111
Sqrt(t)_Target,-0.28060413497949005,0.8276908920613124,4.0,26.81981981981982,30.630630630630627,69.36936936936937,90.990990990991,1.7778156430228589,-0.7915058057225498,9.665041800969497,111
Harmonic_Patterns,-1.3178508883523214,1.8434103492754208,19.28828828828829,26.81981981981982,61.261261261261254,38.73873873873874,63.96396396396396,-1.235565868183767,-41.844265389016904,7.142885461767536,111
Volume_ROC,-5.955732512258025,1.07662713800299,7.648648648648648,26.81981981981982,53.153153153153156,43.24324324324324,72.07207207207207,-0.03129248430410083,-8.120657239886318,6.143134247623967,111
OB_Mean_Threshold,-7.553342160570254,8.56044351559757,12.747747747747749,26.81981981981982,74.77477477477478,21.62162162162162,64.86486486486487,-2.4508156699224153,-18.690804619928013,0.0,111
Parabolic_SAR,-8.747309440157569,6.771160643580555,7.621621621621622,26.81981981981982,62.16216216216216,35.13513513513514,68.46846846846847,-0.7915058057225498,-16.221680367004424,1.985385494174258,111
Time_Decay_Stop,-11.97415923264974,-0.2747111841325776,8.45945945945946,26.81981981981982,64.86486486486487,33.33333333333333,71.17117117117117,-0.6755710515019127,-17.934711747590626,3.3555559811820763,111
Market_Structure_Fail,-18.950738882340172,5.00528225128768,12.342342342342342,26.81981981981982,74.77477477477478,22.52252252252252,58.55855855855856,-3.9999961853027344,-37.81982279722562,0.0,111
