ticker,entry_price,known_peak,window_peak,exit_price,exit_bar,peak_bar,exited_before_peak,peak_capture,gain_pct,total_fwd_bars
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.9000000953674316,12,56,True,20.00000414641059,8.614232677953122,64
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.9000000953674316,12,56,True,20.00000414641059,8.614232677953122,64
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.9000000953674316,12,56,True,20.00000414641059,8.614232677953122,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6000999808311462,63,51,False,-0.38352712335065436,-2.422768857649379,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.70169997215271,6,35,True,58.49992847435806,1.695648489467125,64
AIOS,7.409999847412109,33.86989974975586,33.86989974975586,25.299999237060547,17,20,True,67.61174250724882,241.4304960599479,64
CLWT,1.2649999856948853,2.25,1.335800051689148,1.2400000095367432,18,46,True,-2.5380686086363924,-1.9762827225969646,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.139999866485596,6,11,True,5.55553242852834,1.7198941491848838,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.70169997215271,6,35,True,58.49992847435806,1.695648489467125,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.139999866485596,6,11,True,5.55553242852834,1.7198941491848838,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.139999866485596,6,11,True,5.55553242852834,1.7198941491848838,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.70169997215271,6,35,True,58.49992847435806,1.695648489467125,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6000999808311462,63,51,False,-0.38352712335065436,-2.422768857649379,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.70169997215271,6,35,True,58.49992847435806,1.695648489467125,64
BGMS,0.9950000047683716,2.240000009536743,1.149999976158142,0.9200000166893005,14,27,True,-6.024095404965445,-7.537687208004634,64
BTOG,2.049999952316284,2.2625999450683594,2.180000066757202,2.069999933242798,20,49,True,9.407329072601039,0.9756088483765962,64
