ticker,entry_price,known_peak,exit_price,exit_bar,peak_bar,exited_before_peak,peak_capture,gain_pct,total_fwd_bars
BAOS,2.6700000762939453,3.819999933242798,2.8201000690460205,63,56,False,13.052174906379232,5.621722414346119,64
BAOS,2.6700000762939453,3.819999933242798,2.8201000690460205,63,56,False,13.052174906379232,5.621722414346119,64
BAOS,2.6700000762939453,3.819999933242798,2.8201000690460205,63,56,False,13.052174906379232,5.621722414346119,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,51,51,True,0.8442733299330815,5.3333363054890155,64
BGI,0.6899999976158142,0.7099999785423279,0.70169997215271,7,35,True,58.49992847435806,1.695648489467125,64
AIOS,7.409999847412109,33.86989974975586,31.059099197387695,63,20,False,89.37713081779576,319.15114489826703,64
CLWT,1.2649999856948853,2.25,1.2200000286102295,63,46,False,-4.568523495545506,-3.557308900674536,64
CHNR,4.070000171661377,5.329999923706055,3.9000000953674316,63,11,False,-13.492072202242571,-4.176905875277916,64
BGI,0.6899999976158142,0.7099999785423279,0.70169997215271,7,35,True,58.49992847435806,1.695648489467125,64
CHNR,4.070000171661377,5.329999923706055,3.9000000953674316,63,11,False,-13.492072202242571,-4.176905875277916,64
CHNR,4.070000171661377,5.329999923706055,3.9000000953674316,63,11,False,-13.492072202242571,-4.176905875277916,64
BGI,0.6899999976158142,0.7099999785423279,0.70169997215271,7,35,True,58.49992847435806,1.695648489467125,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,51,51,True,0.8442733299330815,5.3333363054890155,64
BGI,0.6899999976158142,0.7099999785423279,0.70169997215271,7,35,True,58.49992847435806,1.695648489467125,64
BGMS,0.9950000047683716,2.240000009536743,0.8863999843597412,63,27,False,-8.722893172103648,-10.914574863133957,64
BTOG,2.049999952316284,2.2625999450683594,2.134999990463257,34,49,True,39.98120463065866,4.146343420687964,64
APWC,1.382699966430664,2.26990008354187,1.5,63,9,False,13.221372642654078,8.483404673259459,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,51,51,True,0.8442733299330815,5.3333363054890155,64
CIIT,1.440000057220459,3.4200000762939453,1.440000057220459,63,16,False,0.0,0.0,64
ACCL,1.4019999504089355,2.1600000858306885,1.500100016593933,30,42,True,12.941958925959094,6.997151901209676,64
AHMA,1.0700000524520874,5.400000095367432,1.1349999904632568,63,53,False,1.5011532879201923,6.074760264002886,64
BBGI,22.799999237060547,24.989999771118164,20.700000762939453,63,20,False,-95.89031790007063,-9.210519931542912,64
BQ,0.7599999904632568,1.2999999523162842,0.7605999708175659,63,3,False,0.11110748086911526,0.07894478445234782,64
BGMS,0.9950000047683716,2.240000009536743,0.8863999843597412,63,27,False,-8.722893172103648,-10.914574863133957,64
BCG,1.9199999570846558,2.5,2.0199999809265137,63,44,False,17.241382145286106,5.2083346915121185,64
ACCL,1.4019999504089355,2.1600000858306885,1.500100016593933,30,42,True,12.941958925959094,6.997151901209676,64
AIHS,1.2200000286102295,1.5399999618530271,1.0800000429153442,63,8,False,-43.750004656613875,-11.475408394405292,64
CHR,1.659999966621399,2.880000114440918,1.8300000429153442,63,36,False,13.934430794765307,10.240968657363698,64
APWC,1.382699966430664,2.26990008354187,1.5,63,9,False,13.221372642654078,8.483404673259459,64
CIIT,1.440000057220459,3.4200000762939453,1.440000057220459,63,16,False,0.0,0.0,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,51,51,True,0.8442733299330815,5.3333363054890155,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,51,51,True,0.8442733299330815,5.3333363054890155,64
BQ,0.7599999904632568,1.2999999523162842,0.7605999708175659,63,3,False,0.11110748086911526,0.07894478445234782,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,51,51,True,0.8442733299330815,5.3333363054890155,64
AGMH,0.8615000247955322,1.4500000476837158,0.8700000047683716,57,62,True,1.4443465832208424,0.9866488367027887,64
BYAH,1.1100000143051147,6.489999771118164,1.1299999952316284,19,53,True,0.371746874173858,1.8018000602490185,64
AIOS,7.409999847412109,33.86989974975586,31.059099197387695,63,20,False,89.37713081779576,319.15114489826703,64
AXIL,6.769999980926514,7.25,6.775700092315674,13,13,True,1.1875231588871018,0.08419662341535285,64
BENF,3.434799909591675,3.869999885559082,3.4600000381469727,57,62,True,5.790471035592412,0.7336709333468456,64
AMBO,2.299999952316284,2.880000114440918,2.2200000286102295,63,25,False,-13.793086438631692,-3.4782576245485726,64
CETX,10.850000381469727,11.549999237060549,11.149999618530273,63,21,False,42.85710393159681,2.7649698296131247,64
BENF,3.434799909591675,3.869999885559082,3.4600000381469727,57,62,True,5.790471035592412,0.7336709333468456,64
BELFA,237.4949951171875,276.2049865722656,252.8300018310547,55,63,True,39.615112629676084,6.45698100134717,64
AZI,1.3600000143051147,6.989999771118164,1.2597999572753906,63,3,False,-1.7797524219866745,-7.367651174689203,64
CIIT,1.440000057220459,3.4200000762939453,1.440000057220459,63,16,False,0.0,0.0,64
CHR,1.659999966621399,2.880000114440918,1.8300000429153442,63,36,False,13.934430794765307,10.240968657363698,64
BKTI,94.52999877929688,97.80999755859376,95.27999877929688,49,55,True,22.8658621684235,0.7933989312229405,64
AZI,1.3600000143051147,6.989999771118164,1.2597999572753906,63,3,False,-1.7797524219866745,-7.367651174689203,64
BTBD,1.809999942779541,2.309999942779541,1.8895000219345093,63,37,False,15.900015830993652,4.392269705427909,64
BNRG,3.0450000762939453,3.4000000953674316,3.125,6,10,True,22.53518856557988,2.6272552282961583,64
BGMS,0.9950000047683716,2.240000009536743,0.8863999843597412,63,27,False,-8.722893172103648,-10.914574863133957,64
ARTL,4.010000228881836,4.119999885559082,3.2999000549316406,63,1,False,-645.547627510989,-17.708232753597684,64
ANNA,3.809999942779541,4.099899768829346,4.005000114440918,63,52,False,67.264673566198,5.118114818634797,64
BNZI,9.055999755859375,9.107999801635742,6.593999862670898,63,0,False,-4734.611011260683,-27.18639531317924,64
BKTI,94.52999877929688,97.80999755859376,95.27999877929688,49,55,True,22.8658621684235,0.7933989312229405,64
BCG,1.9199999570846558,2.5,2.0199999809265137,63,44,False,17.241382145286106,5.2083346915121185,64
AIOS,7.409999847412109,33.86989974975586,31.059099197387695,63,20,False,89.37713081779576,319.15114489826703,64
BBGI,22.799999237060547,24.989999771118164,20.700000762939453,63,20,False,-95.89031790007063,-9.210519931542912,64
BBGI,22.799999237060547,24.989999771118164,20.700000762939453,63,20,False,-95.89031790007063,-9.210519931542912,64
BCG,1.9199999570846558,2.5,2.0199999809265137,63,44,False,17.241382145286106,5.2083346915121185,64
BQ,0.7599999904632568,1.2999999523162842,0.7605999708175659,63,3,False,0.11110748086911526,0.07894478445234782,64
BELFA,237.4949951171875,276.2049865722656,252.8300018310547,55,63,True,39.615112629676084,6.45698100134717,64
ACXP,2.0,2.2999000549316406,2.0199999809265137,8,61,True,6.668882048411922,0.9999990463256836,64
CABO,100.99500274658203,104.5500030517578,94.22000122070312,63,4,False,-190.5766791641368,-6.708254212219616,64
AMCI,6.920000076293945,7.21999979019165,6.639999866485596,63,9,False,-93.33349227920432,-4.0462457618686285,64
BIYA,0.7570000290870667,2.380000114440918,2.199899911880493,45,45,True,88.90325366057151,190.60763901601788,64
BBGI,22.540000915527344,24.989999771118164,18.5049991607666,63,0,False,-164.69402610344062,-17.901515487433333,64
ACXP,2.049999952316284,2.2200000286102295,2.2799999713897705,30,31,True,135.29406814841408,11.219513386505717,64
APWC,1.5800000429153442,2.26990008354187,1.4299999475479126,63,0,False,-21.74229403309073,-9.493676664125799,64
BELFA,227.5,276.2049865722656,257.510009765625,27,48,True,61.615887566456664,13.191213083791208,64
BKTI,91.22000122070312,97.80999755859376,93.51000213623047,63,17,False,34.74965384063232,2.5104153528640922,64
BIYA,1.8849999904632568,2.0,1.2898999452590942,63,1,False,-517.4782572639915,-31.570294335010107,64
ALGS,6.050000190734863,6.849999904632568,6.380000114440918,33,51,True,41.25000521540828,5.4545440215262415,64
AHMA,1.1309000253677368,5.400000095367432,1.100000023841858,63,30,False,-0.7238059782909028,-2.7323371503003635,64
CABO,92.63999938964844,95.55999755859376,62.79999923706055,63,10,False,-1021.9184542627912,-32.210708494372255,64
AHMA,1.1309000253677368,5.400000095367432,1.100000023841858,63,30,False,-0.7238059782909028,-2.7323371503003635,64
BIYA,2.0,2.140000104904175,1.5950000286102295,63,10,False,-289.2854770837343,-20.249998569488525,64
CLWT,1.2000000476837158,2.25,1.25,25,43,True,4.7619004368509765,4.166662527455388,64
BESS,2.509999990463257,6.199999809265137,2.549999952316284,63,3,False,1.0840098595456051,1.593623984263234,64
BELFA,244.2899932861328,276.2049865722656,257.510009765625,8,29,True,41.42258894109288,5.411607860665747,64
APWC,1.5299999713897705,2.26990008354187,1.5848000049591064,8,8,True,7.406409685483439,3.581701607455489,64
BDSX,11.083000183105469,18.219999313354492,15.079999923706055,63,54,False,56.003926407388015,36.064239597266,64
BNAI,27.899999618530273,30.899900436401367,23.594999313354492,63,1,False,-143.50475454154724,-15.430108831673747,64
CABO,72.0,74.6500015258789,56.247501373291016,63,3,False,-594.4335681650022,-21.87847031487359,64
