ticker,entry_price,known_peak,window_peak,exit_price,exit_bar,peak_bar,exited_before_peak,peak_capture,gain_pct,total_fwd_bars
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.7100000381469727,8,56,True,3.478257985105679,1.4981258692901878,64
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.7100000381469727,8,56,True,3.478257985105679,1.4981258692901878,64
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.7100000381469727,8,56,True,3.478257985105679,1.4981258692901878,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6899999976158142,3,35,True,0.0,0.0,64
AIOS,7.409999847412109,33.86989974975586,33.86989974975586,8.0649995803833,3,20,True,2.475442973664361,8.839402786221992,64
CLWT,1.2649999856948853,2.25,1.335800051689148,1.2160999774932861,8,46,True,-4.964467765627037,-3.865613340282968,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.050000190734863,4,11,True,-1.5873003858975763,-0.4914000020385666,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6899999976158142,3,35,True,0.0,0.0,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.050000190734863,4,11,True,-1.5873003858975763,-0.4914000020385666,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.050000190734863,4,11,True,-1.5873003858975763,-0.4914000020385666,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6899999976158142,3,35,True,0.0,0.0,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6899999976158142,3,35,True,0.0,0.0,64
BGMS,0.9950000047683716,2.240000009536743,1.149999976158142,0.9799000024795532,3,27,True,-1.2128515848180794,-1.5175881624577001,64
BTOG,2.049999952316284,2.2625999450683594,2.180000066757202,2.049999952316284,5,49,True,0.0,0.0,64
APWC,1.382699966430664,2.26990008354187,1.6399999856948853,1.4701000452041626,3,9,True,9.851224891412338,6.320972076040131,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
CIIT,1.440000057220459,3.4200000762939453,1.600000023841858,1.4700000286102295,5,16,True,1.5151500555948771,2.083331263727694,64
ACCL,1.4019999504089355,2.1600000858306885,1.5449999570846558,1.3899999856948853,3,42,True,-1.5831085184930063,-0.8559176275683991,64
AHMA,1.0700000524520874,5.400000095367432,1.179900050163269,1.0750000476837158,4,53,True,0.1154733298400148,0.467289251077145,64
BBGI,22.799999237060547,24.989999771118164,23.947999954223633,21.770000457763672,4,20,True,-47.031896261162125,-4.517538656855087,64
BQ,0.7599999904632568,1.2999999523162842,0.7955999970436096,0.7712000012397766,3,3,True,2.074076216243901,1.4736856469817619,64
BGMS,0.9950000047683716,2.240000009536743,1.149999976158142,0.9799000024795532,3,27,True,-1.2128515848180794,-1.5175881624577001,64
BCG,1.9199999570846558,2.5,2.0899999141693115,1.899999976158142,5,44,True,-3.4482723183923683,-1.041665696538963,64
ACCL,1.4019999504089355,2.1600000858306885,1.5449999570846558,1.3899999856948853,3,42,True,-1.5831085184930063,-0.8559176275683991,64
AIHS,1.2200000286102295,1.5399999618530271,1.2776000499725342,1.2583999633789062,3,8,True,11.999982118602844,3.1475355629639026,64
CHR,1.659999966621399,2.880000114440918,1.9599000215530396,1.6301000118255615,3,36,True,-2.4508156699224153,-1.801202132352619,64
APWC,1.382699966430664,2.26990008354187,1.6399999856948853,1.4701000452041626,3,9,True,9.851224891412338,6.320972076040131,64
CIIT,1.440000057220459,3.4200000762939453,1.600000023841858,1.4700000286102295,5,16,True,1.5151500555948771,2.083331263727694,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
BQ,0.7599999904632568,1.2999999523162842,0.7955999970436096,0.7712000012397766,3,3,True,2.074076216243901,1.4736856469817619,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
AGMH,0.8615000247955322,1.4500000476837158,0.9366999864578247,0.8712999820709229,4,62,True,1.6652433125312962,1.1375457914486469,64
BYAH,1.1100000143051147,6.489999771118164,1.4496999979019165,1.090000033378601,5,53,True,-0.371746874173858,-1.8018000602490185,64
AIOS,7.409999847412109,33.86989974975586,33.86989974975586,8.0649995803833,3,20,True,2.475442973664361,8.839402786221992,64
AXIL,6.769999980926514,7.25,7.0,6.815000057220459,3,13,True,9.375015522042293,0.6646983223150141,64
BENF,3.434799909591675,3.869999885559082,3.494999885559082,3.4100000858306885,3,62,True,-5.698489230349503,-0.7220165486709386,64
AMBO,2.299999952316284,2.880000114440918,2.5999999046325684,2.2699999809265137,3,25,True,-5.172407414486884,-1.3043466092057148,64
CETX,10.850000381469727,11.549999237060549,11.25,10.850000381469727,3,21,True,0.0,0.0,64
BENF,3.434799909591675,3.869999885559082,3.494999885559082,3.4100000858306885,3,62,True,-5.698489230349503,-0.7220165486709386,64
BELFA,237.4949951171875,276.2049865722656,258.010009765625,225.0657958984375,8,63,True,-32.10850416532317,-5.233457325118385,64
AZI,1.3600000143051147,6.989999771118164,1.409999966621399,1.3799999952316284,5,3,False,0.35523946341757884,1.4705868173635692,64
CIIT,1.440000057220459,3.4200000762939453,1.600000023841858,1.4700000286102295,5,16,True,1.5151500555948771,2.083331263727694,64
CHR,1.659999966621399,2.880000114440918,1.9599000215530396,1.6301000118255615,3,36,True,-2.4508156699224153,-1.801202132352619,64
BKTI,94.52999877929688,97.80999755859376,97.51000213623047,94.06500244140625,4,55,True,-14.176722894704952,-0.4919034633400042,64
AZI,1.3600000143051147,6.989999771118164,1.409999966621399,1.3799999952316284,5,3,False,0.35523946341757884,1.4705868173635692,64
BTBD,1.809999942779541,2.309999942779541,2.309999942779541,1.7899999618530273,9,37,True,-3.9999961853027344,-1.1049713568388595,64
BNRG,3.0450000762939453,3.4000000953674316,3.1500000953674316,3.0850000381469727,3,10,True,11.26759428278994,1.3136276141480792,64
BGMS,0.9950000047683716,2.240000009536743,1.149999976158142,0.9799000024795532,3,27,True,-1.2128515848180794,-1.5175881624577001,64
ARTL,4.010000228881836,4.119999885559082,4.119999885559082,3.799999952316284,3,1,False,-190.90993818437184,-5.236914328658506,64
ANNA,3.809999942779541,4.099899768829346,4.099899768829346,3.9100000858306885,4,52,True,34.49472337177859,2.6246757100524656,64
BNZI,9.055999755859375,9.107999801635742,9.234000205993652,8.942000389099121,3,0,False,-219.22935847118805,-1.2588269637098268,64
BKTI,94.52999877929688,97.80999755859376,97.51000213623047,94.06500244140625,4,55,True,-14.176722894704952,-0.4919034633400042,64
BCG,1.9199999570846558,2.5,2.0899999141693115,1.899999976158142,5,44,True,-3.4482723183923683,-1.041665696538963,64
AIOS,7.409999847412109,33.86989974975586,33.86989974975586,8.0649995803833,3,20,True,2.475442973664361,8.839402786221992,64
BBGI,22.799999237060547,24.989999771118164,23.947999954223633,21.770000457763672,4,20,True,-47.031896261162125,-4.517538656855087,64
BBGI,22.799999237060547,24.989999771118164,23.947999954223633,21.770000457763672,4,20,True,-47.031896261162125,-4.517538656855087,64
BCG,1.9199999570846558,2.5,2.0899999141693115,1.899999976158142,5,44,True,-3.4482723183923683,-1.041665696538963,64
BQ,0.7599999904632568,1.2999999523162842,0.7955999970436096,0.7712000012397766,3,3,True,2.074076216243901,1.4736856469817619,64
BELFA,237.4949951171875,276.2049865722656,258.010009765625,225.0657958984375,8,63,True,-32.10850416532317,-5.233457325118385,64
