Group,Ticker,TotalTradingDays,ExplosiveDays,ExplosivePct,MaxDailyGain,ExplosiveDates
HIGH_SF,N,0,0,,,no_data
HIGH_SF,Q,186,0,0.0,9.87,
HIGH_SF,J,501,0,0.0,7.84,
HIGH_SF,R,501,0,0.0,11.12,
HIGH_SF,U,501,1,0.2,30.41,2025-02-20
HIGH_SF,M,501,1,0.2,20.68,2025-09-03
HIGH_SF,S,501,0,0.0,15.66,
HIGH_SF,S,501,0,0.0,15.66,
HIGH_SF,T,501,0,0.0,6.25,
HIGH_SF,B,501,0,0.0,9.71,
HIGH_SF,I,0,0,,,no_data
HIGH_SF,S,501,0,0.0,15.66,
HIGH_SF,O,501,0,0.0,3.94,
HIGH_SF,G,501,0,0.0,15.89,
HIGH_SF,I,0,0,,,no_data
LOW_SF,N,0,0,,,no_data
LOW_SF,S,501,0,0.0,15.66,
LOW_SF,T,501,0,0.0,6.25,
LOW_SF,T,501,0,0.0,6.25,
LOW_SF,N,0,0,,,no_data
LOW_SF,N,0,0,,,no_data
LOW_SF,H,501,0,0.0,14.28,
LOW_SF,D,501,0,0.0,9.44,
LOW_SF,W,501,3,0.6,23.22,2025-04-09;2025-05-12;2025-10-28
LOW_SF,W,501,3,0.6,23.22,2025-04-09;2025-05-12;2025-10-28
LOW_SF,A,501,0,0.0,16.87,
LOW_SF,G,501,0,0.0,15.89,
LOW_SF,A,501,0,0.0,16.87,
LOW_SF,T,501,0,0.0,6.25,
LOW_SF,L,501,0,0.0,5.99,
