Group,Ticker,EventDate,EventGainPct,AvgRVOL_Pre,VolumeSlope_Pre,OBVSlope_Pre,RangeContraction_Pct,ConsecutiveBuildupDays,GapPct_Event,DistFrom20dHigh_Pct
HIGH_SF,VEEE,2024-12-20,23.44,1.563,0.1282,-0.8672,30.14,0,7.81,30.59
HIGH_SF,VEEE,2024-12-31,53.63,1.827,0.0302,-0.2455,41.73,3,3.35,22.34
HIGH_SF,VEEE,2025-01-17,26.89,2.818,-0.3349,0.4873,61.23,0,0.0,30.36
HIGH_SF,VEEE,2025-04-08,43.83,1.074,0.2285,-0.756,-119.09,0,6.81,41.25
HIGH_SF,VEEE,2025-04-09,21.3,6.455,0.488,0.3152,-223.47,1,-4.44,15.5
HIGH_SF,VEEE,2025-05-08,192.16,0.265,-0.1285,0.0572,41.3,0,2.75,37.8
HIGH_SF,VEEE,2025-09-05,46.39,4.501,0.3976,-0.6345,-372.67,0,61.34,22.71
HIGH_SF,VEEE,2025-11-28,45.51,13.952,-0.2224,0.9305,11.98,0,0.0,33.08
HIGH_SF,VEEE,2026-03-03,22.81,4.852,0.2881,0.2541,-26.83,0,0.0,79.75
HIGH_SF,VEEE,2026-03-18,34.56,4.984,0.3232,-0.946,-87.27,0,-4.28,66.77
HIGH_SF,VEEE,2026-04-08,21.17,0.197,-0.0564,-0.2073,11.96,0,6.76,49.55
HIGH_SF,VEEE,2026-05-11,28.4,4.001,0.2571,0.9152,-106.7,0,1.68,30.38
HIGH_SF,VEEE,2026-07-13,415.77,5.077,0.2514,-0.0101,-77.51,1,153.94,26.19
HIGH_SF,VEEE,2026-07-14,54.91,40.522,0.5255,0.5157,-327.17,2,-22.41,0.0
HIGH_SF,VEEE,2026-07-16,36.07,41.239,0.3328,1.0336,-236.73,0,30.91,30.95
HIGH_SF,AIRS,2024-11-08,20.72,1.307,-0.0075,0.4987,-18.63,0,8.34,6.14
HIGH_SF,AIRS,2025-05-02,33.63,0.489,0.0716,0.5904,-26.84,0,26.55,0.0
HIGH_SF,AIRS,2026-03-16,51.62,1.552,0.0345,-0.1308,-9.66,0,54.86,18.14
HIGH_SF,AIRS,2026-05-01,23.88,0.689,-0.0644,0.2551,40.2,3,1.12,15.46
HIGH_SF,ARQQ,2024-09-26,25.56,2.832,0.3413,-0.6172,-193.0,3,-0.22,44.25
HIGH_SF,ARQQ,2024-10-16,39.96,0.594,0.0546,-0.2398,-31.32,3,0.21,33.38
HIGH_SF,ARQQ,2024-11-07,24.01,0.75,-0.0726,-0.3174,13.11,0,3.45,21.76
HIGH_SF,ARQQ,2024-11-21,45.37,1.154,-0.0736,0.1954,-2.73,1,3.41,24.49
HIGH_SF,ARQQ,2024-11-22,21.09,1.491,0.0728,0.1828,-22.07,2,15.75,0.0
HIGH_SF,ARQQ,2024-11-25,37.23,2.173,0.2609,0.3978,-7.92,3,15.94,0.0
HIGH_SF,ARQQ,2024-12-03,24.7,3.261,0.1222,0.8755,-75.55,1,11.01,0.0
HIGH_SF,ARQQ,2024-12-17,24.76,1.358,0.0222,0.2192,-8.87,1,6.05,1.89
HIGH_SF,ARQQ,2024-12-26,50.46,1.348,-0.0086,0.6438,-10.17,0,0.48,21.27
HIGH_SF,ARQQ,2025-01-16,37.35,0.723,0.0411,-0.4864,-56.75,1,9.18,53.02
HIGH_SF,ARQQ,2025-03-17,56.93,0.758,0.0659,-0.0666,-8.02,3,13.93,9.69
HIGH_SF,ARQQ,2025-05-16,22.06,1.35,-0.0094,0.3373,18.18,0,2.25,10.41
HIGH_SF,ARQQ,2025-05-19,31.33,1.671,0.1389,0.4234,-23.75,1,-0.6,0.0
HIGH_SF,ARQQ,2025-06-16,22.25,0.528,0.0439,0.2043,5.8,1,7.99,12.41
HIGH_SF,ARQQ,2025-06-18,22.4,0.643,0.1033,0.3403,-4.03,0,4.06,0.0
HIGH_SF,ARQQ,2025-10-13,20.09,1.351,0.0462,0.5395,-22.04,1,4.82,12.15
HIGH_SF,ARQQ,2026-05-21,25.67,1.065,-0.0721,-0.3406,13.22,0,6.61,16.52
HIGH_SF,ARQQ,2026-06-15,31.76,0.838,-0.0214,-0.3977,0.81,0,5.66,22.24
HIGH_SF,ARQQ,2026-06-23,35.57,1.95,0.2064,0.9049,-92.8,0,-1.73,12.14
HIGH_SF,TC,2025-05-09,22.22,0.409,0.0111,-0.2278,22.58,1,-3.17,3.08
HIGH_SF,TC,2025-08-11,21.67,0.806,-0.0664,-0.6926,1.98,0,5.0,25.93
HIGH_SF,TC,2025-09-10,35.76,0.774,-0.0715,0.2052,68.96,0,4.64,11.97
HIGH_SF,TC,2026-01-16,21.11,0.262,0.0051,0.879,-110.54,0,0.33,25.0
HIGH_SF,TC,2026-07-01,159.46,74.079,0.536,-0.5618,-2222.06,1,177.84,80.91
HIGH_SF,TC,2026-07-08,20.98,91.286,0.1981,0.969,-1000.04,1,27.8,78.84
HIGH_SF,PLCE,2024-09-11,85.71,0.942,0.0062,-0.4404,-0.56,0,38.98,25.42
HIGH_SF,PLCE,2024-09-12,24.62,21.139,0.5215,0.5053,-84.55,1,1.65,0.0
HIGH_SF,PLCE,2024-09-13,28.04,21.404,0.4285,0.8556,-119.23,0,2.56,0.0
HIGH_SF,PLCE,2024-09-17,42.51,21.522,0.2284,1.2754,-209.24,0,1.97,15.91
HIGH_SF,PLCE,2025-02-05,21.42,1.124,0.0922,-0.9093,-14.0,0,10.71,15.04
HIGH_SF,PLCE,2025-07-22,32.95,0.494,0.0243,0.5723,-31.06,1,15.52,1.32
HIGH_SF,PLCE,2026-05-28,22.19,0.855,0.0014,0.2975,-1.36,0,-1.97,0.0
HIGH_SF,MPLT,2025-12-03,31.26,0.839,0.0057,-0.1137,29.58,0,9.46,20.63
HIGH_SF,MPLT,2026-04-09,21.33,1.113,0.0354,0.7732,13.19,3,-1.94,0.0
HIGH_SF,RAIN,2025-04-30,23.81,1.132,0.2188,0.4972,-68.98,3,-0.56,0.0
HIGH_SF,RAIN,2025-05-06,30.98,1.696,0.0774,0.7823,-34.97,0,-3.27,18.27
HIGH_SF,RAIN,2025-06-04,22.5,0.335,-0.0916,-0.4125,32.02,2,7.14,64.21
HIGH_SF,RAIN,2025-09-08,38.86,3.025,0.2039,0.8046,-62.9,0,13.64,11.47
HIGH_SF,RAIN,2025-09-11,21.1,5.87,0.2153,0.724,-34.86,0,1.42,7.69
HIGH_SF,RAIN,2025-12-29,20.58,1.543,0.0762,0.0399,-28.3,0,-1.29,14.59
HIGH_SF,RAIN,2026-02-13,24.11,0.929,0.0654,-0.1505,22.36,2,8.93,33.33
