Symbol,SignalTimestamp,Close,Volume,RVOL,30m_pct,1h_pct,2h_pct,4h_pct,1d_pct
ACCL,2026-06-09 11:30:00-04:00,1.71,131176,10.01,-7.89,-9.36,-13.16,-13.45,-8.77
ACCL,2026-06-11 15:10:00-04:00,1.7701,57755,8.17,5.93,-6.22,-5.37,-12.32,-10.17
ADIL,2026-06-11 12:30:00-04:00,4.7499,3750888,34.94,-35.37,-38.52,-35.59,-42.94,-37.89
ADIL,2026-06-17 13:05:00-04:00,2.86,44470,9.15,-0.35,-4.55,-3.85,-5.59,-7.69
ADVB,2026-07-23 15:55:00-04:00,16.72,160219,5.06,15.4,19.59,6.16,8.25,13.46
AGMH,2026-06-08 13:25:00-04:00,1.1704,22374,5.0,-1.79,2.96,0.82,0.82,5.95
AGPU,2026-06-02 09:35:00-04:00,7.6,35935,8.99,-0.66,5.16,12.1,12.5,7.37
AGPU,2026-07-21 09:40:00-04:00,9.55,141424,13.4,-2.2,0.0,3.2,1.57,-25.55
AHMA,2026-07-01 10:35:00-04:00,2.01,358028,15.33,2.54,1.41,-1.0,13.82,20.39
AIMD,2026-05-26 11:15:00-04:00,1.91,134273,7.97,17.28,-2.62,10.99,17.28,34.55
AIMD,2026-05-26 11:50:00-04:00,2.31,1269399,18.97,-21.64,-14.72,-14.39,40.74,11.25
AIMD,2026-05-26 15:35:00-04:00,3.3499,2189002,29.71,-35.82,-33.14,-22.68,-19.7,-23.28
AIRG,2026-06-15 09:35:00-04:00,7.27,8358,5.12,-3.3,-3.3,-4.81,-5.09,-5.78
AIRG,2026-07-15 14:35:00-04:00,6.19,20936,7.36,-2.02,-0.93,-2.1,-1.62,-1.21
AIRS,2026-05-11 15:40:00-04:00,4.49,215416,5.65,-2.34,0.22,-13.37,-10.24,-7.57
AIRS,2026-06-09 14:55:00-04:00,5.25,56978,5.49,1.71,0.38,1.71,-1.9,-5.14
AKTX,2026-07-13 09:50:00-04:00,14.47,7325,6.38,-4.42,-8.64,-6.63,-14.93,-10.09
AMCI,2026-06-01 13:45:00-04:00,5.17,13922,6.32,1.55,0.77,1.74,-0.19,-0.19
AMCI,2026-07-01 09:40:00-04:00,6.25,28713,5.07,-0.16,0.64,3.04,4.32,-20.0
AMS,2026-05-27 15:55:00-04:00,1.5,26686,7.23,3.33,11.33,5.33,4.0,8.67
ANNA,2026-06-10 11:55:00-04:00,3.44,32479,5.53,2.41,2.91,0.29,3.63,-1.31
ANNA,2026-07-22 09:30:00-04:00,3.88,54426,23.47,-1.8,-3.09,-4.64,-4.51,-11.34
ANY,2026-05-14 15:00:00-04:00,2.42,48338,7.78,-1.65,-4.96,-3.1,-2.89,-4.55
ANY,2026-06-15 09:35:00-04:00,3.1584,59754,9.81,-3.7,-3.65,-4.54,-1.85,8.92
APVO,2026-07-08 10:35:00-04:00,4.77,8283,5.53,-7.75,-5.66,-20.33,-18.24,-18.45
ARQQ,2026-05-06 09:30:00-04:00,15.035,41812,12.93,-0.57,1.76,1.63,3.62,2.89
ARQQ,2026-05-21 09:35:00-04:00,15.66,127403,6.62,4.6,5.36,7.33,5.04,11.24
ARQQ,2026-06-15 09:35:00-04:00,16.77,111199,6.86,3.64,3.1,2.61,7.99,18.84
ASTC,2026-06-29 09:40:00-04:00,11.305,25730,7.66,1.46,3.05,9.86,12.87,-3.54
ASTC,2026-07-01 09:35:00-04:00,12.0,50372,10.74,4.75,2.18,-2.42,0.21,-14.25
ASTI,2026-06-02 11:30:00-04:00,9.3381,461379,6.7,-0.94,-2.44,-1.16,-1.96,-26.0
ASTI,2026-06-11 09:30:00-04:00,7.1799,118695,6.51,8.5,2.79,5.99,8.36,9.05
ATER,2026-05-14 11:35:00-04:00,1.115,126866,9.92,-1.79,-1.79,-2.24,0.45,-0.45
ATER,2026-05-14 15:40:00-04:00,1.15,51891,5.43,-4.35,-3.04,2.94,0.02,-3.48
ATER,2026-06-10 09:40:00-04:00,1.195,60040,14.61,-1.26,-0.45,-0.42,-2.11,2.93
ATPC,2026-05-28 13:05:00-04:00,7.5599,2470053,6.96,-19.18,-14.81,-16.0,-27.12,-35.58
ATPC,2026-06-03 10:00:00-04:00,4.1738,824103,15.91,2.3,0.51,-1.8,2.29,-13.51
AUUD,2026-04-30 15:20:00-04:00,1.77,56399,9.13,-0.56,-0.53,0.56,2.82,2.85
BBLG,2026-06-15 14:20:00-04:00,1.43,14018,6.86,0.69,-1.12,-2.17,-3.5,-1.4
BBLG,2026-06-18 09:30:00-04:00,1.435,305483,119.6,-1.74,2.85,4.53,1.05,-4.53
BCTX,2026-05-19 09:30:00-04:00,3.41,28064,7.48,0.59,-0.59,0.0,2.36,12.02
BESS,2026-05-13 10:00:00-04:00,2.57,33479,18.82,15.95,25.68,28.4,24.51,54.47
BESS,2026-05-22 09:35:00-04:00,4.96,44470,6.28,-5.45,-6.98,-10.28,-8.87,-8.87
BESS,2026-07-14 09:35:00-04:00,4.41,14248,8.54,0.0,-10.54,-10.43,-11.0,-11.66
BIRD,2026-06-15 09:35:00-04:00,4.0,27536,9.73,0.25,2.5,0.25,-2.63,-1.5
