Group,Ticker,Date,GainPct,Volume,VolFloatRatio
HIGH_SF,VEEE,2024-12-20,23.44,664,0.001
HIGH_SF,VEEE,2024-12-31,53.63,15204,0.032
HIGH_SF,VEEE,2025-01-17,26.89,12502,0.026
HIGH_SF,VEEE,2025-04-08,43.83,10568,0.022
HIGH_SF,VEEE,2025-04-09,21.3,31281,0.065
HIGH_SF,VEEE,2025-05-08,192.16,2270159,4.747
HIGH_SF,VEEE,2025-09-05,46.39,2152103,4.5
HIGH_SF,VEEE,2025-11-28,45.51,575173,1.203
HIGH_SF,VEEE,2026-03-03,22.81,49219,0.103
HIGH_SF,VEEE,2026-03-18,34.56,893416,1.868
HIGH_SF,VEEE,2026-04-08,21.17,553805,1.158
HIGH_SF,VEEE,2026-05-11,28.4,1244600,2.602
HIGH_SF,VEEE,2026-07-13,415.77,75587000,158.053
HIGH_SF,VEEE,2026-07-14,54.91,25360600,53.029
HIGH_SF,VEEE,2026-07-16,36.07,10343400,21.628
HIGH_SF,AIRS,2024-11-08,20.72,590400,0.039
HIGH_SF,AIRS,2025-05-02,33.63,3589900,0.24
HIGH_SF,AIRS,2026-03-16,51.62,77428100,5.177
HIGH_SF,AIRS,2026-05-01,23.88,3871600,0.259
HIGH_SF,ARQQ,2024-09-26,25.56,520300,0.086
HIGH_SF,ARQQ,2024-10-16,39.96,363200,0.06
HIGH_SF,ARQQ,2024-11-07,24.01,280400,0.047
HIGH_SF,ARQQ,2024-11-21,45.37,900400,0.149
HIGH_SF,ARQQ,2024-11-22,21.09,1944000,0.322
HIGH_SF,ARQQ,2024-11-25,37.23,2851800,0.473
HIGH_SF,ARQQ,2024-12-03,24.7,1019200,0.169
HIGH_SF,ARQQ,2024-12-17,24.76,2550400,0.423
HIGH_SF,ARQQ,2024-12-26,50.46,1754100,0.291
HIGH_SF,ARQQ,2025-01-16,37.35,4169600,0.692
HIGH_SF,ARQQ,2025-03-17,56.93,2858900,0.474
HIGH_SF,ARQQ,2025-05-16,22.06,1580300,0.262
HIGH_SF,ARQQ,2025-05-19,31.33,2622300,0.435
HIGH_SF,ARQQ,2025-06-16,22.25,1487200,0.247
HIGH_SF,ARQQ,2025-06-18,22.4,3514800,0.583
HIGH_SF,ARQQ,2025-10-13,20.09,1238100,0.205
HIGH_SF,ARQQ,2026-05-21,25.67,2105400,0.349
HIGH_SF,ARQQ,2026-06-15,31.76,3048900,0.506
HIGH_SF,ARQQ,2026-06-23,35.57,3270200,0.543
HIGH_SF,TC,2025-05-09,22.22,27375,0.001
HIGH_SF,TC,2025-08-11,21.67,378280,0.014
HIGH_SF,TC,2025-09-10,35.76,149600,0.006
HIGH_SF,TC,2026-01-16,21.11,26000,0.001
HIGH_SF,TC,2026-07-01,159.46,65433200,2.478
HIGH_SF,TC,2026-07-08,20.98,5405800,0.205
HIGH_SF,TC,2026-07-24,22.34,12749136,0.483
HIGH_SF,PLCE,2024-09-11,85.71,73381300,9.44
HIGH_SF,PLCE,2024-09-12,24.62,14870300,1.913
HIGH_SF,PLCE,2024-09-13,28.04,10909200,1.403
HIGH_SF,PLCE,2024-09-17,42.51,8845500,1.138
HIGH_SF,PLCE,2025-02-05,21.42,1368700,0.176
HIGH_SF,PLCE,2025-07-22,32.95,6611900,0.851
HIGH_SF,PLCE,2026-05-28,22.19,1024100,0.132
HIGH_SF,MPLT,2025-12-03,31.26,879600,0.066
HIGH_SF,MPLT,2026-04-09,21.33,534400,0.04
HIGH_SF,RAIN,2025-04-30,23.81,135000,0.067
HIGH_SF,RAIN,2025-05-06,30.98,41500,0.021
HIGH_SF,RAIN,2025-06-04,22.5,42700,0.021
HIGH_SF,RAIN,2025-09-08,38.86,175700,0.088
HIGH_SF,RAIN,2025-09-11,21.1,37100,0.018
HIGH_SF,RAIN,2025-12-29,20.58,52600,0.026
HIGH_SF,RAIN,2026-02-13,24.11,379800,0.189
HIGH_SF,RAIN,2026-05-20,34.67,86500,0.043
HIGH_SF,RAIN,2026-05-21,21.29,292400,0.146
HIGH_SF,BIRD,2024-09-11,25.59,123100,0.028
HIGH_SF,BIRD,2025-05-14,20.72,94000,0.021
HIGH_SF,BIRD,2025-06-10,21.8,501100,0.113
HIGH_SF,BIRD,2026-03-09,25.4,158400,0.036
HIGH_SF,BIRD,2026-04-15,582.33,288160800,65.0
HIGH_SF,BIRD,2026-06-17,39.09,47781400,10.778
HIGH_SF,SHPH,2024-10-29,35.34,218870,0.376
HIGH_SF,SHPH,2025-03-17,21.62,578,0.001
HIGH_SF,SHPH,2025-04-23,20.32,10282,0.018
HIGH_SF,SHPH,2025-09-17,21.79,48590,0.083
HIGH_SF,SHPH,2026-01-20,31.29,12660470,21.739
HIGH_SF,SHPH,2026-03-31,26.92,17600,0.03
HIGH_SF,SHPH,2026-07-14,40.54,53359800,91.623
HIGH_SF,SOBR,2024-10-07,165.79,1593340,0.783
HIGH_SF,SOBR,2024-10-18,29.06,640530,0.315
HIGH_SF,SOBR,2024-12-19,22.22,2577320,1.267
HIGH_SF,SOBR,2024-12-26,27.37,2140380,1.052
HIGH_SF,SOBR,2025-02-14,22.52,771310,0.379
HIGH_SF,SOBR,2025-03-05,42.52,1067050,0.525
HIGH_SF,SOBR,2025-04-04,42.07,1275500,0.627
HIGH_SF,SOBR,2025-07-09,40.65,25941100,12.756
HIGH_SF,SOBR,2025-12-05,31.58,772900,0.38
HIGH_SF,SOBR,2025-12-24,82.31,143192100,70.412
HIGH_SF,SOBR,2026-04-15,21.43,179400,0.088
HIGH_SF,SOBR,2026-05-01,79.85,250929000,123.389
HIGH_SF,SOBR,2026-05-05,63.53,60565900,29.782
HIGH_SF,SOBR,2026-05-07,74.76,69557400,34.203
HIGH_SF,SOBR,2026-06-10,30.7,1675000,0.824
HIGH_SF,SOBR,2026-07-13,176.5,269335800,132.441
HIGH_SF,SOBR,2026-07-15,76.92,176508400,86.795
HIGH_SF,WYFI,2025-09-10,28.22,2707500,0.242
HIGH_SF,WYFI,2026-02-06,28.92,1880500,0.168
HIGH_SF,WYFI,2026-05-11,26.96,4930100,0.441
HIGH_SF,WYFI,2026-05-21,22.16,2452500,0.219
HIGH_SF,WYFI,2026-06-15,21.38,1976200,0.177
HIGH_SF,NXTC,2025-10-16,27.75,353600,0.156
HIGH_SF,NXTC,2025-10-17,37.13,439900,0.195
HIGH_SF,NXTC,2025-11-24,34.25,260400,0.115
HIGH_SF,NXTC,2026-07-01,21.88,81700,0.036
HIGH_SF,NXTC,2026-07-14,201.83,111531800,49.354
HIGH_SF,SDEV,2024-09-20,48.0,29118380,4.069
HIGH_SF,SDEV,2025-08-20,71.67,35668440,4.985
HIGH_SF,SDEV,2025-08-27,72.22,28295640,3.954
HIGH_SF,SDEV,2025-09-02,28.09,1318980,0.184
HIGH_SF,SDEV,2025-09-04,57.46,4002520,0.559
HIGH_SF,SDEV,2025-09-11,21.99,499540,0.07
HIGH_SF,SDEV,2025-10-20,25.0,211180,0.03
HIGH_SF,SDEV,2025-12-08,28.1,535500,0.075
HIGH_SF,SDEV,2025-12-10,33.7,350940,0.049
HIGH_SF,SDEV,2025-12-19,79.66,6196560,0.866
HIGH_SF,SDEV,2025-12-30,27.57,436800,0.061
HIGH_SF,SDEV,2026-01-07,43.98,674400,0.094
HIGH_SF,SDEV,2026-01-09,102.54,2141060,0.299
HIGH_SF,SDEV,2026-04-02,22.64,637600,0.089
HIGH_SF,SDEV,2026-07-02,30.77,23102700,3.229
HIGH_SF,NUWE,2024-09-12,25.66,693,0.014
HIGH_SF,NUWE,2024-10-01,24.37,1988,0.041
HIGH_SF,NUWE,2024-10-09,29.27,9931,0.207
HIGH_SF,NUWE,2024-10-11,20.14,674,0.014
HIGH_SF,NUWE,2024-10-21,31.76,1371,0.029
HIGH_SF,NUWE,2024-10-22,21.03,1065,0.022
HIGH_SF,NUWE,2024-11-04,106.62,68138,1.42
HIGH_SF,NUWE,2025-06-11,60.87,296890,6.188
HIGH_SF,NUWE,2025-07-16,131.16,1145160,23.869
HIGH_SF,NUWE,2025-10-30,24.59,33631,0.701
HIGH_SF,NUWE,2026-01-15,24.74,38786,0.808
HIGH_SF,NUWE,2026-01-27,78.14,3239686,67.527
HIGH_SF,VIVO,2024-10-14,24.94,859000,0.486
HIGH_SF,VIVO,2024-11-14,72.19,5915300,3.347
HIGH_SF,VIVO,2025-03-21,52.12,65083600,36.828
HIGH_SF,VIVO,2025-03-24,149.61,64046000,36.241
HIGH_SF,VIVO,2025-03-26,84.96,142709200,80.754
HIGH_SF,VIVO,2025-05-09,22.54,1473300,0.834
HIGH_SF,VIVO,2025-05-23,24.34,1280800,0.725
HIGH_SF,VIVO,2025-06-03,20.51,1944700,1.1
HIGH_SF,VIVO,2025-06-04,24.37,3576500,2.024
HIGH_SF,VIVO,2025-07-07,24.73,1393500,0.789
HIGH_SF,VIVO,2025-08-08,32.12,10802800,6.113
HIGH_SF,VIVO,2025-12-16,22.14,766900,0.434
HIGH_SF,VIVO,2026-02-13,48.59,7209400,4.08
HIGH_SF,VIVO,2026-03-25,32.41,3410800,1.93
HIGH_SF,VIVO,2026-05-13,35.14,5453300,3.086
HIGH_SF,VMAR,2024-09-19,24.54,331,0.0
HIGH_SF,VMAR,2024-10-14,44.1,763,0.0
HIGH_SF,VMAR,2025-01-10,41.45,43893,0.019
HIGH_SF,VMAR,2025-01-15,46.43,16783,0.007
HIGH_SF,VMAR,2025-02-27,29.82,6863,0.003
HIGH_SF,VMAR,2025-05-27,22.34,280,0.0
HIGH_SF,VMAR,2025-12-16,156.84,600700,0.265
HIGH_SF,VMAR,2026-06-17,34.1,1082900,0.477
HIGH_SF,FRMM,2024-09-04,41.24,71220,0.014
HIGH_SF,FRMM,2024-10-16,325.66,8956080,1.724
HIGH_SF,FRMM,2024-12-24,55.08,1612750,0.31
HIGH_SF,FRMM,2025-04-11,23.01,6480,0.001
HIGH_SF,FRMM,2025-05-01,49.44,312450,0.06
HIGH_SF,FRMM,2025-07-17,107.95,6402400,1.232
HIGH_SF,FRMM,2025-07-21,49.47,2565670,0.494
HIGH_SF,FRMM,2025-07-25,40.85,1654610,0.318
HIGH_SF,FRMM,2025-08-12,206.59,22440850,4.319
HIGH_SF,FRMM,2026-04-17,81.01,40349200,7.766
HIGH_SF,VTAK,2024-08-19,38.99,33705,0.014
HIGH_SF,VTAK,2024-10-18,106.82,9360205,4.026
HIGH_SF,VTAK,2025-06-11,160.87,36084374,15.519
HIGH_SF,VTAK,2025-08-18,62.84,59900000,25.762
HIGH_SF,VTAK,2025-12-08,23.95,174200,0.075
HIGH_SF,VTAK,2026-03-10,25.55,60073300,25.836
HIGH_SF,VTAK,2026-04-09,40.7,1778500,0.765
HIGH_SF,VTAK,2026-06-24,29.35,100136200,43.066
HIGH_SF,VTAK,2026-07-08,92.96,192653700,82.856
HIGH_SF,FXHO,2024-08-12,21.67,0,0.0
HIGH_SF,FXHO,2024-08-21,25.0,0,0.0
HIGH_SF,FXHO,2024-08-22,21.67,1,0.0
HIGH_SF,FXHO,2024-11-11,24.76,87,0.004
HIGH_SF,FXHO,2024-12-12,32.7,76,0.004
HIGH_SF,FXHO,2025-04-11,61.65,238,0.012
HIGH_SF,FXHO,2025-04-25,28.12,237,0.012
HIGH_SF,FXHO,2025-05-19,23.04,43,0.002
HIGH_SF,FXHO,2025-06-16,20.47,71,0.004
HIGH_SF,FXHO,2025-11-17,25.0,177206,8.943
HIGH_SF,FXHO,2025-12-31,61.14,395744,19.971
HIGH_SF,FXHO,2026-02-03,83.03,164330,8.293
HIGH_SF,FXHO,2026-02-05,38.36,44464,2.244
HIGH_SF,FXHO,2026-02-19,26.14,281130,14.187
HIGH_SF,FXHO,2026-05-22,22.83,26540,1.339
HIGH_SF,FXHO,2026-07-01,34.45,76600,3.866
HIGH_SF,FXHO,2026-07-06,171.53,8139400,410.749
HIGH_SF,FXHO,2026-07-09,28.79,171500,8.655
HIGH_SF,FXHO,2026-07-14,33.72,106000,5.349
HIGH_SF,HODO,2025-06-05,51.26,8306438,0.109
HIGH_SF,HODO,2025-07-23,38.79,129825,0.002
HIGH_SF,HODO,2025-07-25,34.17,126238,0.002
HIGH_SF,HODO,2025-08-29,24.89,180225,0.002
HIGH_SF,HODO,2025-09-02,23.65,387700,0.005
HIGH_SF,HODO,2025-10-06,22.77,90738,0.001
HIGH_SF,HODO,2026-04-10,22.99,142350,0.002
HIGH_SF,HODO,2026-05-06,25.0,232300,0.003
HIGH_SF,HODO,2026-05-14,33.59,167925,0.002
HIGH_SF,NVVE,2024-09-23,70.41,43556,0.103
HIGH_SF,NVVE,2025-02-04,24.91,20990,0.05
HIGH_SF,NVVE,2025-05-09,143.86,366157,0.866
HIGH_SF,NVVE,2025-06-02,22.13,17882,0.042
HIGH_SF,NVVE,2025-08-21,21.96,1627,0.004
HIGH_SF,NVVE,2025-11-13,205.13,1950191,4.613
HIGH_SF,NVVE,2025-11-21,56.1,425902,1.007
HIGH_SF,NVVE,2026-01-07,59.55,4531961,10.72
HIGH_SF,NVVE,2026-01-08,34.19,1729372,4.091
HIGH_SF,NVVE,2026-03-04,23.3,23183,0.055
HIGH_SF,NVVE,2026-04-10,21.74,563244,1.332
HIGH_SF,NVVE,2026-07-08,63.58,37841600,89.511
HIGH_SF,NVVE,2026-07-10,55.69,18154800,42.944
HIGH_SF,NVVE,2026-07-15,36.46,5768200,13.644
HIGH_SF,YYGH,2024-07-31,25.15,111,0.0
HIGH_SF,YYGH,2024-09-09,20.88,102,0.0
HIGH_SF,YYGH,2025-04-14,30.0,574,0.0
HIGH_SF,YYGH,2025-06-11,21.53,263,0.0
HIGH_SF,YYGH,2025-09-11,21.47,99631,0.048
HIGH_SF,YYGH,2026-05-05,36.86,21840,0.01
HIGH_SF,YYGH,2026-06-10,32.0,10106087,4.853
HIGH_SF,YYGH,2026-07-06,25.6,1685300,0.809
HIGH_SF,SHMD,2025-07-07,26.77,176100,0.013
HIGH_SF,SHMD,2025-10-14,22.75,173700,0.013
HIGH_SF,SHMD,2025-10-15,27.8,348800,0.026
HIGH_SF,SHMD,2026-01-02,21.07,950600,0.07
HIGH_SF,SHMD,2026-03-04,30.73,4195000,0.31
HIGH_SF,SHMD,2026-04-17,24.55,2111200,0.156
HIGH_SF,IBTA,2025-05-15,20.17,1509600,0.21
HIGH_SF,IBTA,2026-02-26,28.54,1728900,0.241
HIGH_SF,GCTK,2024-08-13,30.0,52,0.0
HIGH_SF,GCTK,2024-08-15,22.7,69,0.0
HIGH_SF,GCTK,2024-12-20,32.43,429,0.0
HIGH_SF,GCTK,2025-01-13,28.21,570853,0.092
HIGH_SF,GCTK,2025-01-21,47.06,513763,0.083
HIGH_SF,GCTK,2025-04-01,28.57,213803,0.034
HIGH_SF,GCTK,2025-06-25,26.25,24137200,3.893
HIGH_SF,GCTK,2025-06-27,25.67,5375000,0.867
HIGH_SF,GCTK,2025-07-21,36.71,18636600,3.005
HIGH_SF,GCTK,2025-09-02,26.07,8743100,1.41
HIGH_SF,GCTK,2025-09-12,117.45,70670300,11.397
HIGH_SF,GCTK,2025-11-26,23.5,47600,0.008
HIGH_SF,GCTK,2026-04-01,23.08,450300,0.073
HIGH_SF,GCTK,2026-04-13,32.03,27848100,4.491
HIGH_SF,KUST,2024-08-14,60.0,3296,0.005
HIGH_SF,KUST,2024-11-20,25.86,31,0.0
HIGH_SF,KUST,2024-11-21,32.88,28,0.0
HIGH_SF,KUST,2025-02-18,25.0,5870,0.009
HIGH_SF,KUST,2025-03-26,25.0,6302,0.01
HIGH_SF,KUST,2025-04-01,50.0,2629,0.004
HIGH_SF,KUST,2025-04-03,33.33,3628,0.006
HIGH_SF,KUST,2025-04-29,33.33,5789,0.009
HIGH_SF,KUST,2025-05-27,66.0,609973,0.973
HIGH_SF,KUST,2025-06-09,21.86,249967,0.399
HIGH_SF,KUST,2025-11-25,23.88,901907,1.439
HIGH_SF,KUST,2026-01-23,28.43,22840840,36.438
HIGH_SF,KUST,2026-04-14,21.13,87920,0.14
HIGH_SF,KUST,2026-05-06,20.48,132000,0.211
HIGH_SF,KUST,2026-06-29,33.68,33822700,53.957
HIGH_SF,KUST,2026-07-01,23.15,45117200,71.975
HIGH_SF,KUST,2026-07-15,29.7,84885400,135.416
HIGH_SF,KUST,2026-07-22,46.87,52362700,83.533
HIGH_SF,BETR,2025-04-14,20.62,244000,0.025
HIGH_SF,BETR,2025-08-13,23.55,164500,0.017
HIGH_SF,BETR,2025-09-22,46.61,7577700,0.792
HIGH_SF,BETR,2025-09-23,35.55,8344100,0.872
HIGH_SF,BETR,2025-10-20,28.48,1589400,0.166
HIGH_SF,BETR,2025-10-23,30.55,1335400,0.14
HIGH_SF,MNPR,2024-09-12,64.58,40971400,9.951
