Group,Ticker,TotalTradingDays,ExplosiveDays,ExplosivePct,FloatShares,AvgExplosiveGainPct,AvgExplosiveVolFloatRatio,MaxDailyGain,Note
HIGH_SF,VEEE,501,15,3.0,478239.0,71.12,16.602,415.77,
HIGH_SF,AIRS,501,4,0.8,14955684.0,32.46,1.429,51.62,
HIGH_SF,ARQQ,501,19,3.8,6027970.0,31.5,0.332,56.93,
HIGH_SF,TC,501,7,1.4,26409801.0,43.36,0.455,159.46,
HIGH_SF,PLCE,501,7,1.4,7773189.0,36.78,2.15,85.71,
HIGH_SF,MPLT,186,2,1.08,13319839.0,26.3,0.053,31.26,
HIGH_SF,RAIN,390,9,2.31,2007165.0,26.43,0.069,38.86,
HIGH_SF,BIRD,501,6,1.2,4433230.0,119.16,12.663,582.33,
HIGH_SF,SHPH,501,7,1.4,582385.0,28.26,16.267,40.54,
HIGH_SF,SOBR,501,17,3.4,2033635.0,60.58,29.178,176.5,
HIGH_SF,WYFI,242,5,2.07,11191944.0,25.53,0.249,28.92,
HIGH_SF,NXTC,501,5,1.0,2259836.0,64.57,9.971,201.83,
HIGH_SF,SDEV,501,15,3.0,7155819.0,46.23,1.241,102.54,
HIGH_SF,NUWE,501,12,2.4,47976.0,48.2,8.403,131.16,
HIGH_SF,VIVO,501,15,3.0,1767214.0,44.71,11.918,149.61,
HIGH_SF,VMAR,501,8,1.6,2270042.0,49.95,0.096,156.84,
HIGH_SF,FRMM,501,10,2.0,5195625.0,98.03,1.624,325.66,
HIGH_SF,VTAK,501,9,1.8,2325166.0,64.67,21.991,160.87,
HIGH_SF,FXHO,501,19,3.8,19816.0,41.27,25.454,171.53,
HIGH_SF,HODO,348,9,2.59,75900000.0,30.79,0.014,51.26,
HIGH_SF,NVVE,500,14,2.81,422758.0,59.93,12.07,205.13,
HIGH_SF,YYGH,501,8,1.6,2082595.0,26.69,0.715,36.86,
HIGH_SF,SHMD,501,6,1.2,13553725.0,25.61,0.098,30.73,
HIGH_SF,IBTA,501,2,0.4,7185448.0,24.36,0.225,28.54,
HIGH_SF,GCTK,501,14,2.8,6200880.0,35.7,1.811,117.45,
HIGH_SF,SECZ,16,0,0.0,8226912.0,,,13.9,
HIGH_SF,KUST,501,18,3.6,626847.0,33.37,21.362,66.0,
HIGH_SF,BETR,501,6,1.2,9571152.0,30.89,0.335,46.61,
HIGH_SF,MNPR,501,3,0.6,4117444.0,231.58,4.938,605.4,
HIGH_SF,BJDX,501,12,2.4,879953.0,54.52,24.589,112.46,
LOW_SF,FGNX,501,7,1.4,4659435.0,38.52,0.061,84.22,
LOW_SF,ASPS,501,6,1.2,6859090.0,23.02,0.014,26.79,
LOW_SF,IPDN,501,11,2.2,7572462.0,60.68,5.582,246.63,
LOW_SF,VIVS,501,5,1.0,3180758.0,80.57,8.999,243.24,
LOW_SF,FRD,501,1,0.2,6631218.0,31.61,0.049,31.61,
LOW_SF,TKLF,501,1,0.2,1724181.0,23.89,0.034,23.89,
LOW_SF,IQST,501,9,1.8,6690680.0,32.59,4.093,47.22,
LOW_SF,CUE,501,14,2.8,3658730.0,43.97,0.629,106.38,
LOW_SF,UNB,501,0,0.0,3697038.0,,,8.37,
LOW_SF,ALOT,501,2,0.4,4993981.0,47.24,0.251,69.86,
LOW_SF,TAOP,501,7,1.4,4159915.0,38.31,1.766,87.5,
LOW_SF,XELB,501,6,1.2,4318534.0,31.73,2.208,56.25,
LOW_SF,IOR,501,0,0.0,334728.0,,,10.0,
LOW_SF,OLOX,501,25,5.0,1270707.0,46.19,2.179,124.23,
LOW_SF,SGLY,501,9,1.8,7293492.0,44.42,1.571,143.48,
LOW_SF,VRTS,501,0,0.0,6241369.0,,,9.34,
LOW_SF,GENC,501,0,0.0,10320488.0,,,12.18,
LOW_SF,ASTC,501,7,1.4,1383379.0,117.04,39.697,459.11,
LOW_SF,ATGL,501,18,3.6,14864979.0,43.22,0.128,139.84,
LOW_SF,CDTG,501,11,2.2,2766964.0,35.68,0.179,88.41,
LOW_SF,LNSR,501,0,0.0,8710638.0,,,19.6,
LOW_SF,BOLT,501,0,0.0,1771397.0,,,17.87,
LOW_SF,SLGL,501,8,1.6,530067.0,67.55,0.657,284.62,
LOW_SF,BBGI,501,8,1.6,754928.0,81.81,19.257,312.1,
LOW_SF,EBMT,501,0,0.0,6658529.0,,,7.01,
LOW_SF,RGCO,501,0,0.0,8302205.0,,,13.04,
LOW_SF,RGNT,159,4,2.53,2821725.0,166.66,25.849,526.67,
LOW_SF,LHSW,328,7,2.14,328688.0,66.85,49.101,277.78,
LOW_SF,PAPL,501,17,3.4,7165395.0,47.13,3.764,73.76,
LOW_SF,CSPI,501,1,0.2,6862252.0,21.07,0.016,21.07,
