event,ticker,time,price,value,reason,headline
ENTRY,NIVF,2026-07-27T13:59:15.483825+00:00,1.0801,qty=121,SENTIMENT_AND_TICK_VOLUME_CONFIRMED,NewGenIVF Group Agrees To Acquire Additional 3% Equity Interest In K25.Ai At $250M Equity Valuation
ENTRY,AGPU,2026-07-27T14:15:26.078427+00:00,7.8500,qty=7,SENTIMENT_AND_TICK_VOLUME_CONFIRMED,Axe Compute Announces New 5-Yr Customer Agreement With Total Committed Contract Value Of Over $1.5B To Deploy NVIDIA Blackwell-Based AI Infrastructure Cluster In US
EXIT,AGPU,2026-07-27T14:21:02.413295+00:00,7.6350,-2.74,Fast EMA exit (9-period) — 1m close below EMA,
EXIT,NIVF,2026-07-27T14:37:50.063028+00:00,1.0850,+0.45,Fast EMA exit (9-period) — 1m close below EMA,
ENTRY,CODX,2026-07-28T12:40:36.603386+00:00,2.1014,qty=53,SENTIMENT_AND_TICK_VOLUME_CONFIRMED,EXCLUSIVE: Co-Diagnostics Announces Successful Proof of Concept for Extraction-Free Ebola Test
EXIT,CODX,2026-07-28T12:55:59.345374+00:00,2.0997,-0.08,Fast EMA exit (9-period) — 1m close below EMA,
ENTRY,MNTS,2026-07-28T14:39:41.061549+00:00,4.5900,qty=16,SENTIMENT_AND_TICK_VOLUME_CONFIRMED,"Momentus Completes Spacecraft Critical Design Review For Vigoride 8 Mission, Transporting Two Hosted Payloads Under Contracts With NASA"
EXIT,MNTS,2026-07-28T16:00:10.737390+00:00,4.6600,+1.53,Fast EMA exit (9-period) — 1m close below EMA,
ENTRY,AMIX,2026-07-29T08:13:34.707188+00:00,4.7391,qty=30,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=54.4%, RVOL=11.8x) + old bullish news (2026-07-24T12:48:41+00:00) + session-high break at $4.73"
EXIT,AMIX,2026-07-29T08:30:49.251223+00:00,4.2900,-9.48,Fast EMA exit (9-period) — 1m close below EMA,
ENTRY,VIVK,2026-07-29T13:00:47.743984+00:00,2.8620,qty=12,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=45.9%, RVOL=5.5x) + old bullish news (2026-07-29T12:00:03+00:00) + session-high break at $2.83"
EXIT,VIVK,2026-07-29T13:01:47.137099+00:00,2.7700,-3.21,Fast EMA exit (9-period) — 1m close below EMA,
ENTRY,NUWE,2026-07-30T08:30:21.343126+00:00,4.0100,qty=42,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=86.0%, RVOL=6.0x) + old bullish news (2026-07-27T12:33:58+00:00) + session-high break at $4.11"
EXIT,NUWE,2026-07-30T09:21:15.689773+00:00,3.5905,-10.46,"Chandelier (bullish_neutral pullback volume, down_ratio=0.48, 4.0x ATR) stop break (stop=$3.77, max-loss 10%)",
ENTRY,NUWE,2026-07-30T11:43:09.663292+00:00,4.1702,qty=4,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=90.0%, RVOL=11.6x) + old bullish news (2026-07-27T12:33:58+00:00) + session-high break at $4.20"
EXIT,NUWE,2026-07-30T14:21:39.365835+00:00,4.6184,+10.75,"Chandelier (bullish_neutral pullback volume, down_ratio=0.54, 4.0x ATR) stop break (stop=$5.08, max-loss 10%)",
ENTRY,KUST,2026-07-31T10:17:52.209789+00:00,1.7106,qty=115,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=42.4%, RVOL=195.7x) + old bullish news (2026-07-27T12:31:54+00:00) + session-high break at $1.70"
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T11:25:01.324280+00:00,1.8000,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.72 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T11:25:27.669648+00:00,1.8000,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.96 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:00:26.290077+00:00,1.6690,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.52 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:00:51.855637+00:00,1.6600,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.57 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:01:38.742476+00:00,1.6304,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:02:04.180448+00:00,1.6200,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:02:30.158274+00:00,1.6100,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:02:55.778804+00:00,1.6300,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:04:42.824174+00:00,1.6302,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:05:30.056260+00:00,1.6303,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:16:30.428245+00:00,1.7002,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.58 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:16:55.927256+00:00,1.7000,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.62 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:22:08.864799+00:00,1.6600,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.62 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:22:35.488133+00:00,1.6600,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.55 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:30:35.340227+00:00,1.7397,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.53 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:31:02.429003+00:00,1.7450,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.55 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:31:30.432364+00:00,1.7454,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.51 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:35:24.091602+00:00,1.5850,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:35:54.013835+00:00,1.5850,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T13:59:52.747633+00:00,1.4850,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:00:20.372341+00:00,1.4700,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:00:48.888991+00:00,1.4562,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:01:17.512537+00:00,1.4800,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:01:43.679704+00:00,1.4850,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:02:11.282705+00:00,1.4750,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:04:09.273148+00:00,1.4699,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:04:38.270362+00:00,1.4699,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:22:25.235565+00:00,1.3397,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:38:01.355928+00:00,1.3500,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:38:30.399334+00:00,1.3200,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:55:14.778067+00:00,1.3750,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T14:55:43.423703+00:00,1.3898,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T15:03:10.845174+00:00,1.3897,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T15:03:37.534540+00:00,1.3805,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T15:04:06.261118+00:00,1.3801,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
