Group,Ticker,EventDate,EventGainPct,AvgVPIN_Pre,MaxVPIN_Pre,VPINSlope_Pre,VPIN_AtEvent,HasStealthSpikePre,StealthSpikeCount,DaysFromFirstSpikeToEvent,OBVChangeSinceSpike_NormByVol,PriceChangeSinceSpike_Pct
HIGH_SF,VEEE,2024-12-20,23.44,0.553,0.707,0.02994,0.776,False,0,,,
HIGH_SF,VEEE,2024-12-31,53.63,0.691,0.776,0.00183,0.918,False,0,,,
HIGH_SF,VEEE,2025-01-17,26.89,0.719,0.918,-0.02516,0.638,True,1,8.0,-0.245,-26.49
HIGH_SF,VEEE,2025-04-08,43.83,0.331,0.775,0.04739,0.971,False,0,,,
HIGH_SF,VEEE,2025-04-09,21.3,0.403,0.971,0.07697,0.926,False,0,,,
HIGH_SF,VEEE,2025-05-08,192.16,0.303,0.41,-0.0117,0.998,False,0,,,
HIGH_SF,VEEE,2025-09-05,46.39,0.521,0.841,0.04602,0.989,True,1,2.0,-0.732,-6.73
HIGH_SF,VEEE,2025-11-28,45.51,0.807,0.877,-0.00989,0.893,False,0,,,
HIGH_SF,VEEE,2026-03-03,22.81,0.645,0.892,-0.03068,0.44,True,2,6.0,3.209,-33.05
HIGH_SF,VEEE,2026-03-18,34.56,0.296,0.434,-0.00752,0.404,True,3,9.0,-9.09,-19.06
HIGH_SF,VEEE,2026-04-08,21.17,0.428,0.571,-0.00832,0.605,False,0,,,
HIGH_SF,VEEE,2026-05-11,28.4,0.477,0.645,0.0187,0.629,True,3,5.0,8.058,-1.98
HIGH_SF,VEEE,2026-07-13,415.77,0.667,0.913,0.05418,0.994,False,0,,,
HIGH_SF,VEEE,2026-07-14,54.91,0.71,0.994,0.06462,0.86,False,0,,,
HIGH_SF,VEEE,2026-07-16,36.07,0.786,0.994,0.04107,0.776,False,0,,,
HIGH_SF,AIRS,2024-11-08,20.72,0.531,0.685,0.04317,0.781,True,1,9.0,3.027,24.18
HIGH_SF,AIRS,2025-05-02,33.63,0.527,0.589,-0.00512,0.858,False,0,,,
