ticker,n_transitions,n_events,cont_window,hit_rate,mean_bars_to_event,med_bars_to_event,mean_burst_duration,med_burst_duration
AHMA,66,36,5,0.2424,2.31,2.0,1.98,1.0
CAST,42,41,5,0.3095,2.46,2.0,2.05,1.0
CUPR,58,47,5,0.2414,2.29,2.0,2.0,1.0
GLXG,70,80,5,0.4286,2.17,1.0,1.99,1.0
HQ,37,10,5,0.3784,2.64,3.0,0.97,1.0
HUBC,36,30,5,0.3333,2.33,2.0,2.28,1.0
LUD,110,31,5,0.2364,2.35,2.0,1.46,1.0
MTEN,21,31,5,0.0952,1.0,1.0,5.67,1.0
QUCY,12,8,5,0.3333,2.0,1.5,1.92,1.0
RDGT,60,31,5,0.2333,2.57,2.0,1.9,1.0
SDOT,35,23,5,0.1714,1.83,1.0,2.57,1.0
UBXG,15,27,5,0.5333,1.88,1.5,2.6,1.0
VSME,46,39,5,0.1957,2.11,1.0,2.59,1.0
WYFI,66,15,5,0.1667,2.18,2.0,1.5,1.0
