ticker,transition_bar,entry_bar,p_burst_at_entry,event_within_window,bars_to_event,burst_duration
AHMA,3,4,1.0,True,1.0,3
AHMA,7,8,0.7178,False,,2
AHMA,21,22,0.0,False,,1
AHMA,23,24,0.898,False,,2
AHMA,42,43,1.0,True,1.0,2
AHMA,46,47,0.0,False,,1
AHMA,51,52,0.0164,False,,1
AHMA,60,61,0.0095,True,2.0,1
AHMA,62,63,0.0,False,,1
AHMA,69,70,0.0178,False,,1
AHMA,80,81,1.0,True,1.0,16
AHMA,97,98,1.0,True,3.0,9
AHMA,238,239,0.0,False,,1
AHMA,257,258,0.0094,False,,1
AHMA,264,265,0.006,False,,1
AHMA,276,277,0.0,True,2.0,1
AHMA,278,279,0.0,False,,1
AHMA,281,282,0.0,False,,1
AHMA,283,284,0.0,True,5.0,1
AHMA,288,289,0.0107,False,,1
AHMA,295,296,1.0,False,,2
AHMA,304,305,0.0185,False,,1
AHMA,306,307,0.0,False,,1
AHMA,310,311,0.0,False,,1
AHMA,314,315,0.0084,False,,1
AHMA,316,317,0.0,False,,1
AHMA,319,320,0.012,True,3.0,1
AHMA,321,322,1.0,True,1.0,2
AHMA,324,325,0.441,False,,1
AHMA,337,338,0.0262,False,,1
AHMA,340,341,0.9988,False,,2
AHMA,344,345,1.0,False,,2
AHMA,349,350,1.0,True,3.0,4
AHMA,354,355,0.9997,False,,2
AHMA,362,363,0.0,False,,1
AHMA,367,368,0.0,False,,1
AHMA,375,376,0.9998,False,,3
AHMA,386,387,0.9975,False,,2
AHMA,392,393,0.0,False,,1
AHMA,395,396,0.0,False,,1
AHMA,400,401,0.0,False,,1
AHMA,405,406,0.8174,False,,2
AHMA,409,410,0.0,False,,1
AHMA,412,413,0.0,False,,1
AHMA,418,419,1.0,False,,2
AHMA,422,423,0.1446,False,,1
AHMA,424,425,0.0001,False,,1
AHMA,439,440,0.0,False,,1
AHMA,441,442,1.0,False,,2
AHMA,446,447,1.0,False,,2
AHMA,449,450,0.9907,False,,2
AHMA,459,460,0.0,False,,1
AHMA,463,464,0.3169,False,,1
AHMA,470,471,0.0,True,3.0,1
AHMA,473,474,0.0,False,,1
AHMA,478,479,0.4284,False,,1
AHMA,489,490,1.0,True,1.0,2
AHMA,492,493,0.0065,False,,1
AHMA,494,495,0.6455,False,,2
AHMA,498,499,0.9912,False,,2
AHMA,506,507,0.0,False,,1
AHMA,514,515,0.0,True,5.0,1
AHMA,516,517,0.3399,True,3.0,1
AHMA,518,519,1.0,True,1.0,18
AHMA,537,538,0.0235,True,2.0,1
AHMA,539,540,1.0,False,,2
CAST,9,10,0.0023,False,,1
CAST,23,24,1.0,False,,2
CAST,52,53,0.0022,False,,1
CAST,64,65,0.9939,True,1.0,2
CAST,68,69,0.9953,False,,3
CAST,74,75,0.0061,False,,1
CAST,76,77,0.004,False,,1
CAST,78,79,0.3983,False,,1
CAST,82,83,0.0493,False,,1
CAST,88,89,1.0,True,1.0,2
CAST,92,93,0.0669,False,,1
CAST,99,100,1.0,False,,3
CAST,103,104,0.0592,True,3.0,1
CAST,106,107,0.0754,False,,1
CAST,114,115,1.0,False,,2
CAST,121,122,0.0888,False,,1
CAST,128,129,0.0034,False,,1
CAST,133,134,0.0029,False,,1
CAST,135,136,0.0143,False,,1
