ticker,lag,n_events,pre_event_p_burst_mean,pre_event_p_burst_median,baseline_p_burst_mean,lift,mw_pval,mw_significant,rva_pre_event_mean,rva_pval
AHMA,0,36,1.0,1.0,0.1477,6.769,0.0,True,0.5642,0.0151
AHMA,1,36,0.7426,1.0,0.1477,5.027,0.0,True,-1.9568,0.8694
AHMA,2,36,0.706,1.0,0.1477,4.779,0.0,True,1.0212,0.6525
AHMA,3,36,0.6616,1.0,0.1477,4.479,0.0,True,1.4054,0.1586
CAST,0,41,0.9636,1.0,0.1763,5.465,0.0,True,1.6446,0.0
CAST,1,41,0.6036,0.9999,0.1763,3.424,0.0,True,0.7366,0.4307
CAST,2,41,0.5777,0.9947,0.1763,3.277,0.0,True,-0.2136,0.8013
CAST,3,41,0.5806,0.6358,0.1763,3.293,0.0,True,0.1286,0.1274
CUPR,0,47,0.9994,1.0,0.0869,11.5,0.0,True,2.6756,0.016
CUPR,1,47,0.6398,1.0,0.0869,7.363,0.0,True,1.392,0.8549
CUPR,2,47,0.5771,0.9996,0.0869,6.641,0.0,True,-0.2261,0.8882
CUPR,3,46,0.5002,0.4594,0.0869,5.756,0.0,True,0.3612,0.8661
GLXG,0,80,0.9603,1.0,0.0606,15.858,0.0,True,2.5833,0.0
GLXG,1,80,0.577,0.983,0.0606,9.529,0.0,True,4.5299,0.0
GLXG,2,80,0.423,0.033,0.0606,6.986,0.0,True,-0.0302,0.8416
GLXG,3,80,0.4781,0.2383,0.0606,7.895,0.0,True,0.8843,0.2475
HQ,0,10,0.6094,0.5221,0.1334,4.567,0.0,True,2.8807,0.0
HQ,1,10,0.4192,0.3333,0.1334,3.142,0.0061,True,0.0958,0.6005
HQ,2,10,0.351,0.3333,0.1334,2.631,0.0032,True,-1.6899,0.9972
HQ,3,10,0.4854,0.3333,0.1334,3.638,0.0001,True,1.9298,0.0016
HUBC,0,30,0.9267,1.0,0.1613,5.744,0.0,True,0.6162,0.1676
HUBC,1,30,0.7714,1.0,0.1613,4.782,0.0,True,1.591,0.8052
HUBC,2,30,0.7197,0.9976,0.1613,4.461,0.0,True,-1.0759,0.6857
HUBC,3,30,0.6675,0.9937,0.1613,4.138,0.0,True,1.1834,0.1056
LUD,0,31,1.0,1.0,0.2192,4.563,0.0,True,5.2346,0.0
LUD,1,31,0.4862,0.3084,0.2192,2.218,0.0002,True,1.0038,0.2935
LUD,2,31,0.3251,0.0377,0.2192,1.483,0.0804,False,1.1142,0.1529
LUD,3,31,0.2802,0.0358,0.2192,1.278,0.0625,False,-0.849,0.7373
MTEN,0,31,1.0,1.0,0.504,1.984,0.0,True,0.7646,0.025
MTEN,1,31,0.9143,1.0,0.504,1.814,0.0,True,1.3971,0.1244
MTEN,2,31,0.8397,1.0,0.504,1.666,0.0,True,-0.769,0.479
MTEN,3,31,0.8067,1.0,0.504,1.601,0.0,True,1.6657,0.1692
QUCY,0,8,0.8203,0.8907,0.0556,14.748,0.0,True,0.4879,0.0034
QUCY,1,8,0.5751,0.6644,0.0556,10.339,0.0,True,-0.0381,0.7876
QUCY,2,8,0.465,0.2456,0.0556,8.361,0.0,True,0.5637,0.0351
QUCY,3,8,0.4769,0.3658,0.0556,8.574,0.0001,True,-0.2484,0.9893
RDGT,0,31,0.9995,1.0,0.3103,3.221,0.0,True,2.1345,0.0
RDGT,1,31,0.6694,1.0,0.3103,2.157,0.0,True,1.0229,0.167
RDGT,2,31,0.8147,1.0,0.3103,2.626,0.0,True,0.464,0.0791
RDGT,3,31,0.6611,0.9993,0.3103,2.13,0.0,True,1.0563,0.1303
RGNT,0,28,0.0,0.0,0.0,0.0,0.0,True,0.4808,0.1918
RGNT,1,28,0.0,0.0,0.0,0.0,0.4599,False,1.5848,0.8668
RGNT,2,28,0.0,0.0,0.0,0.0,0.5587,False,4.7735,0.0753
RGNT,3,28,0.0,0.0,0.0,0.0,0.2506,False,-1.1677,0.575
SDOT,0,23,1.0,1.0,0.2687,3.722,0.0,True,1.0921,0.4063
SDOT,1,23,0.8659,1.0,0.2687,3.223,0.0,True,0.0178,0.5812
SDOT,2,23,0.7041,1.0,0.2687,2.621,0.0,True,0.4416,0.572
SDOT,3,23,0.5945,1.0,0.2687,2.213,0.0,True,0.9917,0.0761
UBXG,0,27,0.9448,1.0,0.0434,21.786,0.0,True,1.7058,0.0715
UBXG,1,27,0.74,1.0,0.0434,17.064,0.0,True,0.9233,0.3501
UBXG,2,27,0.6219,0.9982,0.0434,14.342,0.0,True,0.8386,0.2332
UBXG,3,27,0.538,0.7271,0.0434,12.407,0.0,True,-0.707,0.6613
VSME,0,39,0.9978,1.0,0.5082,1.963,0.0,True,0.9409,0.3084
VSME,1,38,0.9177,1.0,0.5082,1.806,0.0,True,0.6858,0.7758
VSME,2,38,0.8138,1.0,0.5082,1.601,0.0,True,0.5716,0.8687
VSME,3,37,0.7837,1.0,0.5082,1.542,0.0,True,1.8885,0.4866
WYFI,0,15,0.99,1.0,0.1353,7.318,0.0,True,1.3594,0.0193
WYFI,1,15,0.6191,1.0,0.1353,4.576,0.0001,True,1.74,0.0281
WYFI,2,15,0.3902,0.1512,0.1353,2.884,0.0496,True,-0.1484,0.4446
WYFI,3,15,0.3185,0.1003,0.1353,2.355,0.0318,True,0.2242,0.2179
