ticker,signal_bar,entry_bar,type,outcome,p_burst,hmm_state,rva,bars_to_event
AHMA,262.0,263.0,signal,FP,0.4024,1,0.9151,
AHMA,325.0,326.0,signal,FP,0.441,1,0.0449,
AHMA,479.0,480.0,signal,FP,0.4284,1,-3.6357,
AHMA,,,event,FN,1.0,2,1.0916,0.0
AHMA,,,event,FN,1.0,2,7.577,0.0
AHMA,,,event,FN,1.0,2,-4.5595,0.0
AHMA,,,event,FN,1.0,2,4.6541,0.0
AHMA,,,event,FN,1.0,2,-72.9946,0.0
AHMA,,,event,FN,1.0,2,-12.1319,0.0
AHMA,,,event,FN,1.0,2,-5.162,0.0
AHMA,,,event,FN,1.0,2,-8.4718,0.0
AHMA,,,event,FN,1.0,2,1.246,0.0
AHMA,,,event,FN,1.0,2,-1.7304,0.0
AHMA,,,event,FN,1.0,2,8.5283,0.0
AHMA,,,event,FN,1.0,2,-0.6784,0.0
AHMA,,,event,FN,1.0,2,1.9632,0.0
AHMA,,,event,FN,1.0,2,3.4916,0.0
AHMA,,,event,FN,1.0,2,5.6251,0.0
AHMA,,,event,FN,1.0,2,0.94,0.0
AHMA,,,event,FN,1.0,2,2.5059,0.0
AHMA,,,event,FN,1.0,2,4.0256,0.0
AHMA,,,event,FN,1.0,2,5.9827,0.0
AHMA,,,event,FN,1.0,2,3.9508,0.0
AHMA,,,event,FN,1.0,2,100.0235,0.0
AHMA,,,event,FN,1.0,2,36.1616,0.0
AHMA,,,event,FN,1.0,2,-32.4205,0.0
AHMA,,,event,FN,1.0,2,-14.7088,0.0
AHMA,,,event,FN,1.0,2,-1.3955,0.0
AHMA,,,event,FN,1.0,2,-20.9782,0.0
AHMA,,,event,FN,1.0,2,8.2513,0.0
AHMA,,,event,FN,1.0,2,1.935,0.0
AHMA,,,event,FN,1.0,2,-11.9547,0.0
AHMA,,,event,FN,1.0,2,-1.0353,0.0
AHMA,,,event,FN,1.0,2,-0.5048,0.0
AHMA,,,event,FN,1.0,2,1.2538,0.0
AHMA,,,event,FN,1.0,2,6.0445,0.0
AHMA,,,event,FN,1.0,2,0.4368,0.0
AHMA,,,event,FN,1.0,2,2.0486,0.0
AHMA,,,event,FN,1.0,2,1.3004,0.0
CAST,11.0,12.0,signal,FP,0.4565,0,-0.0416,
CAST,44.0,45.0,signal,FP,0.4523,1,0.8576,
CAST,118.0,119.0,signal,FP,0.4944,1,1.4661,
CAST,316.0,317.0,signal,TP,0.4663,1,0.8981,3.0
CAST,,,event,FN,1.0,2,3.7877,0.0
CAST,,,event,FN,0.8017,2,2.1817,0.0
CAST,,,event,FN,0.9958,2,2.7436,0.0
CAST,,,event,FN,0.862,2,1.6202,0.0
CAST,,,event,FN,0.9939,2,0.7156,0.0
CAST,,,event,FN,0.9887,2,1.1615,0.0
CAST,,,event,FN,0.7721,2,1.879,0.0
CAST,,,event,FN,0.9999,2,2.6897,0.0
CAST,,,event,FN,1.0,2,2.2202,0.0
CAST,,,event,FN,0.992,2,2.0992,0.0
CAST,,,event,FN,0.9833,2,2.2533,0.0
CAST,,,event,FN,1.0,2,4.0668,0.0
CAST,,,event,FN,0.1246,1,0.7478,0.0
CAST,,,event,FN,0.9937,2,1.2526,0.0
CAST,,,event,FN,1.0,2,3.3766,0.0
CAST,,,event,FN,1.0,2,2.4578,0.0
CAST,,,event,FN,1.0,2,6.4032,0.0
CAST,,,event,FN,1.0,2,22.1872,0.0
CAST,,,event,FN,1.0,2,-8.7265,0.0
CAST,,,event,FN,1.0,2,3.0097,0.0
CAST,,,event,caught,1.0,2,2.6832,0.0
CAST,,,event,FN,1.0,2,3.9536,0.0
CAST,,,event,FN,1.0,2,1.855,0.0
CAST,,,event,FN,1.0,2,98.5186,0.0
CAST,,,event,FN,1.0,2,-35.539,0.0
CAST,,,event,FN,1.0,2,-4.6409,0.0
CAST,,,event,FN,1.0,2,-39.5366,0.0
CAST,,,event,FN,1.0,2,-19.9533,0.0
CAST,,,event,FN,1.0,2,10.4222,0.0
CAST,,,event,FN,1.0,2,-5.2961,0.0
CAST,,,event,FN,1.0,2,11.9476,0.0
CAST,,,event,FN,1.0,2,-15.6176,0.0
CAST,,,event,FN,1.0,2,0.8528,0.0
CAST,,,event,FN,1.0,2,-0.1315,0.0
CAST,,,event,FN,1.0,2,-1.3842,0.0
CAST,,,event,FN,1.0,2,1.1067,0.0
CAST,,,event,FN,1.0,2,-2.984,0.0
CAST,,,event,FN,1.0,2,1.7875,0.0
CAST,,,event,FN,1.0,2,1.7517,0.0
CAST,,,event,FN,1.0,2,-0.0522,0.0
CAST,,,event,FN,1.0,2,-0.4433,0.0
CUPR,149.0,150.0,signal,FP,0.4674,1,-0.1045,
CUPR,453.0,454.0,signal,TP,0.4074,1,1.1982,3.0
CUPR,460.0,461.0,signal,FP,0.4952,1,-3.956,
CUPR,472.0,473.0,signal,FP,0.4904,1,0.698,
CUPR,737.0,738.0,signal,FP,0.4915,1,0.6056,
CUPR,771.0,772.0,signal,TP,0.4167,1,1.5019,5.0
CUPR,777.0,778.0,signal,TP,0.4172,1,-8.8776,4.0
CUPR,,,event,FN,1.0,2,0.312,0.0
CUPR,,,event,FN,1.0,2,9.6786,0.0
CUPR,,,event,FN,1.0,2,5.9417,0.0
CUPR,,,event,FN,1.0,2,-101.1424,0.0
CUPR,,,event,FN,1.0,2,0.3,0.0
CUPR,,,event,FN,0.9793,2,-1.0721,0.0
CUPR,,,event,FN,1.0,2,2.0714,0.0
CUPR,,,event,FN,1.0,2,11.2628,0.0
CUPR,,,event,FN,1.0,2,9.0001,0.0
CUPR,,,event,FN,1.0,2,-6.5211,0.0
CUPR,,,event,FN,1.0,2,27.1948,0.0
CUPR,,,event,FN,1.0,2,-7.2412,0.0
CUPR,,,event,FN,0.9995,2,2.3488,0.0
CUPR,,,event,FN,0.9998,2,1.8829,0.0
CUPR,,,event,FN,1.0,2,5.3427,0.0
CUPR,,,event,FN,1.0,2,21.4714,0.0
CUPR,,,event,FN,1.0,2,-1.9316,0.0
CUPR,,,event,FN,0.9988,2,1.8354,0.0
CUPR,,,event,FN,1.0,2,11.0059,0.0
CUPR,,,event,FN,1.0,2,3.2556,0.0
CUPR,,,event,FN,1.0,2,1.8012,0.0
CUPR,,,event,caught,1.0,2,106.2418,0.0
CUPR,,,event,caught,1.0,2,-55.8401,0.0
CUPR,,,event,caught,1.0,2,-41.1275,0.0
CUPR,,,event,FN,1.0,2,1.5817,0.0
CUPR,,,event,FN,0.9999,2,2.2468,0.0
CUPR,,,event,FN,1.0,2,1.6107,0.0
CUPR,,,event,FN,1.0,2,46.4812,0.0
CUPR,,,event,FN,1.0,2,4.9104,0.0
CUPR,,,event,FN,0.9995,2,-5.2654,0.0
CUPR,,,event,caught,1.0,2,9.8286,0.0
CUPR,,,event,caught,0.9994,2,1.4683,0.0
CUPR,,,event,FN,0.9962,2,-0.9928,0.0
CUPR,,,event,FN,1.0,2,116.6768,0.0
CUPR,,,event,FN,1.0,2,-28.6893,0.0
CUPR,,,event,FN,1.0,2,-6.0227,0.0
CUPR,,,event,FN,1.0,2,-7.9122,0.0
CUPR,,,event,FN,1.0,2,-1.0782,0.0
CUPR,,,event,FN,1.0,2,-2.2384,0.0
CUPR,,,event,FN,1.0,2,-4.9339,0.0
CUPR,,,event,FN,1.0,2,0.2824,0.0
CUPR,,,event,FN,1.0,2,-3.4944,0.0
CUPR,,,event,FN,1.0,2,-5.4651,0.0
CUPR,,,event,FN,1.0,2,-2.322,0.0
CUPR,,,event,FN,0.9998,2,-0.4082,0.0
CUPR,,,event,FN,1.0,2,2.0617,0.0
CUPR,,,event,FN,1.0,2,1.3567,0.0
GLXG,441.0,442.0,signal,FP,0.4735,1,0.6982,
GLXG,611.0,612.0,signal,TP,0.4018,1,0.0494,3.0
GLXG,615.0,616.0,signal,FP,0.4554,1,-3.9902,
GLXG,654.0,655.0,signal,FP,0.474,1,1.9822,
GLXG,737.0,738.0,signal,FP,0.4603,1,0.3914,
GLXG,897.0,898.0,signal,TP,0.489,1,-1.3004,2.0
GLXG,903.0,904.0,signal,TP,0.4371,1,-1.1392,1.0
GLXG,974.0,975.0,signal,FP,0.4961,1,-1.4777,
GLXG,,,event,FN,1.0,2,111.855,0.0
GLXG,,,event,FN,0.5762,2,-113.2058,0.0
GLXG,,,event,FN,1.0,2,2.5815,0.0
GLXG,,,event,FN,1.0,2,-27.3111,0.0
GLXG,,,event,FN,1.0,2,4.913,0.0
GLXG,,,event,FN,1.0,2,6.0416,0.0
GLXG,,,event,FN,1.0,2,52.66,0.0
GLXG,,,event,FN,1.0,2,-51.6516,0.0
GLXG,,,event,FN,1.0,2,2.7244,0.0
GLXG,,,event,FN,1.0,2,11.188,0.0
GLXG,,,event,FN,1.0,2,-7.2208,0.0
GLXG,,,event,FN,1.0,2,2.3888,0.0
GLXG,,,event,FN,1.0,2,-0.4038,0.0
GLXG,,,event,FN,1.0,2,48.8497,0.0
GLXG,,,event,FN,0.9998,2,2.9678,0.0
GLXG,,,event,FN,0.9013,2,-0.6603,0.0
GLXG,,,event,FN,1.0,2,4.1947,0.0
GLXG,,,event,FN,1.0,2,17.2611,0.0
GLXG,,,event,FN,1.0,2,13.795,0.0
GLXG,,,event,FN,1.0,2,2.1241,0.0
GLXG,,,event,FN,1.0,2,4.8422,0.0
GLXG,,,event,FN,0.3598,1,2.0553,0.0
GLXG,,,event,FN,0.9148,2,2.3158,0.0
GLXG,,,event,FN,1.0,2,6.6518,0.0
GLXG,,,event,FN,0.6944,2,1.8278,0.0
GLXG,,,event,FN,0.9833,2,2.6804,0.0
GLXG,,,event,FN,1.0,2,4.2829,0.0
GLXG,,,event,caught,1.0,2,3.701,0.0
GLXG,,,event,FN,1.0,2,4.0771,0.0
GLXG,,,event,FN,1.0,2,4.055,0.0
GLXG,,,event,FN,1.0,2,3.5273,0.0
GLXG,,,event,FN,0.9998,2,3.068,0.0
GLXG,,,event,FN,1.0,2,2.3534,0.0
GLXG,,,event,FN,0.9997,2,2.2556,0.0
GLXG,,,event,FN,1.0,2,0.6498,0.0
GLXG,,,event,FN,1.0,2,7.0832,0.0
GLXG,,,event,FN,0.9959,2,2.7394,0.0
GLXG,,,event,FN,1.0,2,5.823,0.0
GLXG,,,event,FN,1.0,2,-1.5413,0.0
GLXG,,,event,FN,1.0,2,-2.3648,0.0
GLXG,,,event,FN,0.9386,2,1.9662,0.0
GLXG,,,event,FN,0.8675,2,1.7712,0.0
GLXG,,,event,FN,1.0,2,3.8575,0.0
GLXG,,,event,FN,0.6707,2,-4.6532,0.0
GLXG,,,event,FN,1.0,2,3.7248,0.0
GLXG,,,event,FN,0.9996,2,2.2711,0.0
GLXG,,,event,FN,0.9988,2,2.6303,0.0
GLXG,,,event,FN,0.7719,2,2.3021,0.0
GLXG,,,event,FN,0.6881,2,-0.2688,0.0
GLXG,,,event,FN,1.0,2,10.151,0.0
GLXG,,,event,FN,0.9988,2,2.2848,0.0
GLXG,,,event,FN,1.0,2,-9.0368,0.0
GLXG,,,event,FN,1.0,2,1.1217,0.0
GLXG,,,event,FN,1.0,2,0.791,0.0
GLXG,,,event,FN,0.97,2,-7.8872,0.0
GLXG,,,event,FN,1.0,2,3.4672,0.0
GLXG,,,event,FN,0.5073,2,-4.183,0.0
GLXG,,,event,caught,1.0,2,28.6693,0.0
GLXG,,,event,caught,1.0,2,1.797,0.0
GLXG,,,event,caught,0.9991,2,-1.181,0.0
