ticker,A_qu_qu,A_qu_ac,A_qu_bu,A_ac_qu,A_ac_ac,A_ac_bu,A_bu_qu,A_bu_ac,A_bu_bu
AHMA,0.787599,0.1781,0.034301,0.25784,0.641115,0.101045,0.076087,0.380435,0.543478
CAST,0.715962,0.246479,0.037559,0.375839,0.540268,0.083893,0.055172,0.22069,0.724138
CUPR,0.649852,0.295747,0.054402,0.394737,0.478947,0.126316,0.190813,0.342756,0.466431
GLXG,0.676686,0.288856,0.034457,0.486518,0.425557,0.087925,0.091912,0.356618,0.551471
HQ,0.588235,0.377451,0.034314,0.4,0.538272,0.061728,0.06383,0.361702,0.574468
HUBC,0.91629,0.061086,0.022624,0.146245,0.671937,0.181818,0.007634,0.419847,0.572519
LUD,0.341463,0.573171,0.085366,0.252862,0.622268,0.12487,0.105058,0.498054,0.396887
MTEN,0.53304,0.374449,0.092511,0.429412,0.264706,0.305882,0.268293,0.325203,0.406504
QUCY,0.625,0.355263,0.019737,0.283544,0.673418,0.043038,0.020408,0.22449,0.755102
RDGT,0.353933,0.511236,0.134831,0.258427,0.573034,0.168539,0.129412,0.364706,0.505882
RGNT,0.507092,0.492908,0.0,0.318707,0.678984,0.002309,0.0,0.5,0.5
SDOT,0.91498,0.040486,0.044534,0.028571,0.844898,0.126531,0.07772,0.139896,0.782383
UBXG,0.817857,0.142857,0.039286,0.164,0.74,0.096,0.081081,0.225225,0.693694
VSME,0.556122,0.372449,0.071429,0.49359,0.403846,0.102564,0.072464,0.137681,0.789855
WYFI,0.816919,0.157828,0.025253,0.148071,0.733055,0.118874,0.00995,0.651741,0.338308
