ticker,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
ETC/USDT,457,232,225,0.5077,0.0557,0.0122,0.3566,-0.2545,1.445,25.4696,25.5846,-6.2701,0.1244
WIF/USDT,475,227,248,0.4779,0.0492,0.0,0.5112,-0.3737,1.252,23.3781,25.3539,-8.5926,0.0774
LINK/USDT,473,249,224,0.5264,0.0462,0.0255,0.3193,-0.2574,1.379,21.8438,23.3809,-9.2624,0.1107
ARB/USDT,418,213,205,0.5096,0.0521,0.0176,0.4588,-0.3706,1.287,21.7686,24.3462,-6.7572,0.088
SAND/USDT,493,249,244,0.5051,0.0436,0.0131,0.3892,-0.3091,1.285,21.4912,22.6569,-4.3321,0.0889
BONK/USDT,508,245,263,0.4823,0.0371,0.0,0.448,-0.3456,1.208,18.8664,19.2162,-10.2741,0.0665
XLM/USDT,406,196,210,0.4828,0.0415,-0.0031,0.4271,-0.3184,1.252,16.8473,22.3605,-8.8043,0.0727
PEPE/USDT,306,153,153,0.5,0.046,0.0126,0.3919,-0.2999,1.307,14.0729,14.0729,-5.2694,0.0946
ALGO/USDT,492,239,253,0.4858,0.0239,0.0,0.4288,-0.3586,1.13,11.7672,13.5018,-11.7079,0.043
COMP/USDT,397,191,206,0.4811,0.0271,0.0,0.4266,-0.3433,1.152,10.7597,19.8748,-10.4295,0.0482
GMX/USDT,489,220,269,0.4499,0.0208,0.0,0.4573,-0.3362,1.112,10.1659,10.5982,-10.3408,0.037
ZIL/USDT,623,298,325,0.4783,0.0151,0.0,0.3647,-0.3056,1.094,9.3811,11.2862,-10.9515,0.0302
INJ/USDT,563,275,288,0.4885,0.0158,0.0,0.5147,-0.4606,1.067,8.878,12.9561,-15.4807,0.0223
KNC/USDT,136,51,85,0.375,0.0636,0.0,0.6695,-0.3,1.339,8.6441,8.657,-5.1519,0.0873
APT/USDT,401,204,197,0.5087,0.0187,0.0106,0.3958,-0.3719,1.102,7.4828,8.1349,-6.261,0.0357
LRC/USDT,313,132,181,0.4217,0.0236,0.0,0.5136,-0.3336,1.123,7.4024,9.7139,-17.5407,0.0371
FLOKI/USDT,570,266,304,0.4667,0.0127,0.0,0.4347,-0.3566,1.067,7.2137,19.9706,-13.528,0.0218
UNI/USDT,435,197,238,0.4529,0.0139,-0.0275,0.4277,-0.3287,1.077,6.0451,17.5635,-12.0276,0.0246
DOT/USDT,361,179,182,0.4958,0.0167,0.0,0.3178,-0.2795,1.118,6.0157,7.9914,-4.9399,0.0394
CRV/USDT,471,209,262,0.4437,0.0111,-0.0412,0.4644,-0.3505,1.057,5.2302,6.9101,-7.8933,0.0201
1INCH/USDT,574,275,299,0.4791,0.0069,0.0,0.3045,-0.2669,1.05,3.95,7.3943,-8.0663,0.0162
WIN/USDT,1,1,0,1.0,3.0,3.0,3.0,0.0,inf,3.0,3.0,0.0,
BABYDOGE/USDT,124,52,72,0.4194,0.021,0.0,0.6692,-0.4471,1.081,2.6029,7.4528,-6.56,0.0282
GALA/USDT,593,270,323,0.4553,0.0033,-0.0275,0.4416,-0.3632,1.016,1.9353,14.4885,-15.8463,0.0059
AAVE/USDT,464,220,244,0.4741,-0.0005,-0.0197,0.3885,-0.3512,0.997,-0.2274,4.0968,-12.7467,-0.0009
SUI/USDT,325,162,163,0.4985,-0.0045,0.0,0.3195,-0.3264,0.973,-1.4514,1.3771,-5.9902,-0.0099
FIL/USDT,342,168,174,0.4912,-0.0056,0.0,0.4296,-0.4259,0.974,-1.9231,2.0149,-8.0977,-0.0091
ASTR/USDT,487,201,286,0.4127,-0.0042,0.0,0.422,-0.3038,0.976,-2.0694,5.7552,-13.6913,-0.0079
TRX/USDT,437,212,225,0.4851,-0.0048,0.0,0.1057,-0.1089,0.914,-2.0972,0.7671,-3.603,-0.0303
CHZ/USDT,354,165,189,0.4661,-0.0061,-0.0114,0.4978,-0.4459,0.975,-2.1465,11.3639,-14.2029,-0.0092
ADA/USDT,274,119,155,0.4343,-0.0087,0.0,0.3729,-0.3017,0.949,-2.3886,3.5421,-8.5051,-0.0184
BTC/USDT,417,213,204,0.5108,-0.0062,0.0058,0.1758,-0.1962,0.935,-2.5893,0.3063,-5.353,-0.0236
YFI/USDT,340,135,205,0.3971,-0.0111,0.0,0.3353,-0.2392,0.923,-3.7608,0.5305,-7.8841,-0.0262
MANA/USDT,464,210,254,0.4526,-0.0092,-0.0118,0.3511,-0.307,0.945,-4.2567,1.3275,-12.9573,-0.0203
DOGE/USDT,253,115,138,0.4545,-0.017,-0.0328,0.3223,-0.2997,0.896,-4.2976,0.0309,-12.5313,-0.0369
