vol_mult,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
1.0,47649,22360,25289,0.4693,0.0007,0.0,0.3913,-0.3446,1.004,34.3617,150.6274,-294.377,0.0013
1.25,33401,15498,17903,0.464,0.0024,0.0,0.3927,-0.3354,1.014,81.4553,134.2008,-192.3525,0.0045
1.5,24380,11164,13216,0.4579,0.0002,0.0,0.394,-0.3324,1.001,4.7606,51.6286,-154.5513,0.0004
1.75,18747,8579,10168,0.4576,0.0022,0.0,0.3913,-0.3262,1.012,40.7348,67.1803,-104.5464,0.0041
2.0,14844,6721,8123,0.4528,0.0021,0.0,0.3938,-0.3221,1.012,30.8328,46.9147,-87.6796,0.0039
2.25,12052,5417,6635,0.4495,-0.0016,0.0,0.3913,-0.3223,0.991,-19.0554,14.2672,-80.9942,-0.003
2.5,9945,4463,5482,0.4488,-0.002,0.0,0.3881,-0.3195,0.989,-19.4939,16.0934,-67.7011,-0.0038
2.75,8315,3719,4596,0.4473,-0.0013,0.0,0.3903,-0.3182,0.992,-10.9998,27.1167,-68.6362,-0.0025
3.0,7026,3107,3919,0.4422,-0.0039,0.0,0.3889,-0.3153,0.978,-27.2002,5.82,-57.9283,-0.0075
3.25,6046,2646,3400,0.4376,-0.0073,0.0,0.3853,-0.3128,0.959,-43.9164,5.82,-64.6926,-0.0141
3.5,5209,2255,2954,0.4329,-0.0092,0.0,0.3865,-0.3113,0.948,-48.114,5.4671,-78.3229,-0.018
