ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,atr_pct_sig,vol_mult_sig,pct_return
WIN/USDT,2025-07-07 00:00:00,2025-07-08 00:00:00,5e-05,2025-07-10 00:00:00,5.2e-05,profit_target,3,0.028891,3.681,3.0
CRV/USDT,2026-01-26 08:30:00,2026-01-26 08:35:00,0.3512,2026-01-26 08:55:00,0.3496,time_stop,5,0.002746,2.994,-0.4556
LINK/USDT,2026-01-26 08:55:00,2026-01-26 09:00:00,11.878,2026-01-26 09:20:00,11.814,time_stop,5,0.001872,1.782,-0.5388
LINK/USDT,2026-01-26 09:15:00,2026-01-26 09:20:00,11.82,2026-01-26 09:40:00,11.793,time_stop,5,0.001824,1.837,-0.2284
DOT/USDT,2026-01-26 09:40:00,2026-01-26 09:45:00,1.846,2026-01-26 10:05:00,1.847,time_stop,5,0.002059,2.561,0.0542
DYDX/USDT,2026-01-26 10:10:00,2026-01-26 10:15:00,0.1639,2026-01-26 10:35:00,0.1636,time_stop,5,0.001796,1.502,-0.183
WIF/USDT,2026-01-26 10:25:00,2026-01-26 10:30:00,0.3264,2026-01-26 10:50:00,0.3257,time_stop,5,0.002045,2.722,-0.2145
INJ/USDT,2026-01-26 10:25:00,2026-01-26 10:30:00,4.382,2026-01-26 10:50:00,4.386,time_stop,5,0.00171,3.591,0.0913
APT/USDT,2026-01-26 10:40:00,2026-01-26 10:45:00,1.53,2026-01-26 11:05:00,1.535,time_stop,5,0.0017,1.663,0.3268
SAND/USDT,2026-01-26 10:50:00,2026-01-26 10:55:00,0.1371,2026-01-26 11:15:00,0.1366,time_stop,5,0.007348,1.836,-0.3647
BTC/USDT,2026-01-26 11:05:00,2026-01-26 11:10:00,87952.0,2026-01-26 11:30:00,87804.7,time_stop,5,0.000813,1.878,-0.1675
TRX/USDT,2026-01-26 11:40:00,2026-01-26 11:45:00,0.29547,2026-01-26 12:05:00,0.29518,time_stop,5,0.000485,2.026,-0.0981
ATOM/USDT,2026-01-26 11:50:00,2026-01-26 11:55:00,2.267,2026-01-26 12:15:00,2.275,time_stop,5,0.001374,3.466,0.3529
AXS/USDT,2026-01-26 12:25:00,2026-01-26 12:30:00,2.3906,2026-01-26 12:30:00,2.342788,stop_loss,1,0.019072,1.602,-2.0
ATOM/USDT,2026-01-26 12:30:00,2026-01-26 12:35:00,2.268,2026-01-26 12:55:00,2.277,time_stop,5,0.001511,1.896,0.3968
AVAX/USDT,2026-01-26 13:05:00,2026-01-26 13:10:00,11.697,2026-01-26 13:30:00,11.737,time_stop,5,0.001226,1.953,0.342
INJ/USDT,2026-01-26 13:10:00,2026-01-26 13:15:00,4.425,2026-01-26 13:35:00,4.423,time_stop,5,0.001036,1.562,-0.0452
GALA/USDT,2026-01-26 13:50:00,2026-01-26 13:55:00,0.00608,2026-01-26 14:15:00,0.006055,time_stop,5,0.00144,1.743,-0.4112
UNI/USDT,2026-01-26 13:50:00,2026-01-26 13:55:00,4.664,2026-01-26 14:15:00,4.634,time_stop,5,0.00156,2.595,-0.6432
SHIB/USDT,2026-01-26 13:55:00,2026-01-26 14:00:00,8e-06,2026-01-26 14:20:00,8e-06,time_stop,5,0.00128,1.837,-0.3651
CHZ/USDT,2026-01-26 14:20:00,2026-01-26 14:25:00,0.05055,2026-01-26 14:45:00,0.05134,time_stop,5,0.002378,2.098,1.5628
CRV/USDT,2026-01-26 14:45:00,2026-01-26 14:50:00,0.3534,2026-01-26 15:10:00,0.3583,time_stop,5,0.003044,6.664,1.3865
CRV/USDT,2026-01-26 14:50:00,2026-01-26 14:55:00,0.3538,2026-01-26 15:15:00,0.3573,time_stop,5,0.002935,8.061,0.9893
FIL/USDT,2026-01-26 14:50:00,2026-01-26 14:55:00,1.274,2026-01-26 15:15:00,1.29,time_stop,5,0.003444,1.61,1.2559
CRV/USDT,2026-01-26 15:05:00,2026-01-26 15:10:00,0.3561,2026-01-26 15:30:00,0.3547,time_stop,5,0.003174,2.978,-0.3931
MANA/USDT,2026-01-26 15:15:00,2026-01-26 15:20:00,0.147,2026-01-26 15:40:00,0.1457,time_stop,5,0.003451,4.298,-0.8844
DYDX/USDT,2026-01-26 16:10:00,2026-01-26 16:15:00,0.1652,2026-01-26 16:35:00,0.1653,time_stop,5,0.004227,2.087,0.0605
LTC/USDT,2026-01-26 16:50:00,2026-01-26 16:55:00,69.53,2026-01-26 17:15:00,68.97,time_stop,5,0.003696,1.896,-0.8054
BONK/USDT,2026-01-26 16:50:00,2026-01-26 16:55:00,9e-06,2026-01-26 17:15:00,9e-06,time_stop,5,0.004575,4.017,-0.9916
UNI/USDT,2026-01-26 17:00:00,2026-01-26 17:05:00,4.716,2026-01-26 17:25:00,4.684,time_stop,5,0.004617,2.032,-0.6785
ENJ/USDT,2026-01-26 17:00:00,2026-01-26 17:05:00,0.02732,2026-01-26 17:25:00,0.02725,time_stop,5,0.002291,1.978,-0.2562
SUSHI/USDT,2026-01-26 17:10:00,2026-01-26 17:15:00,0.2995,2026-01-26 17:35:00,0.2977,time_stop,5,0.003898,3.085,-0.601
AAVE/USDT,2026-01-26 17:10:00,2026-01-26 17:15:00,153.25,2026-01-26 17:35:00,152.97,time_stop,5,0.003965,2.365,-0.1827
BONK/USDT,2026-01-26 17:20:00,2026-01-26 17:25:00,9e-06,2026-01-26 17:45:00,9e-06,time_stop,5,0.004777,2.791,0.0459
DYDX/USDT,2026-01-26 17:35:00,2026-01-26 17:40:00,0.1654,2026-01-26 18:00:00,0.1657,time_stop,5,0.003576,1.907,0.1814
BABYDOGE/USDT,2026-01-26 17:45:00,2026-01-26 17:50:00,0.0,2026-01-26 18:10:00,0.0,time_stop,5,0.002865,1.81,-0.1736
CRV/USDT,2026-01-26 18:00:00,2026-01-26 18:05:00,0.3544,2026-01-26 18:25:00,0.3555,time_stop,5,0.003251,2.543,0.3104
BCH/USDT,2026-01-26 18:00:00,2026-01-26 18:05:00,578.1,2026-01-26 18:25:00,580.9,time_stop,5,0.002082,1.958,0.4843
BCH/USDT,2026-01-26 18:10:00,2026-01-26 18:15:00,578.6,2026-01-26 18:35:00,581.1,time_stop,5,0.001918,1.959,0.4321
BNB/USDT,2026-01-26 18:20:00,2026-01-26 18:25:00,876.1,2026-01-26 18:45:00,877.8,time_stop,5,0.00158,1.604,0.194
AAVE/USDT,2026-01-26 18:50:00,2026-01-26 18:55:00,153.96,2026-01-26 19:15:00,154.02,time_stop,5,0.003512,1.666,0.039
BABYDOGE/USDT,2026-01-26 19:00:00,2026-01-26 19:05:00,0.0,2026-01-26 19:25:00,0.0,time_stop,5,0.002385,7.066,0.0
CHZ/USDT,2026-01-26 19:55:00,2026-01-26 20:00:00,0.05328,2026-01-26 20:20:00,0.05342,time_stop,5,0.004173,1.629,0.2628
SAND/USDT,2026-01-26 20:00:00,2026-01-26 20:05:00,0.1326,2026-01-26 20:25:00,0.1314,time_stop,5,0.002018,3.791,-0.905
ENJ/USDT,2026-01-26 20:00:00,2026-01-26 20:05:00,0.0278,2026-01-26 20:25:00,0.02786,time_stop,5,0.00143,1.929,0.2158
MANA/USDT,2026-01-26 20:10:00,2026-01-26 20:15:00,0.1446,2026-01-26 20:35:00,0.1437,time_stop,5,0.00185,2.509,-0.6224
COMP/USDT,2026-01-26 20:35:00,2026-01-26 20:40:00,23.81,2026-01-26 21:00:00,23.79,time_stop,5,0.001447,1.504,-0.084
UNI/USDT,2026-01-26 20:45:00,2026-01-26 20:50:00,4.691,2026-01-26 21:10:00,4.689,time_stop,5,0.002019,2.035,-0.0426
TRX/USDT,2026-01-26 20:50:00,2026-01-26 20:55:00,0.29689,2026-01-26 21:15:00,0.29677,time_stop,5,0.000504,1.538,-0.0404
UNI/USDT,2026-01-26 20:55:00,2026-01-26 21:00:00,4.686,2026-01-26 21:20:00,4.684,time_stop,5,0.001998,1.586,-0.0427
GALA/USDT,2026-01-26 21:05:00,2026-01-26 21:10:00,0.006028,2026-01-26 21:30:00,0.006055,time_stop,5,0.001975,1.788,0.4479
BONK/USDT,2026-01-26 21:10:00,2026-01-26 21:15:00,9e-06,2026-01-26 21:35:00,9e-06,time_stop,5,0.001736,1.669,0.2656
CRV/USDT,2026-01-26 21:10:00,2026-01-26 21:15:00,0.3529,2026-01-26 21:35:00,0.3538,time_stop,5,0.00168,5.606,0.255
COMP/USDT,2026-01-26 21:15:00,2026-01-26 21:20:00,23.83,2026-01-26 21:40:00,23.99,time_stop,5,0.001282,1.965,0.6714
FLOKI/USDT,2026-01-26 21:30:00,2026-01-26 21:35:00,4.2e-05,2026-01-26 21:55:00,4.2e-05,time_stop,5,0.001671,8.809,0.552
FLOKI/USDT,2026-01-26 21:35:00,2026-01-26 21:40:00,4.2e-05,2026-01-26 22:00:00,4.2e-05,time_stop,5,0.001669,1.776,0.6483
BNT/USDT,2026-01-26 21:40:00,2026-01-26 21:45:00,0.3927,2026-01-26 22:05:00,0.3927,time_stop,5,0.000624,19.616,0.0
NEAR/USDT,2026-01-26 21:50:00,2026-01-26 21:55:00,1.474,2026-01-26 22:15:00,1.468,time_stop,5,0.002369,1.725,-0.4071
SHIB/USDT,2026-01-26 22:00:00,2026-01-26 22:05:00,8e-06,2026-01-26 22:25:00,8e-06,time_stop,5,0.001928,2.342,-0.4268
GALA/USDT,2026-01-26 22:30:00,2026-01-26 22:35:00,0.006094,2026-01-26 22:55:00,0.006079,time_stop,5,0.002484,2.623,-0.2461
LTC/USDT,2026-01-26 22:35:00,2026-01-26 22:40:00,69.69,2026-01-26 23:00:00,69.5,time_stop,5,0.002239,2.098,-0.2726
EGLD/USDT,2026-01-26 22:35:00,2026-01-26 22:40:00,5.772,2026-01-26 23:00:00,5.76,time_stop,5,0.001363,1.722,-0.2079
DOT/USDT,2026-01-26 22:45:00,2026-01-26 22:50:00,1.879,2026-01-26 23:10:00,1.875,time_stop,5,0.002197,1.515,-0.2129
CRV/USDT,2026-01-26 22:50:00,2026-01-26 22:55:00,0.3553,2026-01-26 23:15:00,0.3546,time_stop,5,0.001981,2.135,-0.197
COMP/USDT,2026-01-26 23:30:00,2026-01-26 23:35:00,23.97,2026-01-26 23:55:00,23.91,time_stop,5,0.001562,2.051,-0.2503
SHIB/USDT,2026-01-26 23:35:00,2026-01-26 23:40:00,8e-06,2026-01-27 00:00:00,8e-06,time_stop,5,0.001554,2.888,-0.3106
SOL/USDT,2026-01-26 23:55:00,2026-01-27 00:00:00,124.24,2026-01-27 00:20:00,124.35,time_stop,5,0.00172,1.913,0.0885
ADA/USDT,2026-01-27 00:05:00,2026-01-27 00:10:00,0.3514,2026-01-27 00:30:00,0.3517,time_stop,5,0.001912,3.132,0.0854
UNI/USDT,2026-01-27 00:10:00,2026-01-27 00:15:00,4.699,2026-01-27 00:35:00,4.694,time_stop,5,0.001708,1.6,-0.1064
XLM/USDT,2026-01-27 00:10:00,2026-01-27 00:15:00,0.20717,2026-01-27 00:35:00,0.20722,time_stop,5,0.001852,3.164,0.0241
SUSHI/USDT,2026-01-27 00:10:00,2026-01-27 00:15:00,0.2978,2026-01-27 00:35:00,0.2978,time_stop,5,0.001201,4.248,0.0
AVAX/USDT,2026-01-27 00:15:00,2026-01-27 00:20:00,11.708,2026-01-27 00:40:00,11.718,time_stop,5,0.001379,2.52,0.0854
ARB/USDT,2026-01-27 00:15:00,2026-01-27 00:20:00,0.1698,2026-01-27 00:40:00,0.1701,time_stop,5,0.001659,2.366,0.1767
COMP/USDT,2026-01-27 00:20:00,2026-01-27 00:25:00,23.92,2026-01-27 00:45:00,23.81,time_stop,5,0.001616,1.962,-0.4599
LINK/USDT,2026-01-27 01:10:00,2026-01-27 01:15:00,11.94,2026-01-27 01:35:00,12.016,time_stop,5,0.001209,3.178,0.6365
APT/USDT,2026-01-27 01:15:00,2026-01-27 01:20:00,1.55,2026-01-27 01:40:00,1.56,time_stop,5,0.001755,4.709,0.6452
SUSHI/USDT,2026-01-27 01:25:00,2026-01-27 01:30:00,0.2985,2026-01-27 01:50:00,0.3,time_stop,5,0.000947,4.721,0.5025
ETC/USDT,2026-01-27 01:25:00,2026-01-27 01:30:00,11.42,2026-01-27 01:50:00,11.41,time_stop,5,0.00128,1.997,-0.0876
DOT/USDT,2026-01-27 01:25:00,2026-01-27 01:30:00,1.876,2026-01-27 01:50:00,1.878,time_stop,5,0.001819,4.487,0.1066
BTC/USDT,2026-01-27 01:25:00,2026-01-27 01:30:00,88436.0,2026-01-27 01:50:00,88558.9,time_stop,5,0.000975,2.029,0.139
INJ/USDT,2026-01-27 01:25:00,2026-01-27 01:30:00,4.444,2026-01-27 01:50:00,4.457,time_stop,5,0.001262,2.222,0.2925
CRV/USDT,2026-01-27 01:25:00,2026-01-27 01:30:00,0.3546,2026-01-27 01:50:00,0.3541,time_stop,5,0.001505,2.448,-0.141
SAND/USDT,2026-01-27 01:45:00,2026-01-27 01:50:00,0.1372,2026-01-27 02:10:00,0.1359,time_stop,5,0.006356,2.171,-0.9475
BTC/USDT,2026-01-27 02:05:00,2026-01-27 02:10:00,88774.7,2026-01-27 02:30:00,88641.4,time_stop,5,0.001215,2.856,-0.1502
BNB/USDT,2026-01-27 02:15:00,2026-01-27 02:20:00,882.8,2026-01-27 02:40:00,883.7,time_stop,5,0.000943,1.685,0.1019
DOT/USDT,2026-01-27 02:30:00,2026-01-27 02:35:00,1.879,2026-01-27 02:55:00,1.882,time_stop,5,0.001783,1.79,0.1597
