ticker,n_transitions,n_events,cont_window,hit_rate,mean_bars_to_event,med_bars_to_event,mean_burst_duration,med_burst_duration
1INCH/USDT,50,35,5,0.3,2.27,1.0,1.6,1.0
AAVE/USDT,40,35,5,0.425,1.29,1.0,1.82,1.0
ADA/USDT,52,33,5,0.25,1.77,1.0,1.65,1.0
ALGO/USDT,27,33,5,0.4444,2.0,1.0,1.7,1.0
AR/USDT,34,38,5,0.4412,2.0,2.0,2.09,2.0
ASTR/USDT,26,31,5,0.4231,2.27,2.0,1.5,1.0
ATOM/USDT,33,27,5,0.303,2.5,2.0,1.36,1.0
BABYDOGE/USDT,26,38,5,0.5,2.46,2.0,1.58,1.0
BAND/USDT,36,38,5,0.2222,2.12,1.5,1.36,1.0
BCH/USDT,36,32,5,0.3889,2.21,2.0,1.53,1.0
BNT/USDT,26,27,5,0.3077,2.88,2.5,1.15,1.0
CELO/USDT,17,22,5,0.2941,1.8,1.0,1.35,1.0
CFX/USDT,32,50,5,0.5938,1.79,1.0,1.5,1.0
CHZ/USDT,38,33,5,0.2632,2.3,2.0,1.37,1.0
COMP/USDT,44,44,5,0.4318,1.89,1.0,1.66,1.0
CRV/USDT,26,29,5,0.4615,2.08,1.5,1.58,1.0
CSPR/USDT,7,39,5,0.5714,1.75,1.0,1.0,1.0
CTC/USDT,43,53,5,0.4884,1.62,1.0,1.67,1.0
DGB/USDT,38,49,5,0.3947,1.4,1.0,1.63,1.0
DOGE/USDT,5,10,5,0.8,1.75,1.5,1.6,1.0
DYDX/USDT,30,26,5,0.3,2.0,1.0,1.43,1.0
EGLD/USDT,54,40,5,0.3889,2.24,2.0,1.59,1.0
ENS/USDT,33,34,5,0.303,1.9,1.5,1.61,1.0
ETC/USDT,31,41,5,0.3226,1.7,1.0,1.45,1.0
FIL/USDT,21,32,5,0.4762,1.9,1.0,1.62,1.0
FLOW/USDT,40,40,5,0.375,1.93,1.0,1.57,1.0
GAS/USDT,47,46,5,0.2979,2.07,1.5,1.45,1.0
GLM/USDT,48,42,5,0.3333,2.44,1.5,1.29,1.0
GMT/USDT,29,34,5,0.3448,2.1,1.5,1.52,1.0
GODS/USDT,34,44,5,0.4118,1.36,1.0,1.5,1.0
GRT/USDT,41,33,5,0.3659,2.73,3.0,1.46,1.0
HBAR/USDT,29,36,5,0.4483,1.85,1.0,1.52,1.0
ICP/USDT,35,21,5,0.1143,2.0,1.0,1.8,1.0
ICX/USDT,44,37,5,0.3409,1.8,1.0,1.52,1.0
ILV/USDT,41,44,5,0.3415,2.0,1.0,1.46,1.0
IOST/USDT,33,42,5,0.4242,2.0,1.0,1.64,1.0
JOE/USDT,33,39,5,0.4848,2.0,2.0,1.42,1.0
KNC/USDT,43,35,5,0.2791,1.75,1.0,1.49,1.0
LAT/USDT,17,15,5,0.2353,1.75,1.0,1.35,1.0
LPT/USDT,25,46,5,0.44,1.45,1.0,1.56,1.0
LRC/USDT,27,37,5,0.3333,1.78,2.0,1.52,1.0
LSK/USDT,44,37,5,0.4091,2.44,1.5,1.64,1.0
LTC/USDT,36,33,5,0.4167,2.27,2.0,1.61,1.0
MASK/USDT,44,44,5,0.4773,2.52,2.0,1.68,1.0
METIS/USDT,23,33,5,0.4783,1.64,1.0,1.65,2.0
MINA/USDT,14,23,5,0.2857,2.5,2.5,1.43,1.0
NEAR/USDT,7,3,5,0.2857,4.0,4.0,1.86,2.0
NEO/USDT,29,35,5,0.4483,2.08,2.0,1.52,1.0
NMR/USDT,14,43,5,0.5714,1.62,1.0,1.43,1.0
OKB/USDT,33,35,5,0.4242,2.07,1.5,1.7,1.0
ONE/USDT,38,32,5,0.3421,2.46,2.0,1.47,1.0
ONT/USDT,47,37,5,0.2979,2.14,2.0,1.4,1.0
PEOPLE/USDT,38,33,5,0.3947,2.6,2.0,1.45,1.0
QTUM/USDT,45,44,5,0.3111,2.0,1.0,1.76,1.0
RAY/USDT,29,33,5,0.3448,1.6,1.0,1.45,1.0
RSR/USDT,24,37,5,0.2917,2.14,1.0,1.33,1.0
RVN/USDT,28,34,5,0.3571,1.8,1.0,1.5,1.0
SAND/USDT,32,30,5,0.2188,1.57,1.0,1.69,1.0
SHIB/USDT,4,8,5,0.5,1.0,1.0,1.75,1.5
SLP/USDT,43,35,5,0.3023,2.15,2.0,1.47,1.0
SNX/USDT,43,37,5,0.2791,2.5,2.0,1.63,1.0
SOL/USDT,2,5,5,0.5,1.0,1.0,3.0,3.0
STORJ/USDT,30,41,5,0.4,2.25,1.5,1.83,1.0
STX/USDT,34,33,5,0.3235,2.64,3.0,1.59,1.0
SUSHI/USDT,28,43,5,0.4286,1.75,1.0,1.57,1.0
THETA/USDT,29,28,5,0.2414,2.29,2.0,1.41,1.0
TRB/USDT,37,50,5,0.4865,2.11,1.0,1.62,1.0
TRX/USDT,20,13,5,0.25,2.0,1.0,1.45,1.0
UMA/USDT,38,52,5,0.4474,2.18,1.0,1.34,1.0
UNI/USDT,51,29,5,0.2157,2.27,2.0,1.47,1.0
VELO/USDT,11,37,5,0.6364,1.14,1.0,1.36,1.0
WAXP/USDT,27,30,5,0.3704,2.2,1.0,1.41,1.0
WIN/USDT,41,25,5,0.3171,1.77,1.0,2.12,2.0
WOO/USDT,67,38,5,0.2537,2.41,2.0,1.4,1.0
XCH/USDT,73,30,5,0.3014,2.68,2.0,1.37,1.0
YFI/USDT,35,34,5,0.2571,2.56,2.0,1.26,1.0
YGG/USDT,36,28,5,0.2778,1.9,1.5,1.56,1.0
ZIL/USDT,24,28,5,0.25,2.67,3.0,1.38,1.0
ZRX/USDT,37,35,5,0.2703,2.0,1.5,1.22,1.0
