ticker,transition_bar,entry_bar,p_burst_at_entry,event_within_window,bars_to_event,burst_duration
1INCH/USDT,15,16,0.4818,False,,1
1INCH/USDT,46,47,0.0612,False,,1
1INCH/USDT,76,77,0.9982,True,1.0,3
1INCH/USDT,122,123,0.4958,False,,1
1INCH/USDT,127,128,0.0724,False,,1
1INCH/USDT,129,130,0.2132,False,,1
1INCH/USDT,131,132,0.0508,False,,1
1INCH/USDT,139,140,0.1026,False,,1
1INCH/USDT,145,146,0.9067,True,1.0,2
1INCH/USDT,151,152,1.0,False,,2
1INCH/USDT,166,167,0.3381,False,,1
1INCH/USDT,171,172,1.0,True,1.0,4
1INCH/USDT,213,214,1.0,False,,2
1INCH/USDT,227,228,1.0,False,,2
1INCH/USDT,249,250,1.0,False,,2
1INCH/USDT,256,257,1.0,False,,2
1INCH/USDT,263,264,0.1171,False,,1
1INCH/USDT,290,291,1.0,False,,2
1INCH/USDT,293,294,0.0501,False,,1
1INCH/USDT,313,314,0.0725,False,,1
1INCH/USDT,322,323,0.3183,False,,1
1INCH/USDT,344,345,0.0506,False,,1
1INCH/USDT,380,381,1.0,True,1.0,4
1INCH/USDT,386,387,1.0,True,1.0,4
1INCH/USDT,414,415,0.0884,False,,1
1INCH/USDT,425,426,0.2202,False,,1
1INCH/USDT,459,460,0.0868,True,3.0,1
1INCH/USDT,462,463,0.118,False,,1
1INCH/USDT,467,468,0.9999,False,,3
1INCH/USDT,477,478,0.5338,False,,2
1INCH/USDT,501,502,0.8444,True,1.0,5
1INCH/USDT,545,546,0.0554,False,,1
1INCH/USDT,568,569,0.2137,True,4.0,1
1INCH/USDT,571,572,1.0,True,1.0,2
1INCH/USDT,575,576,0.0577,False,,1
1INCH/USDT,578,579,0.117,False,,1
1INCH/USDT,586,587,1.0,True,5.0,2
1INCH/USDT,591,592,0.1682,False,,1
1INCH/USDT,595,596,0.502,False,,2
1INCH/USDT,615,616,0.1337,True,5.0,1
1INCH/USDT,618,619,0.1341,True,2.0,1
1INCH/USDT,620,621,0.0919,True,2.0,1
1INCH/USDT,622,623,0.2364,False,,1
1INCH/USDT,634,635,0.0693,False,,1
1INCH/USDT,654,655,0.2252,False,,1
1INCH/USDT,666,667,0.0333,False,,1
1INCH/USDT,685,686,0.0578,False,,1
1INCH/USDT,689,690,0.0357,True,5.0,1
1INCH/USDT,694,695,0.9961,False,,2
1INCH/USDT,714,715,0.9315,True,1.0,2
AAVE/USDT,4,5,0.9938,True,1.0,2
AAVE/USDT,35,36,0.7968,False,,2
AAVE/USDT,42,43,0.997,True,1.0,6
AAVE/USDT,75,76,1.0,True,1.0,2
AAVE/USDT,138,139,1.0,True,1.0,3
AAVE/USDT,160,161,0.1641,False,,1
AAVE/USDT,165,166,0.6155,False,,2
AAVE/USDT,169,170,0.0719,False,,1
AAVE/USDT,175,176,0.1147,False,,1
AAVE/USDT,186,187,0.0831,False,,1
AAVE/USDT,213,214,1.0,True,1.0,3
AAVE/USDT,227,228,1.0,True,1.0,2
AAVE/USDT,249,250,0.9862,False,,2
AAVE/USDT,255,256,0.9999,True,2.0,3
AAVE/USDT,286,287,0.0921,False,,1
AAVE/USDT,290,291,1.0,True,2.0,4
AAVE/USDT,322,323,0.0721,False,,1
AAVE/USDT,333,334,0.9946,True,1.0,3
AAVE/USDT,358,359,0.0898,False,,1
AAVE/USDT,368,369,0.0496,False,,1
AAVE/USDT,393,394,0.0555,False,,1
AAVE/USDT,414,415,0.1007,False,,1
AAVE/USDT,419,420,1.0,True,1.0,2
AAVE/USDT,428,429,1.0,False,,2
AAVE/USDT,459,460,0.117,False,,1
AAVE/USDT,477,478,0.9997,True,1.0,2
AAVE/USDT,501,502,0.9736,True,1.0,2
AAVE/USDT,505,506,0.2026,False,,1
AAVE/USDT,512,513,0.1135,False,,1
AAVE/USDT,550,551,0.403,False,,1
AAVE/USDT,589,590,1.0,True,1.0,2
AAVE/USDT,595,596,1.0,True,1.0,2
AAVE/USDT,616,617,0.1543,False,,1
AAVE/USDT,656,657,0.241,False,,1
AAVE/USDT,662,663,0.1309,True,2.0,1
AAVE/USDT,664,665,0.999,True,1.0,6
AAVE/USDT,689,690,0.0929,False,,1
AAVE/USDT,712,713,0.2748,True,3.0,1
AAVE/USDT,715,716,0.0958,False,,1
AAVE/USDT,725,726,0.0696,False,,1
ADA/USDT,14,15,1.0,True,1.0,2
ADA/USDT,18,19,0.0343,False,,1
ADA/USDT,46,47,0.267,False,,1
ADA/USDT,96,97,0.3053,False,,1
