ticker,lag,n_events,pre_event_p_burst_mean,pre_event_p_burst_median,baseline_p_burst_mean,lift,mw_pval,mw_significant,rva_pre_event_mean,rva_pval
1INCH/USDT,0,35,0.9676,1.0,0.0763,12.688,0.0,True,1.4929,0.0
1INCH/USDT,1,35,0.3685,0.0791,0.0763,4.832,0.0,True,0.7102,0.0026
1INCH/USDT,2,35,0.2549,0.0164,0.0763,3.343,0.0001,True,-0.1527,0.7247
1INCH/USDT,3,35,0.2289,0.015,0.0763,3.001,0.0002,True,0.4238,0.0427
AAVE/USDT,0,35,0.9892,1.0,0.0696,14.205,0.0,True,1.1035,0.0
AAVE/USDT,1,35,0.4914,0.5168,0.0696,7.056,0.0,True,0.5913,0.0001
AAVE/USDT,2,35,0.2303,0.0266,0.0696,3.306,0.0001,True,0.062,0.0459
AAVE/USDT,3,35,0.1587,0.0159,0.0696,2.279,0.0306,True,0.1205,0.1188
ADA/USDT,0,33,0.9844,1.0,0.0934,10.535,0.0,True,1.3624,0.0
ADA/USDT,1,33,0.5078,0.4268,0.0934,5.435,0.0,True,0.1516,0.4736
ADA/USDT,2,33,0.3673,0.0597,0.0934,3.931,0.0,True,0.3192,0.4685
ADA/USDT,3,33,0.3318,0.0169,0.0934,3.551,0.0011,True,0.1177,0.3199
ALGO/USDT,0,33,0.8887,1.0,0.0243,36.644,0.0,True,1.4976,0.0
ALGO/USDT,1,33,0.3439,0.0502,0.0243,14.18,0.0,True,0.5424,0.0098
ALGO/USDT,2,33,0.1693,0.0053,0.0243,6.982,0.0001,True,-0.1993,0.9452
ALGO/USDT,3,33,0.2406,0.0076,0.0243,9.922,0.0001,True,0.2222,0.1093
AR/USDT,0,38,0.9782,1.0,0.0594,16.461,0.0,True,0.9422,0.0
AR/USDT,1,38,0.4835,0.3583,0.0594,8.137,0.0,True,0.2794,0.0009
AR/USDT,2,38,0.3343,0.0431,0.0594,5.625,0.0,True,0.1769,0.1249
AR/USDT,3,38,0.288,0.0336,0.0594,4.847,0.0,True,0.1431,0.1522
ASTR/USDT,0,31,0.6369,0.905,0.0334,19.095,0.0,True,1.6196,0.0
ASTR/USDT,1,31,0.1561,0.0074,0.0334,4.68,0.0011,True,0.7658,0.1435
ASTR/USDT,2,31,0.1443,0.0042,0.0334,4.327,0.0126,True,-0.1664,0.926
ASTR/USDT,3,31,0.1589,0.0045,0.0334,4.766,0.0017,True,0.2725,0.019
ATOM/USDT,0,27,0.8549,0.9585,0.0432,19.811,0.0,True,1.3193,0.0
ATOM/USDT,1,27,0.1895,0.0181,0.0432,4.39,0.0,True,0.2696,0.0127
ATOM/USDT,2,27,0.1506,0.0135,0.0432,3.49,0.0048,True,0.1398,0.0409
ATOM/USDT,3,27,0.0991,0.0099,0.0432,2.298,0.1454,False,-0.1352,0.4086
BABYDOGE/USDT,0,38,0.8329,0.9998,0.0218,38.204,0.0,True,1.5148,0.0
BABYDOGE/USDT,1,38,0.2758,0.0232,0.0218,12.649,0.0,True,0.2472,0.0078
BABYDOGE/USDT,2,38,0.191,0.0069,0.0218,8.759,0.0004,True,0.4206,0.2066
BABYDOGE/USDT,3,38,0.1265,0.0068,0.0218,5.804,0.0033,True,0.2522,0.2223
BAND/USDT,0,38,0.5727,0.6181,0.0468,12.242,0.0,True,2.0583,0.0
BAND/USDT,1,38,0.1791,0.0026,0.0468,3.829,0.0001,True,0.3351,0.0003
BAND/USDT,2,38,0.0941,0.0015,0.0468,2.011,0.3513,False,0.2889,0.089
BAND/USDT,3,38,0.0558,0.0014,0.0468,1.193,0.3537,False,-0.191,0.5904
BCH/USDT,0,32,0.9089,1.0,0.0443,20.539,0.0,True,1.5351,0.0
BCH/USDT,1,32,0.2461,0.0203,0.0443,5.562,0.0,True,0.0422,0.3115
BCH/USDT,2,32,0.1816,0.006,0.0443,4.103,0.0017,True,0.3275,0.0644
BCH/USDT,3,32,0.092,0.0047,0.0443,2.08,0.0395,True,0.0364,0.1258
BNT/USDT,0,27,0.4733,0.4273,0.0284,16.685,0.0,True,2.3927,0.0
BNT/USDT,1,27,0.0831,0.0008,0.0284,2.928,0.1151,False,-0.209,0.6656
BNT/USDT,2,27,0.1429,0.0007,0.0284,5.038,0.1002,False,0.3348,0.2596
BNT/USDT,3,27,0.0411,0.0005,0.0284,1.45,0.3374,False,-0.2489,0.7289
CELO/USDT,0,22,0.665,0.9494,0.0187,35.471,0.0,True,1.2557,0.0
CELO/USDT,1,22,0.3134,0.005,0.0187,16.714,0.0001,True,0.5702,0.0141
CELO/USDT,2,22,0.1497,0.0054,0.0187,7.985,0.0007,True,0.0621,0.3721
CELO/USDT,3,22,0.101,0.0034,0.0187,5.386,0.0105,True,0.3788,0.0127
CFX/USDT,0,50,0.7073,0.9116,0.0201,35.244,0.0,True,1.1937,0.0
CFX/USDT,1,50,0.3461,0.0269,0.0201,17.246,0.0,True,0.3952,0.0001
CFX/USDT,2,50,0.1421,0.004,0.0201,7.082,0.0005,True,0.3897,0.0118
CFX/USDT,3,50,0.0672,0.0017,0.0201,3.349,0.0593,False,0.0441,0.1564
CHZ/USDT,0,33,0.9148,0.9976,0.0441,20.72,0.0,True,1.5297,0.0
CHZ/USDT,1,33,0.1569,0.0206,0.0441,3.555,0.0003,True,0.1665,0.0343
CHZ/USDT,2,33,0.1263,0.009,0.0441,2.86,0.0343,True,0.1036,0.0891
CHZ/USDT,3,33,0.0624,0.0107,0.0441,1.414,0.0384,True,0.0503,0.2642
COMP/USDT,0,44,0.9102,0.9999,0.0541,16.839,0.0,True,1.4403,0.0
COMP/USDT,1,44,0.3752,0.0401,0.0541,6.941,0.0001,True,0.5043,0.0044
COMP/USDT,2,44,0.2286,0.005,0.0541,4.23,0.1007,False,0.5255,0.0055
COMP/USDT,3,44,0.1082,0.005,0.0541,2.002,0.4294,False,-0.1149,0.7315
CRV/USDT,0,29,0.8744,0.9917,0.0262,33.432,0.0,True,1.1851,0.0
CRV/USDT,1,29,0.287,0.052,0.0262,10.974,0.0,True,0.1837,0.0176
CRV/USDT,2,29,0.1803,0.0321,0.0262,6.892,0.0,True,0.0089,0.3213
CRV/USDT,3,29,0.1388,0.0109,0.0262,5.308,0.0,True,0.1026,0.1423
CSPR/USDT,0,39,0.1539,0.0,0.0016,94.541,0.0,True,1.6993,0.0
CSPR/USDT,1,39,0.0769,0.0,0.0016,47.277,0.0,True,0.6688,0.0221
CSPR/USDT,2,39,0.0257,0.0,0.0016,15.765,0.0002,True,0.4554,0.0433
CSPR/USDT,3,39,0.0256,0.0,0.0016,15.756,0.0012,True,0.1415,0.1818
CTC/USDT,0,53,0.8709,0.9999,0.0407,21.395,0.0,True,1.6157,0.0
CTC/USDT,1,53,0.3405,0.0409,0.0407,8.365,0.0,True,0.662,0.0022
CTC/USDT,2,53,0.187,0.0046,0.0407,4.594,0.0021,True,0.1577,0.0155
CTC/USDT,3,53,0.1484,0.0033,0.0407,3.646,0.0732,False,0.3014,0.0078
DGB/USDT,0,49,0.8286,0.9962,0.0354,23.425,0.0,True,1.1637,0.0
DGB/USDT,1,49,0.3894,0.0192,0.0354,11.008,0.0,True,0.5887,0.0023
DGB/USDT,2,49,0.2122,0.0078,0.0354,6.0,0.0,True,0.483,0.0273
DGB/USDT,3,49,0.1539,0.005,0.0354,4.352,0.0201,True,0.2573,0.0992
DOGE/USDT,0,10,0.6412,0.9528,0.0285,22.521,0.0,True,1.2022,0.0
DOGE/USDT,1,10,0.2835,0.0181,0.0285,9.957,0.0013,True,0.4464,0.0343
DOGE/USDT,2,10,0.1775,0.014,0.0285,6.236,0.0334,True,0.1026,0.1001
DOGE/USDT,3,10,0.1933,0.0029,0.0285,6.79,0.219,False,0.3143,0.0352
