ticker,signal_bar,entry_bar,type,outcome,p_burst,hmm_state,rva,bars_to_event
1INCH/USDT,16.0,17.0,signal,FP,0.4818,1,-1.7062,
1INCH/USDT,123.0,124.0,signal,FP,0.4958,1,-1.7636,
1INCH/USDT,149.0,150.0,signal,FP,0.4131,1,0.2483,
1INCH/USDT,385.0,386.0,signal,TP,0.4815,1,-0.4192,1.0
1INCH/USDT,479.0,480.0,signal,FP,0.4002,1,-0.8383,
1INCH/USDT,,,event,FN,1.0,2,5.2167,0.0
1INCH/USDT,,,event,FN,1.0,2,6.6191,0.0
1INCH/USDT,,,event,FN,0.9982,2,-5.2301,0.0
1INCH/USDT,,,event,FN,1.0,2,2.8449,0.0
1INCH/USDT,,,event,FN,0.9067,2,-0.8183,0.0
1INCH/USDT,,,event,FN,0.9596,2,0.9031,0.0
1INCH/USDT,,,event,FN,1.0,2,1.9134,0.0
1INCH/USDT,,,event,FN,0.9999,2,-0.9168,0.0
1INCH/USDT,,,event,FN,0.9995,2,1.5093,0.0
1INCH/USDT,,,event,FN,0.9991,2,1.9245,0.0
1INCH/USDT,,,event,FN,0.761,2,1.5909,0.0
1INCH/USDT,,,event,FN,1.0,2,2.5423,0.0
1INCH/USDT,,,event,FN,1.0,2,2.0786,0.0
1INCH/USDT,,,event,FN,0.9993,2,0.5348,0.0
1INCH/USDT,,,event,caught,1.0,2,9.795,0.0
1INCH/USDT,,,event,caught,1.0,2,-7.5957,0.0
1INCH/USDT,,,event,caught,0.9977,2,-4.1386,0.0
1INCH/USDT,,,event,FN,1.0,2,2.1507,0.0
1INCH/USDT,,,event,FN,0.9684,2,1.1745,0.0
1INCH/USDT,,,event,FN,1.0,2,4.1906,0.0
1INCH/USDT,,,event,FN,0.989,2,1.3585,0.0
1INCH/USDT,,,event,FN,0.8444,2,-0.0223,0.0
1INCH/USDT,,,event,FN,1.0,2,4.3799,0.0
1INCH/USDT,,,event,FN,1.0,2,-3.5306,0.0
1INCH/USDT,,,event,FN,1.0,2,3.1821,0.0
1INCH/USDT,,,event,FN,1.0,2,0.558,0.0
1INCH/USDT,,,event,FN,0.9998,2,2.0602,0.0
1INCH/USDT,,,event,FN,1.0,2,9.2928,0.0
1INCH/USDT,,,event,FN,1.0,2,1.6707,0.0
1INCH/USDT,,,event,FN,0.9858,2,0.9575,0.0
1INCH/USDT,,,event,FN,1.0,2,1.9815,0.0
1INCH/USDT,,,event,FN,1.0,2,2.025,0.0
1INCH/USDT,,,event,FN,0.9976,2,1.053,0.0
1INCH/USDT,,,event,FN,0.5292,2,1.0349,0.0
1INCH/USDT,,,event,FN,0.9315,2,-0.0388,0.0
