ticker,threshold,horizon,n_signals,tp,fp,fn,precision,recall,f1
1INCH/USDT,0.1,5,53,13,40,19,0.2453,0.4062,0.3059
1INCH/USDT,0.15,5,31,10,21,22,0.3226,0.3125,0.3175
1INCH/USDT,0.2,5,25,9,16,23,0.36,0.2812,0.3158
1INCH/USDT,0.25,5,15,6,9,26,0.4,0.1875,0.2553
1INCH/USDT,0.3,5,11,5,6,27,0.4545,0.1562,0.2326
1INCH/USDT,0.35,5,7,3,4,31,0.4286,0.0882,0.1463
1INCH/USDT,0.4,5,5,1,4,32,0.2,0.0303,0.0526
1INCH/USDT,0.45,5,3,1,2,32,0.3333,0.0303,0.0556
1INCH/USDT,0.5,5,0,0,0,35,0.0,0.0,0.0
1INCH/USDT,0.55,5,0,0,0,35,0.0,0.0,0.0
1INCH/USDT,0.6,5,0,0,0,35,0.0,0.0,0.0
1INCH/USDT,0.65,5,0,0,0,35,0.0,0.0,0.0
1INCH/USDT,0.7,5,0,0,0,35,0.0,0.0,0.0
1INCH/USDT,0.75,5,0,0,0,35,0.0,0.0,0.0
1INCH/USDT,0.8,5,0,0,0,35,0.0,0.0,0.0
1INCH/USDT,0.85,5,0,0,0,35,0.0,0.0,0.0
1INCH/USDT,0.9,5,0,0,0,35,0.0,0.0,0.0
AAVE/USDT,0.1,5,65,15,50,18,0.2308,0.4545,0.3061
AAVE/USDT,0.15,5,45,10,35,27,0.2222,0.2703,0.2439
AAVE/USDT,0.2,5,32,7,25,28,0.2187,0.2,0.209
AAVE/USDT,0.25,5,23,6,17,29,0.2609,0.1714,0.2069
AAVE/USDT,0.3,5,17,4,13,31,0.2353,0.1143,0.1538
AAVE/USDT,0.35,5,9,1,8,34,0.1111,0.0286,0.0455
AAVE/USDT,0.4,5,3,0,3,35,0.0,0.0,0.0
AAVE/USDT,0.45,5,2,0,2,35,0.0,0.0,0.0
AAVE/USDT,0.5,5,0,0,0,35,0.0,0.0,0.0
AAVE/USDT,0.55,5,0,0,0,35,0.0,0.0,0.0
AAVE/USDT,0.6,5,0,0,0,35,0.0,0.0,0.0
AAVE/USDT,0.65,5,0,0,0,35,0.0,0.0,0.0
AAVE/USDT,0.7,5,0,0,0,35,0.0,0.0,0.0
AAVE/USDT,0.75,5,0,0,0,35,0.0,0.0,0.0
AAVE/USDT,0.8,5,0,0,0,35,0.0,0.0,0.0
AAVE/USDT,0.85,5,0,0,0,35,0.0,0.0,0.0
AAVE/USDT,0.9,5,0,0,0,35,0.0,0.0,0.0
ADA/USDT,0.1,5,66,14,52,19,0.2121,0.4242,0.2828
ADA/USDT,0.15,5,42,7,35,25,0.1667,0.2187,0.1892
ADA/USDT,0.2,5,32,6,26,27,0.1875,0.1818,0.1846
ADA/USDT,0.25,5,21,5,16,27,0.2381,0.1562,0.1887
ADA/USDT,0.3,5,14,2,12,30,0.1429,0.0625,0.087
ADA/USDT,0.35,5,10,2,8,30,0.2,0.0625,0.0952
ADA/USDT,0.4,5,6,1,5,31,0.1667,0.0312,0.0526
ADA/USDT,0.45,5,3,0,3,33,0.0,0.0,0.0
ADA/USDT,0.5,5,0,0,0,33,0.0,0.0,0.0
ADA/USDT,0.55,5,0,0,0,33,0.0,0.0,0.0
ADA/USDT,0.6,5,0,0,0,33,0.0,0.0,0.0
ADA/USDT,0.65,5,0,0,0,33,0.0,0.0,0.0
ADA/USDT,0.7,5,0,0,0,33,0.0,0.0,0.0
ADA/USDT,0.75,5,0,0,0,33,0.0,0.0,0.0
ADA/USDT,0.8,5,0,0,0,33,0.0,0.0,0.0
ADA/USDT,0.85,5,0,0,0,33,0.0,0.0,0.0
ADA/USDT,0.9,5,0,0,0,33,0.0,0.0,0.0
ALGO/USDT,0.1,5,25,12,13,18,0.48,0.4,0.4364
