symbol,n_events,n_bars,n_train,n_test,hmm_logL,burst_rate_ratio,p_burst_entry,p_burst_persist,dispersion_reduction_pct,beta0,beta1_rva,beta2_state,W_norm,glm_converged
MINA/USDT,594,105097,63058,42039,68146.71,43.33,0.0192,0.8356,80.9,-0.4786,-165.9176,4.9848,,True
ZIL/USDT,365,105097,63058,42039,-73519.64,0.01,0.25,0.5421,79.5,-13.2225,996.7457,10.4905,,True
ASTR/USDT,252,105097,63058,42039,-94417.31,0.02,0.0416,0.0516,73.2,-25.9186,170.9177,26.1095,,True
BNT/USDT,336,105097,63058,42039,598037.22,0.17,0.0832,0.3209,38.4,13.4825,-79.3503,-10.7334,7.0685,True
UMA/USDT,538,105097,63058,42039,328736.33,0.01,0.2814,0.5803,59.1,-5.1361,19.4765,5.2971,60.0597,True
KNC/USDT,460,105097,63058,42039,597004.02,41.4,0.0865,0.4178,63.6,1.3207,97.6415,3.336,12.7803,True
LRC/USDT,590,105097,63058,42039,180712.76,6.49,0.0326,0.4022,17.6,0.6817,38.3937,3.1627,2.4287,True
ZRX/USDT,298,105097,63058,42039,354524.69,0.01,0.2919,0.5846,6.2,-2.3666,77.5509,3.0382,48.0563,True
SNX/USDT,1009,105097,63058,42039,-64633.1,6.48,0.0309,0.426,74.4,-0.3258,196.235,5.3522,4.1765,True
COMP/USDT,330,105097,63058,42039,-81929.9,0.01,0.2338,0.5047,45.0,-6.1455,617.0075,6.0279,,True
SUI/USDT,381,105097,63058,42039,-113525.62,0.14,0.0014,0.5533,44.8,-72.9687,25.5583,74.8077,1.0539,True
APT/USDT,307,105097,63058,42039,-101587.08,0.01,0.2022,0.4212,65.7,-12.5421,154.4557,11.217,,True
DYDX/USDT,554,105100,63060,42040,-115527.76,0.03,0.0308,0.052,75.4,-30.0854,178.5303,31.4064,,True
