symbol,A_qu_qu,A_qu_ac,A_qu_bu,A_ac_qu,A_ac_ac,A_ac_bu,A_bu_qu,A_bu_ac,A_bu_bu
MINA/USDT,0.681004,0.312453,0.006543,0.449968,0.530858,0.019174,0.155479,0.00895,0.835571
ZIL/USDT,0.0,0.0,1.0,0.0,0.749952,0.250048,2.7e-05,0.45792,0.542053
ASTR/USDT,0.0,0.0,1.0,1e-05,0.958402,0.041588,0.0,0.94837,0.05163
BNT/USDT,0.207906,0.495974,0.29612,0.015633,0.901176,0.083191,0.061713,0.617378,0.320909
UMA/USDT,0.0,0.0,1.0,0.0,0.718605,0.281395,2.4e-05,0.419632,0.580345
KNC/USDT,0.893279,0.094562,0.01216,0.563506,0.350017,0.086477,0.252264,0.32998,0.417757
LRC/USDT,0.574525,0.327465,0.09801,0.377351,0.59006,0.032588,0.485576,0.112221,0.402203
ZRX/USDT,0.0,0.0,1.0,0.0,0.708134,0.291866,2.3e-05,0.415331,0.584646
SNX/USDT,0.608619,0.300093,0.091288,0.419022,0.550101,0.030877,0.478109,0.095935,0.425957
COMP/USDT,0.0,0.0,1.0,0.0,0.766155,0.233845,3e-05,0.495224,0.504746
SUI/USDT,0.0,0.0,1.0,1e-05,0.998559,0.001432,0.0,0.446746,0.553254
APT/USDT,0.0,0.0,1.0,0.0,0.797756,0.202244,3.7e-05,0.578783,0.42118
DYDX/USDT,0.0,1.0,0.0,1e-05,0.969172,0.030819,0.0,0.948021,0.051979
