ticker,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
SNX/USDT,69,39,30,0.5652,0.1159,0.0619,0.7018,-0.6457,1.413,7.9971,10.5404,-6.3284,0.1349
BNT/USDT,5,1,4,0.2,0.0144,0.0,0.072,0.0,inf,0.072,0.072,0.0,0.4472
KNC/USDT,25,7,18,0.28,-0.0103,-0.0605,1.0949,-0.4401,0.967,-0.2578,5.3724,-6.1994,-0.0105
SUI/USDT,5,1,4,0.2,-0.4069,-0.3016,0.8488,-0.7208,0.294,-2.0345,-0.6168,-1.4177,-0.478
COMP/USDT,110,50,60,0.4545,-0.0226,-0.0211,0.3746,-0.3535,0.883,-2.4842,0.6145,-4.2694,-0.0474
ZIL/USDT,224,97,127,0.433,-0.012,-0.0252,0.3626,-0.2981,0.929,-2.6826,10.7997,-13.5358,-0.026
ASTR/USDT,48,23,25,0.4792,-0.0908,-0.0254,0.4472,-0.5858,0.702,-4.3595,-1.8877,-4.142,-0.1364
MINA/USDT,24,10,14,0.4167,-0.2082,-0.1232,0.4393,-0.6707,0.468,-4.9962,0.2549,-5.5118,-0.2338
APT/USDT,324,141,183,0.4352,-0.0255,-0.0357,0.4954,-0.4269,0.894,-8.2673,2.2011,-12.5015,-0.0389
DYDX/USDT,53,26,27,0.4906,-0.1993,0.0,0.6489,-1.0162,0.615,-10.5652,2.4539,-17.369,-0.1857
LRC/USDT,93,37,56,0.3978,-0.1248,-0.1032,0.5265,-0.5551,0.627,-11.6044,0.2834,-12.3359,-0.1533
