ticker,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
ENJ/USDT,13,7,6,0.5385,1.1518,0.3294,2.8515,-0.8311,4.003,14.9734,14.9734,-2.8972,0.4345
UMA/USDT,11,7,4,0.6364,0.6303,0.6329,1.5286,-0.9418,2.84,6.9329,6.9329,-2.7461,0.4471
ONE/USDT,13,7,6,0.5385,0.5025,0.3756,1.8083,-1.0209,2.066,6.5325,6.5325,-1.6953,0.26
SNX/USDT,4,3,1,0.75,1.5729,1.358,2.331,-0.7016,9.967,6.2915,6.2915,-0.7016,0.741
BLUR/USDT,16,9,7,0.5625,0.3797,0.2322,1.3607,-0.8814,1.985,6.076,7.4789,-2.4289,0.2673
KNC/USDT,17,11,6,0.6471,0.3367,0.3584,0.9324,-0.7555,2.263,5.7235,7.6853,-1.9618,0.3268
YFI/USDT,26,16,10,0.6154,0.2175,0.3816,0.9059,-0.8839,1.64,5.655,6.2823,-2.3921,0.1822
SOL/USDT,16,11,5,0.6875,0.3386,0.2563,0.7456,-0.5568,2.946,5.4178,6.3274,-1.6557,0.411
ETH/USDT,13,10,3,0.7692,0.4071,0.2834,0.6723,-0.4769,4.699,5.2925,6.534,-1.4308,0.5109
GMX/USDT,9,7,2,0.7778,0.5493,0.4023,0.8997,-0.6768,4.652,4.944,4.944,-1.3536,0.5782
1INCH/USDT,6,3,3,0.5,0.698,0.4719,1.5427,-0.1467,10.519,4.1882,4.1882,-0.44,0.6335
LRC/USDT,3,3,0,1.0,1.3795,1.1536,1.3795,0.0,inf,4.1386,4.1386,0.0,2.3616
LTC/USDT,10,7,3,0.7,0.2981,0.1784,1.1194,-1.6184,1.614,2.9806,2.9806,-3.627,0.1679
FLOKI/USDT,9,5,4,0.5556,0.2912,0.0377,0.9273,-0.504,2.3,2.6209,4.6367,-2.0158,0.2824
ZRX/USDT,13,7,6,0.5385,0.1716,0.0869,0.8651,-0.6376,1.583,2.2303,2.2303,-1.209,0.1762
EGLD/USDT,14,11,3,0.7857,0.1346,0.2812,0.5721,-1.4699,1.427,1.8838,2.8613,-3.2279,0.1181
GALA/USDT,6,4,2,0.6667,0.2237,0.1613,0.7884,-0.9056,1.741,1.3424,1.3424,-1.1139,0.2097
LINK/USDT,5,2,3,0.4,0.2666,-0.0975,1.2103,-0.3626,2.225,1.3329,1.4304,-0.9902,0.2695
SHIB/USDT,5,3,2,0.6,0.2477,0.15,1.1389,-1.089,1.569,1.2387,1.8618,-0.6231,0.1607
MANA/USDT,9,3,6,0.3333,0.1164,-0.3257,2.1964,-0.9236,1.189,1.0476,3.4035,-2.3559,0.0596
ASTR/USDT,4,3,1,0.75,0.2434,0.3019,0.4593,-0.4044,3.408,0.9736,0.9736,-0.4044,0.4845
DYDX/USDT,6,3,3,0.5,0.1529,-0.0074,0.9113,-0.6056,1.505,0.9171,2.181,-1.2639,0.1517
AVAX/USDT,8,4,4,0.5,0.1145,-0.036,1.0958,-0.8668,1.264,0.9162,2.6534,-1.7372,0.0954
BTC/USDT,30,16,14,0.5333,0.0302,0.0516,0.5584,-0.5735,1.113,0.9057,1.2573,-3.7598,0.0414
TRX/USDT,9,5,4,0.5556,0.0709,0.0036,0.2258,-0.1228,2.298,0.6377,0.987,-0.3493,0.2799
