ticker,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
ENJ/USDT,29,12,17,0.4138,0.5272,-0.2306,2.4378,-0.8214,2.095,15.2889,15.8645,-4.1972,0.2589
INJ/USDT,26,15,11,0.5769,0.4603,0.4535,1.37,-0.7803,2.394,11.9667,13.7016,-2.1001,0.3214
YFI/USDT,59,33,26,0.5593,0.1958,0.1186,0.8629,-0.651,1.682,11.5505,11.5505,-4.0144,0.1928
ZRX/USDT,24,14,10,0.5833,0.4422,0.3872,1.0669,-0.4323,3.455,10.6129,10.6129,-1.3333,0.4975
ONE/USDT,24,15,9,0.625,0.4251,0.3835,1.1348,-0.7576,2.496,10.2028,10.9314,-2.5749,0.3312
KNC/USDT,31,18,13,0.5806,0.3153,0.2216,0.897,-0.4901,2.534,9.775,11.8605,-2.0855,0.3628
UMA/USDT,16,9,7,0.5625,0.5337,0.1899,1.1826,-0.3005,5.06,8.5398,9.3912,-0.8514,0.5481
ADA/USDT,19,10,9,0.5263,0.4354,0.0698,1.4738,-0.7185,2.279,8.272,8.272,-2.2125,0.2766
GMT/USDT,10,5,5,0.5,0.7535,0.0061,1.9091,-0.4021,4.747,7.5347,9.0474,-1.5127,0.3659
1INCH/USDT,13,9,4,0.6923,0.56,0.4983,0.8749,-0.1486,13.251,7.2795,7.2795,-0.4746,0.7657
SOL/USDT,36,19,17,0.5278,0.1845,0.0648,1.0567,-0.7904,1.494,6.6411,7.5008,-4.4499,0.1495
BNB/USDT,24,17,7,0.7083,0.2635,0.2298,0.4919,-0.2912,4.102,6.3232,6.3232,-0.5431,0.5052
LTC/USDT,23,11,12,0.4783,0.2132,0.0,0.9668,-0.4776,1.856,4.9043,5.063,-2.6683,0.2051
BCH/USDT,14,8,6,0.5714,0.3421,0.3261,1.1499,-0.7351,2.086,4.789,4.789,-2.2636,0.289
OP/USDT,17,11,6,0.6471,0.2721,0.2451,1.0164,-1.0923,1.706,4.6264,4.6264,-2.4046,0.2153
UNI/USDT,15,9,6,0.6,0.204,0.0778,0.876,-0.8041,1.634,3.0593,3.0593,-2.189,0.1756
SHIB/USDT,13,8,5,0.6154,0.2181,0.1799,0.7603,-0.6494,1.873,2.8358,3.6241,-1.1663,0.2463
BLUR/USDT,25,11,14,0.44,0.0983,-0.0574,1.0593,-0.6568,1.267,2.4575,4.3094,-2.9913,0.0889
BNT/USDT,12,6,6,0.5,0.1904,0.2139,0.8718,-0.491,1.776,2.2852,3.1639,-1.6392,0.2213
BABYDOGE/USDT,18,5,13,0.2778,0.1156,0.0,1.652,-0.4753,1.337,2.081,3.0923,-3.0787,0.0976
ETH/USDT,31,16,15,0.5161,0.0623,0.0811,0.5177,-0.4234,1.304,1.9328,3.8068,-2.8859,0.1029
AXS/USDT,22,11,11,0.5,0.0771,-0.1465,1.3923,-1.2382,1.125,1.6957,3.2926,-4.7026,0.0406
AAVE/USDT,18,11,7,0.6111,0.0641,0.122,0.9519,-1.331,1.124,1.1536,4.2369,-8.1271,0.0397
GMX/USDT,18,10,8,0.5556,0.0506,0.0956,0.6374,-0.683,1.167,0.91,1.1777,-5.2675,0.0608
APT/USDT,27,12,15,0.4444,0.0309,-0.0413,1.1002,-0.8245,1.068,0.8353,5.5475,-4.7122,0.0244
ASTR/USDT,7,4,3,0.5714,0.1135,0.0727,0.6702,-0.6288,1.421,0.7946,0.7946,-0.5282,0.1212
PEPE/USDT,16,8,8,0.5,0.0335,0.1518,0.993,-0.926,1.072,0.5359,1.7128,-5.0193,0.0261
COMP/USDT,32,15,17,0.4688,0.0082,0.0,1.0868,-0.9435,1.016,0.2625,0.7273,-8.9659,0.0058
LRC/USDT,9,4,5,0.4444,0.0211,-0.2606,1.1822,-0.9079,1.042,0.1896,4.4683,-4.2787,0.0157
TRX/USDT,18,10,8,0.5556,0.0083,0.0218,0.2289,-0.2674,1.07,0.1501,0.1501,-0.8679,0.0264
FLOKI/USDT,24,12,12,0.5,-0.0087,0.0001,0.7188,-0.7361,0.976,-0.2078,7.1162,-7.61,-0.0083
DYDX/USDT,9,6,3,0.6667,-0.029,0.1978,0.8116,-1.7102,0.949,-0.2608,3.3575,-5.1305,-0.02
DOT/USDT,12,5,7,0.4167,-0.1186,-0.0388,1.212,-1.0691,0.81,-1.4236,5.1716,-6.5952,-0.073
ALGO/USDT,28,15,13,0.5357,-0.0518,0.1572,0.8845,-1.1321,0.901,-1.45,1.1674,-11.3951,-0.0368
WIF/USDT,15,6,9,0.4,-0.111,-0.0545,1.1162,-0.9292,0.801,-1.6655,1.1115,-5.2772,-0.0766
XLM/USDT,33,15,18,0.4545,-0.06,-0.2065,1.3536,-1.238,0.911,-1.9793,14.167,-16.1463,-0.03
SNX/USDT,13,6,7,0.4615,-0.1698,-0.1591,0.9998,-1.1724,0.731,-2.208,0.6687,-5.5177,-0.1264
BTC/USDT,48,21,27,0.4375,-0.0522,-0.0646,0.5209,-0.4979,0.814,-2.5052,-0.1692,-5.9587,-0.081
MANA/USDT,17,6,11,0.3529,-0.1665,-0.4017,1.3216,-0.9782,0.737,-2.8301,-0.5863,-5.1576,-0.117
SUSHI/USDT,12,4,8,0.3333,-0.321,-0.4402,0.3316,-0.6473,0.256,-3.8518,0.6967,-4.5485,-0.5352
ZIL/USDT,19,8,11,0.4211,-0.2165,-0.0772,1.0355,-1.1271,0.668,-4.1136,2.1514,-10.106,-0.1133
AVAX/USDT,19,8,11,0.4211,-0.2471,-0.5171,0.7186,-0.9495,0.55,-4.6958,2.1345,-6.8303,-0.2314
SAND/USDT,21,12,9,0.5714,-0.2272,0.0242,0.7534,-1.5347,0.655,-4.7714,1.8132,-11.1458,-0.1657
MINA/USDT,19,9,10,0.4737,-0.2561,-0.0494,0.9856,-1.3735,0.646,-4.8652,3.7387,-9.8511,-0.1457
LINK/USDT,12,3,9,0.25,-0.409,-0.3893,0.6446,-0.7603,0.283,-4.9085,1.1022,-6.0107,-0.5421
EGLD/USDT,23,12,11,0.5217,-0.2199,0.0246,0.4007,-0.8968,0.487,-5.0574,-0.6917,-5.3492,-0.1804
ETC/USDT,17,7,10,0.4118,-0.3822,-0.2488,0.4368,-0.9556,0.32,-6.4979,-2.442,-5.5589,-0.4246
GALA/USDT,20,10,10,0.5,-0.3307,0.0154,0.5035,-1.1648,0.432,-6.6139,0.9052,-9.0645,-0.2337
SUI/USDT,12,2,10,0.1667,-0.5797,-0.6314,1.2214,-0.9399,0.26,-6.9565,-0.0719,-9.3273,-0.5297
DOGE/USDT,23,7,16,0.3043,-0.3586,-0.4269,0.5455,-0.7541,0.316,-8.2478,0.6418,-8.8896,-0.4753
CRV/USDT,16,4,12,0.25,-0.5282,-0.1183,0.4937,-0.8688,0.189,-8.4508,-0.8695,-7.5813,-0.3678
ARB/USDT,24,8,16,0.3333,-0.3528,-0.1124,1.2635,-1.161,0.544,-8.4676,-1.3444,-8.9429,-0.2075
XRP/USDT,30,10,20,0.3333,-0.3328,-0.0718,0.5469,-0.7726,0.354,-9.9835,-0.0822,-12.3694,-0.2181
BONK/USDT,28,10,18,0.3571,-0.4064,-0.4236,0.9845,-1.179,0.464,-11.3781,0.1903,-11.8518,-0.2598
NEAR/USDT,43,13,30,0.3023,-0.4402,-0.399,1.3521,-1.2169,0.481,-18.93,-3.0749,-15.8551,-0.2486
CHZ/USDT,34,12,22,0.3529,-0.6128,-0.2534,1.2058,-1.6048,0.41,-20.836,-0.635,-21.3291,-0.3039
