tau,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
0.1,6473.0,2890.0,3583.0,0.4465,-0.047,-0.0334,0.472,-0.4655,0.818,-303.9114,-1.1123,-304.4303,-0.0679
0.15,4837.0,2142.0,2695.0,0.4428,-0.0547,-0.0327,0.4782,-0.4782,0.795,-264.5663,-1.595,-264.4245,-0.0766
0.2,3602.0,1594.0,2008.0,0.4425,-0.0544,-0.0313,0.478,-0.4771,0.795,-196.1105,-2.1649,-196.5746,-0.0763
0.25,2684.0,1171.0,1513.0,0.4363,-0.0621,-0.0359,0.481,-0.4824,0.772,-166.5787,-2.1649,-167.0393,-0.0861
0.3,2052.0,902.0,1150.0,0.4396,-0.0662,-0.0307,0.4735,-0.4895,0.759,-135.8696,-2.1649,-135.5344,-0.0924
0.35,1505.0,665.0,840.0,0.4419,-0.0621,-0.0252,0.4756,-0.4878,0.772,-93.5113,-2.1649,-92.4483,-0.0858
0.4,980.0,432.0,548.0,0.4408,-0.04,-0.0398,0.4878,-0.456,0.843,-39.1826,3.7643,-44.5814,-0.0588
0.45,445.0,198.0,247.0,0.4449,-0.0361,-0.0243,0.4621,-0.4354,0.851,-16.0441,0.1719,-18.4427,-0.0547
0.5,,,,,,,,,,,,,
0.55,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,
0.65,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,
0.75,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,
0.85,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,
