tau,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
0.1,9.0,6.0,3.0,0.6667,8.766,11.6273,14.293,-2.288,12.494,78.8943,85.7583,-6.864,0.8538
0.15,7.0,5.0,2.0,0.7143,9.7882,11.778,14.8262,-2.8068,13.206,68.5175,74.131,-5.6135,0.889
0.2,6.0,5.0,1.0,0.8333,12.3189,12.0524,14.8262,-0.2176,340.676,73.9134,74.131,-0.2176,1.2865
0.25,2.0,1.0,1.0,0.5,6.3342,6.3342,12.886,-0.2176,59.219,12.6684,12.886,-0.2176,0.6836
0.3,2.0,1.0,1.0,0.5,6.3342,6.3342,12.886,-0.2176,59.219,12.6684,12.886,-0.2176,0.6836
0.35,1.0,0.0,1.0,0.0,-0.2176,-0.2176,0.0,-0.2176,0.0,-0.2176,-0.2176,0.0,
0.4,,,,,,,,,,,,,
0.45,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,
0.55,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,
0.65,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,
0.75,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,
0.85,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,
