tau,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
0.1,4369.0,2129.0,2240.0,0.4873,0.0143,0.0,1.0561,-0.9759,1.029,62.5827,144.4082,-257.2894,0.0094
0.15,3077.0,1508.0,1569.0,0.4901,0.007,0.0,1.0527,-0.9982,1.014,21.3994,58.1416,-222.0037,0.0045
0.2,2286.0,1122.0,1164.0,0.4908,-0.0133,0.0,1.0459,-1.0342,0.975,-30.3081,4.5081,-193.2735,-0.0085
0.25,1740.0,856.0,884.0,0.492,-0.0302,0.0,1.0337,-1.0603,0.944,-52.4835,2.4488,-178.8883,-0.0195
0.3,1279.0,635.0,644.0,0.4965,-0.0089,0.0,1.0126,-1.0162,0.983,-11.4163,1.8331,-120.199,-0.0061
0.35,894.0,451.0,443.0,0.5045,-0.0165,0.0198,0.9782,-1.0292,0.968,-14.7695,0.349,-83.2873,-0.0116
0.4,557.0,286.0,271.0,0.5135,-0.0168,0.037,0.9981,-1.0879,0.968,-9.3433,-0.3024,-66.1656,-0.0112
0.45,270.0,137.0,133.0,0.5074,-0.0231,0.0241,0.9681,-1.0441,0.955,-6.2385,3.7266,-28.7189,-0.0153
0.5,,,,,,,,,,,,,
0.55,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,
0.65,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,
0.75,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,
0.85,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,
