tau,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
0.1,9603.0,4652.0,4951.0,0.4844,0.0106,0.0,0.9308,-0.8541,1.024,101.6758,155.6095,-291.7572,0.008
0.15,6814.0,3291.0,3523.0,0.483,0.013,0.0,0.9367,-0.8498,1.03,88.7969,119.4426,-198.3126,0.0098
0.2,5103.0,2478.0,2625.0,0.4856,0.0062,0.0,0.9325,-0.8683,1.014,31.4584,45.8451,-176.5793,0.0046
0.25,3873.0,1858.0,2015.0,0.4797,-0.007,0.0,0.9304,-0.8714,0.984,-27.2754,7.1925,-167.498,-0.0053
0.3,2844.0,1361.0,1483.0,0.4786,-0.0114,0.0,0.9169,-0.8634,0.975,-32.3886,6.3481,-121.8646,-0.0087
0.35,2005.0,951.0,1054.0,0.4743,-0.0066,0.0,0.9215,-0.844,0.985,-13.2363,7.0404,-84.4115,-0.0051
0.4,1217.0,577.0,640.0,0.4741,-0.003,0.0,0.9599,-0.8711,0.993,-3.6704,13.4446,-55.5877,-0.0023
0.45,588.0,272.0,316.0,0.4626,-0.0204,-0.0346,0.9974,-0.8964,0.958,-11.9829,7.426,-42.6193,-0.0149
0.5,,,,,,,,,,,,,
0.55,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,
0.65,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,
0.75,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,
0.85,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,
