ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,p_burst_sig,hmm_state_sig,vol_ratio_sig,vol_zscore_sig,rva_vel_sig,ret_signed_sig,pct_return
ASTR/USDT,2026-01-27 15:50:00+00:00,2026-01-27 15:55:00+00:00,0.01201,2026-01-27 16:15:00+00:00,0.01175,time_stop,5,0.4423,1,0.3982,-0.6243,0.591532,0.005868,-2.1649
COMP/USDT,2026-01-27 16:35:00+00:00,2026-01-27 16:40:00+00:00,23.85,2026-01-27 17:00:00+00:00,23.78,time_stop,5,0.4101,1,3.3767,0.9773,-1.23966,0.001259,-0.2935
SNX/USDT,2026-01-27 17:25:00+00:00,2026-01-27 17:30:00+00:00,0.4096,2026-01-27 17:50:00+00:00,0.4067,time_stop,5,0.4201,0,1.0391,-0.3254,1.055431,0.004415,-0.708
COMP/USDT,2026-01-27 22:40:00+00:00,2026-01-27 22:45:00+00:00,23.94,2026-01-27 23:05:00+00:00,23.92,time_stop,5,0.4025,1,0.307,-0.3547,-0.391958,0.001255,-0.0835
COMP/USDT,2026-01-28 06:00:00+00:00,2026-01-28 06:05:00+00:00,23.66,2026-01-28 06:25:00+00:00,23.65,time_stop,5,0.4104,1,0.1658,-0.5522,-0.281859,0.00127,-0.0423
COMP/USDT,2026-01-28 15:15:00+00:00,2026-01-28 15:20:00+00:00,23.86,2026-01-28 15:40:00+00:00,23.91,time_stop,5,0.4129,1,1.6032,0.2949,2.922167,0.001261,0.2096
SNX/USDT,2026-01-28 18:55:00+00:00,2026-01-28 19:00:00+00:00,0.4123,2026-01-28 19:20:00+00:00,0.4122,time_stop,5,0.4786,0,0.4495,-1.0119,-0.713164,0.004626,-0.0243
SNX/USDT,2026-01-28 19:50:00+00:00,2026-01-28 19:55:00+00:00,0.4148,2026-01-28 20:15:00+00:00,0.415,time_stop,5,0.4462,0,1.3691,-0.1535,-0.694773,0.003872,0.0482
COMP/USDT,2026-01-29 08:20:00+00:00,2026-01-29 08:25:00+00:00,23.94,2026-01-29 08:45:00+00:00,23.76,time_stop,5,0.4072,1,4.5032,1.8172,4.405716,0.001257,-0.7519
COMP/USDT,2026-01-29 08:50:00+00:00,2026-01-29 08:55:00+00:00,23.8,2026-01-29 09:15:00+00:00,23.73,time_stop,5,0.4177,1,1.3159,0.1292,-8.211209,0.001263,-0.2941
