ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,p_burst_sig,pct_return
AXS/USDT,2026-01-27 00:45:00+00:00,2026-01-27 01:00:00+00:00,2.7413,2026-01-27 02:00:00+00:00,2.6682,time_stop,5,0.4364,-2.6666
CHZ/USDT,2026-01-27 01:15:00+00:00,2026-01-27 01:30:00+00:00,0.05669,2026-01-27 02:30:00+00:00,0.05633,time_stop,5,0.4469,-0.635
BCH/USDT,2026-01-27 01:45:00+00:00,2026-01-27 02:00:00+00:00,581.0,2026-01-27 02:30:00+00:00,595.0,event,3,0.4085,2.4096
ETH/USDT,2026-01-27 14:15:00+00:00,2026-01-27 14:30:00+00:00,2928.95,2026-01-27 15:30:00+00:00,2937.6,time_stop,5,0.426,0.2953
AVAX/USDT,2026-01-27 16:15:00+00:00,2026-01-27 16:30:00+00:00,11.813,2026-01-27 16:30:00+00:00,11.896,event,1,0.4869,0.7026
BNB/USDT,2026-01-27 17:15:00+00:00,2026-01-27 17:30:00+00:00,889.7,2026-01-27 18:30:00+00:00,892.5,time_stop,5,0.4493,0.3147
AXS/USDT,2026-01-27 19:15:00+00:00,2026-01-27 19:30:00+00:00,2.504,2026-01-27 20:30:00+00:00,2.5146,time_stop,5,0.4834,0.4233
YFI/USDT,2026-01-27 21:45:00+00:00,2026-01-27 22:00:00+00:00,3382.0,2026-01-27 23:00:00+00:00,3389.0,time_stop,5,0.4732,0.207
LTC/USDT,2026-01-28 04:45:00+00:00,2026-01-28 05:00:00+00:00,69.3,2026-01-28 06:00:00+00:00,69.87,time_stop,5,0.4355,0.8225
TRX/USDT,2026-01-28 08:45:00+00:00,2026-01-28 09:00:00+00:00,0.29229,2026-01-28 10:00:00+00:00,0.2924,time_stop,5,0.4682,0.0376
ENJ/USDT,2026-01-28 14:45:00+00:00,2026-01-28 15:00:00+00:00,0.0272,2026-01-28 16:00:00+00:00,0.027,time_stop,5,0.4474,-0.7353
TRX/USDT,2026-01-28 14:45:00+00:00,2026-01-28 15:00:00+00:00,0.29122,2026-01-28 16:00:00+00:00,0.29108,time_stop,5,0.4832,-0.0481
LRC/USDT,2026-01-28 19:15:00+00:00,2026-01-28 19:30:00+00:00,0.0472,2026-01-28 20:30:00+00:00,0.04739,time_stop,5,0.4333,0.4025
AVAX/USDT,2026-01-29 07:45:00+00:00,2026-01-29 08:00:00+00:00,11.797,2026-01-29 09:00:00+00:00,11.736,time_stop,5,0.4478,-0.5171
CHZ/USDT,2026-01-29 08:15:00+00:00,2026-01-29 08:30:00+00:00,0.05213,2026-01-29 09:30:00+00:00,0.05112,time_stop,5,0.4803,-1.9375
ONE/USDT,2026-01-29 11:15:00+00:00,2026-01-29 11:30:00+00:00,0.00329,2026-01-29 12:30:00+00:00,0.003276,time_stop,5,0.4737,-0.4255
ADA/USDT,2026-01-29 14:45:00+00:00,2026-01-29 15:00:00+00:00,0.3392,2026-01-29 15:00:00+00:00,0.3341,event,1,0.4261,-1.5035
XLM/USDT,2026-01-29 15:45:00+00:00,2026-01-29 16:00:00+00:00,0.19754,2026-01-29 17:00:00+00:00,0.20055,time_stop,5,0.4094,1.5237
YFI/USDT,2026-01-29 16:45:00+00:00,2026-01-29 17:00:00+00:00,3170.0,2026-01-29 18:00:00+00:00,3111.0,time_stop,5,0.4388,-1.8612
GALA/USDT,2026-01-29 18:15:00+00:00,2026-01-29 18:30:00+00:00,0.005413,2026-01-29 19:30:00+00:00,0.005462,time_stop,5,0.4117,0.9052
GMX/USDT,2026-01-29 18:45:00+00:00,2026-01-29 19:00:00+00:00,6.878,2026-01-29 20:00:00+00:00,6.959,time_stop,5,0.4222,1.1777
ASTR/USDT,2026-01-30 00:15:00+00:00,2026-01-30 00:30:00+00:00,0.00965,2026-01-30 01:30:00+00:00,0.00953,time_stop,5,0.4297,-1.2435
CRV/USDT,2026-01-30 01:45:00+00:00,2026-01-30 02:00:00+00:00,0.3221,2026-01-30 03:00:00+00:00,0.319,time_stop,5,0.4687,-0.9624
ARB/USDT,2026-01-30 01:45:00+00:00,2026-01-30 02:00:00+00:00,0.1562,2026-01-30 03:00:00+00:00,0.1541,time_stop,5,0.468,-1.3444
ZIL/USDT,2026-01-30 02:15:00+00:00,2026-01-30 02:30:00+00:00,0.004433,2026-01-30 03:30:00+00:00,0.004471,time_stop,5,0.4182,0.8572
ONE/USDT,2026-01-30 08:15:00+00:00,2026-01-30 08:30:00+00:00,0.00312,2026-01-30 09:30:00+00:00,0.003102,time_stop,5,0.4734,-0.5769
ADA/USDT,2026-01-30 08:15:00+00:00,2026-01-30 08:30:00+00:00,0.3244,2026-01-30 08:30:00+00:00,0.3228,event,1,0.4063,-0.4932
PEPE/USDT,2026-01-30 15:15:00+00:00,2026-01-30 15:30:00+00:00,4.55e-06,2026-01-30 16:30:00+00:00,4.63e-06,time_stop,5,0.4511,1.7128
LTC/USDT,2026-01-30 15:15:00+00:00,2026-01-30 15:30:00+00:00,64.37,2026-01-30 16:30:00+00:00,65.06,time_stop,5,0.4053,1.0719
SHIB/USDT,2026-01-30 15:15:00+00:00,2026-01-30 15:30:00+00:00,7.24e-06,2026-01-30 16:30:00+00:00,7.28e-06,time_stop,5,0.4474,0.6077
CRV/USDT,2026-01-30 17:15:00+00:00,2026-01-30 17:30:00+00:00,0.323,2026-01-30 18:30:00+00:00,0.3233,time_stop,5,0.4205,0.0929
APT/USDT,2026-01-30 17:15:00+00:00,2026-01-30 17:30:00+00:00,1.457,2026-01-30 18:30:00+00:00,1.469,time_stop,5,0.4381,0.8236
WIF/USDT,2026-01-30 18:15:00+00:00,2026-01-30 18:30:00+00:00,0.2879,2026-01-30 19:30:00+00:00,0.2911,time_stop,5,0.4576,1.1115
SHIB/USDT,2026-01-30 18:45:00+00:00,2026-01-30 19:00:00+00:00,7.33e-06,2026-01-30 20:00:00+00:00,7.25e-06,time_stop,5,0.4391,-1.0775
APT/USDT,2026-01-30 18:45:00+00:00,2026-01-30 19:00:00+00:00,1.47,2026-01-30 20:00:00+00:00,1.454,time_stop,5,0.4924,-1.0884
CHZ/USDT,2026-01-30 19:15:00+00:00,2026-01-30 19:30:00+00:00,0.05007,2026-01-30 20:30:00+00:00,0.04904,time_stop,5,0.4283,-2.0571
SAND/USDT,2026-01-31 08:15:00+00:00,2026-01-31 08:30:00+00:00,0.1111,2026-01-31 09:30:00+00:00,0.1114,time_stop,5,0.4116,0.27
UMA/USDT,2026-01-31 08:15:00+00:00,2026-01-31 08:30:00+00:00,0.6119,2026-01-31 08:30:00+00:00,0.608,event,1,0.4286,-0.6374
BABYDOGE/USDT,2026-01-31 08:45:00+00:00,2026-01-31 09:00:00+00:00,0.0,2026-01-31 10:00:00+00:00,0.0,time_stop,5,0.4541,0.0
DOGE/USDT,2026-01-31 08:45:00+00:00,2026-01-31 09:00:00+00:00,0.11165,2026-01-31 10:00:00+00:00,0.1122,time_stop,5,0.4822,0.4926
ZRX/USDT,2026-01-31 11:45:00+00:00,2026-01-31 12:00:00+00:00,0.1182,2026-01-31 13:00:00+00:00,0.1176,time_stop,5,0.4154,-0.5076
EGLD/USDT,2026-01-31 12:15:00+00:00,2026-01-31 12:30:00+00:00,5.035,2026-01-31 13:30:00+00:00,4.998,time_stop,5,0.4744,-0.7349
BLUR/USDT,2026-01-31 14:45:00+00:00,2026-01-31 15:00:00+00:00,0.02368,2026-01-31 16:00:00+00:00,0.02362,time_stop,5,0.4547,-0.2534
