ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,bars_to_exit,peak_capture,vol_div,rsi_div,bb_touch,exit_reason
1INCH/USDT,2023-10-09 00:00:00+00:00,2023-10-19 00:00:00+00:00,0.2466,0.2438,0.2844,-0.0028,-1.1354,10,-7.41,True,True,True,bearish_vol_divergence
1INCH/USDT,2024-07-04 00:00:00+00:00,2024-07-21 00:00:00+00:00,0.3468,0.4322,0.4368,0.0854,24.6251,17,94.89,True,True,True,adx_dm_bearish_cross
1INCH/USDT,2024-07-25 00:00:00+00:00,2024-08-22 00:00:00+00:00,0.3609,0.2657,0.3801,-0.0952,-26.3785,28,-100.0,True,True,True,adx_dm_bearish_cross
AAVE/USDT,2022-04-30 00:00:00+00:00,2022-05-30 00:00:00+00:00,142.29,117.29,162.78,-25.0,-17.5698,30,-100.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2022-11-08 00:00:00+00:00,2022-12-11 00:00:00+00:00,72.24,59.69,88.31,-12.55,-17.3726,33,-78.1,True,True,True,adx_dm_bearish_cross
AAVE/USDT,2023-02-09 00:00:00+00:00,2023-02-16 00:00:00+00:00,77.81,84.0,90.69,6.19,7.9553,7,48.06,True,True,True,adx_dm_bearish_cross
AAVE/USDT,2023-05-08 00:00:00+00:00,2023-06-01 00:00:00+00:00,64.56,62.69,69.54,-1.87,-2.8965,24,-37.55,True,True,True,adx_dm_bearish_cross
AAVE/USDT,2024-06-08 00:00:00+00:00,2024-06-24 00:00:00+00:00,92.84,86.26,98.07,-6.58,-7.0875,16,-100.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2026-01-20 00:00:00+00:00,2026-02-28 00:00:00+00:00,153.27,111.94,164.51,-41.33,-26.9655,39,-100.0,True,True,True,adx_dm_bearish_cross
ADA/USDT,2022-07-11 00:00:00+00:00,2022-08-19 00:00:00+00:00,0.4346,0.4499,0.5949,0.0153,3.5156,39,9.54,True,True,True,adx_dm_bearish_cross
ADA/USDT,2022-08-19 00:00:00+00:00,2022-09-06 00:00:00+00:00,0.4499,0.4624,0.5121,0.0125,2.7849,18,20.14,True,True,True,bearish_vol_divergence
ADA/USDT,2022-12-11 00:00:00+00:00,2022-12-15 00:00:00+00:00,0.3074,0.3002,0.3186,-0.0072,-2.3582,4,-64.91,True,True,True,adx_dm_bearish_cross
ADA/USDT,2023-08-17 00:00:00+00:00,2023-09-02 00:00:00+00:00,0.2552,0.2561,0.2804,0.0009,0.3684,16,3.73,True,True,True,adx_dm_bearish_cross
ADA/USDT,2023-09-10 00:00:00+00:00,2023-10-13 00:00:00+00:00,0.249,0.2459,0.2696,-0.0031,-1.2451,33,-15.06,True,True,True,adx_dm_bearish_cross
ADA/USDT,2025-04-02 00:00:00+00:00,2025-05-07 00:00:00+00:00,0.6399,0.6715,0.746,0.0316,4.9383,35,29.78,True,True,True,adx_dm_bearish_cross
ALGO/USDT,2022-04-11 00:00:00+00:00,2022-05-04 00:00:00+00:00,0.6935,0.7159,0.7752,0.0224,3.23,23,27.42,True,True,True,adx_dm_bearish_cross
ALGO/USDT,2022-05-01 00:00:00+00:00,2022-05-04 00:00:00+00:00,0.6015,0.7159,0.7428,0.1144,19.0191,3,80.96,True,True,True,adx_dm_bearish_cross
ALGO/USDT,2022-08-19 00:00:00+00:00,2022-09-06 00:00:00+00:00,0.3029,0.285,0.3336,-0.0179,-5.9095,18,-58.31,True,True,True,adx_dm_bearish_cross
ALGO/USDT,2022-11-09 00:00:00+00:00,2023-01-21 00:00:00+00:00,0.2655,0.2388,0.3356,-0.0267,-10.0565,73,-38.09,True,True,True,bearish_vol_divergence
ALGO/USDT,2024-06-08 00:00:00+00:00,2024-07-04 00:00:00+00:00,0.1661,0.1312,0.1766,-0.0349,-21.0114,26,-100.0,True,True,True,adx_dm_bearish_cross
API3/USDT,2022-11-09 00:00:00+00:00,2022-11-12 00:00:00+00:00,1.4,1.453,1.846,0.053,3.7857,3,11.88,True,True,True,adx_dm_bearish_cross
API3/USDT,2023-06-05 00:00:00+00:00,2023-07-06 00:00:00+00:00,1.157,1.011,1.308,-0.146,-12.6188,31,-96.69,True,True,True,adx_dm_bearish_cross
API3/USDT,2024-07-04 00:00:00+00:00,2024-07-17 00:00:00+00:00,1.746,2.026,2.12,0.28,16.0367,13,74.87,True,True,True,bearish_vol_divergence
API3/USDT,2024-10-01 00:00:00+00:00,2024-10-13 00:00:00+00:00,1.379,1.421,1.616,0.042,3.0457,12,17.72,True,True,True,bearish_vol_divergence
API3/USDT,2025-12-07 00:00:00+00:00,2026-01-25 00:00:00+00:00,0.4938,0.3994,0.54,-0.0944,-19.1171,49,-100.0,True,True,True,adx_dm_bearish_cross
API3/USDT,2026-03-29 00:00:00+00:00,2026-04-08 00:00:00+00:00,0.2622,0.278,0.2905,0.0158,6.0259,10,55.83,True,True,True,adx_dm_bearish_cross
API3/USDT,2026-05-17 00:00:00+00:00,2026-06-17 00:00:00+00:00,0.3328,0.2761,0.354,-0.0567,-17.0373,31,-100.0,True,True,True,bearish_vol_divergence
APT/USDT,2025-06-26 04:30:00+00:00,2025-06-26 06:30:00+00:00,4.768,4.874,4.883,0.106,2.2232,8,92.17,True,True,True,adx_dm_bearish_cross
APT/USDT,2025-06-29 14:45:00+00:00,2025-06-29 17:15:00+00:00,4.797,4.771,4.812,-0.026,-0.542,10,0.0,True,True,True,bearish_vol_divergence
APT/USDT,2025-07-01 01:30:00+00:00,2025-07-01 01:45:00+00:00,4.912,4.91,4.927,-0.002,-0.0407,1,0.0,True,True,True,adx_dm_bearish_cross
APT/USDT,2025-07-05 04:45:00+00:00,2025-07-05 07:45:00+00:00,4.392,4.408,4.433,0.016,0.3643,12,39.02,True,True,True,bearish_vol_divergence
APT/USDT,2025-07-07 20:45:00+00:00,2025-07-07 23:15:00+00:00,4.438,4.442,4.448,0.004,0.0901,10,0.0,True,True,True,bearish_vol_divergence
APT/USDT,2025-07-08 14:45:00+00:00,2025-07-08 23:15:00+00:00,4.374,4.46,4.48,0.086,1.9662,34,81.13,True,True,True,bearish_vol_divergence
APT/USDT,2025-07-12 12:15:00+00:00,2025-07-12 12:30:00+00:00,4.864,4.82,4.884,-0.044,-0.9046,1,0.0,True,True,True,adx_dm_bearish_cross
APT/USDT,2025-07-14 12:15:00+00:00,2025-07-14 17:15:00+00:00,5.117,5.008,5.149,-0.109,-2.1302,20,-100.0,True,True,True,bearish_vol_divergence
APT/USDT,2025-07-19 13:45:00+00:00,2025-07-19 16:15:00+00:00,5.212,5.22,5.245,0.008,0.1535,10,24.24,True,True,True,bearish_vol_divergence
APT/USDT,2025-07-21 14:00:00+00:00,2025-07-21 14:45:00+00:00,5.445,5.467,5.506,0.022,0.404,3,36.07,True,True,True,adx_dm_bearish_cross
APT/USDT,2025-07-30 05:00:00+00:00,2025-07-30 07:30:00+00:00,4.521,4.536,4.574,0.015,0.3318,10,28.3,True,True,True,bearish_vol_divergence
APT/USDT,2025-08-01 05:30:00+00:00,2025-08-01 08:30:00+00:00,4.299,4.268,4.335,-0.031,-0.7211,12,-86.11,True,True,True,bearish_vol_divergence
APT/USDT,2025-08-05 01:45:00+00:00,2025-08-05 04:15:00+00:00,4.342,4.312,4.36,-0.03,-0.6909,10,0.0,True,True,True,bearish_vol_divergence
APT/USDT,2025-08-15 09:45:00+00:00,2025-08-15 12:15:00+00:00,4.761,4.735,4.805,-0.026,-0.5461,10,-59.09,True,True,True,bearish_vol_divergence
APT/USDT,2025-08-17 00:45:00+00:00,2025-08-17 01:00:00+00:00,4.723,4.718,4.732,-0.005,-0.1059,1,0.0,True,True,True,adx_dm_bearish_cross
APT/USDT,2025-08-22 03:45:00+00:00,2025-08-22 04:45:00+00:00,4.399,4.408,4.426,0.009,0.2046,4,33.33,True,True,True,adx_dm_bearish_cross
APT/USDT,2025-09-01 20:30:00+00:00,2025-09-01 23:00:00+00:00,4.159,4.183,4.223,0.024,0.5771,10,37.5,True,True,True,bearish_vol_divergence
APT/USDT,2025-09-05 06:15:00+00:00,2025-09-05 09:30:00+00:00,4.275,4.308,4.335,0.033,0.7719,13,55.0,True,True,True,bearish_vol_divergence
APT/USDT,2025-09-06 03:30:00+00:00,2025-09-06 03:45:00+00:00,4.246,4.24,4.247,-0.006,-0.1413,1,0.0,True,True,True,adx_dm_bearish_cross
APT/USDT,2025-09-08 07:30:00+00:00,2025-09-08 11:00:00+00:00,4.32,4.342,4.384,0.022,0.5093,14,34.37,True,True,True,bearish_vol_divergence
