ticker,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
PHUN,2,2,0,1.0,1.8472,1.8472,1.8472,0.0,inf,3.6944,3.6944,0.0,1.133
CETY,1,1,0,1.0,3.0,3.0,3.0,0.0,inf,3.0,3.0,0.0,
JAKK,1,1,0,1.0,2.1547,2.1547,2.1547,0.0,inf,2.1547,2.1547,0.0,
PLUR,2,1,1,0.5,1.0595,1.0595,3.0,-0.8811,3.405,2.1189,2.1189,0.0,0.386
AENT,2,1,1,0.5,0.5,0.5,3.0,-2.0,1.5,1.0,1.0,0.0,0.1414
GLXG,2,1,1,0.5,0.5,0.5,3.0,-2.0,1.5,1.0,3.0,-2.0,0.1414
WYFI,7,3,4,0.4286,0.1429,-2.0,3.0,-2.0,1.125,1.0,5.0,-4.0,0.0535
IWM,1,1,0,1.0,0.5711,0.5711,0.5711,0.0,inf,0.5711,0.5711,0.0,
CUPR,6,3,3,0.5,0.069,-0.793,2.138,-2.0,1.069,0.4141,1.4141,-4.0,0.0281
AHMA,1,0,1,0.0,-2.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,
KPLT,1,0,1,0.0,-2.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,
ARQQ,1,0,1,0.0,-2.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,
REVB,1,0,1,0.0,-2.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,
TOP,1,0,1,0.0,-2.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,
UXIN,1,0,1,0.0,-2.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,
IKT,2,0,2,0.0,-2.0,-2.0,0.0,-2.0,0.0,-4.0,-2.0,-2.0,-2000000000000.0
ELVR,14,4,10,0.2857,-0.9566,-1.3854,0.5192,-1.5469,0.134,-13.3923,-0.5861,-12.8062,-0.8262
