vol_mult,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
1.0,110,47,63,0.4273,-0.0688,-0.6843,2.1293,-1.7086,0.93,-7.5642,3.8759,-16.9695,-0.0326
1.25,69,30,39,0.4348,-0.0436,-0.4701,2.0766,-1.6746,0.954,-3.0084,9.9916,-16.0,-0.0209
1.5,46,18,28,0.3913,-0.3139,-2.0,1.9951,-1.7982,0.713,-14.4391,3.0,-17.4391,-0.1527
1.75,32,13,19,0.4062,-0.2272,-2.0,2.1832,-1.8764,0.796,-7.2707,3.0,-13.1154,-0.1048
2.0,21,7,14,0.3333,-0.5006,-2.0,2.1628,-1.8323,0.59,-10.5119,-2.0,-8.5119,-0.2425
2.25,14,3,11,0.2143,-0.9343,-2.0,2.1904,-1.7865,0.334,-13.0807,-2.0,-11.0807,-0.5109
2.5,11,0,11,0.0,-1.7865,-2.0,0.0,-1.7865,0.0,-19.6518,-2.0,-17.6518,-3.7565
2.75,7,0,7,0.0,-1.8402,-2.0,0.0,-1.8402,0.0,-12.8811,-2.0,-10.8811,-4.3512
3.0,7,0,7,0.0,-1.8402,-2.0,0.0,-1.8402,0.0,-12.8811,-2.0,-10.8811,-4.3512
3.25,6,0,6,0.0,-1.8135,-2.0,0.0,-1.8135,0.0,-10.8811,-2.0,-8.8811,-3.9701
3.5,5,0,5,0.0,-1.7762,-2.0,0.0,-1.7762,0.0,-8.8811,-2.0,-6.8811,-3.5497
