ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,atr_pct_sig,vol_mult_sig,pct_return
GLXG,2025-11-11 15:00:00,2025-11-11 20:00:00,4.0,2025-11-13 14:00:00,4.12,profit_target,3,0.028946,1.898,3.0
GLXG,2026-01-07 18:00:00,2026-01-07 19:00:00,1.82,2026-01-08 14:00:00,1.7836,stop_loss,2,0.020787,2.509,-2.0
CUPR,2026-01-12 16:00:00,2026-01-12 17:00:00,3.8936,2026-01-12 19:00:00,3.815728,stop_loss,3,0.021982,2.027,-2.0
CUPR,2026-01-13 14:00:00,2026-01-13 15:00:00,3.864,2026-01-13 19:00:00,3.88,time_stop,5,0.016102,2.207,0.4141
CUPR,2026-01-20 19:00:00,2026-01-20 20:00:00,3.524,2026-01-20 20:00:00,3.62972,profit_target,1,0.027264,1.966,3.0
CUPR,2026-02-18 16:00:00,2026-02-18 17:00:00,3.48,2026-02-19 14:00:00,3.4104,stop_loss,5,0.013872,2.165,-2.0
WYFI,2026-02-20 20:00:00,2026-02-23 14:00:00,16.549999,2026-02-23 14:00:00,16.218999,stop_loss,1,0.026185,3.513,-2.0
CUPR,2026-02-23 14:00:00,2026-02-23 15:00:00,3.3208,2026-02-23 19:00:00,3.254384,stop_loss,4,0.008772,6.504,-2.0
ELVR,2026-02-24 15:00:00,2026-02-24 16:00:00,56.299999,2026-02-24 20:00:00,55.970001,time_stop,5,0.020717,1.546,-0.5861
CUPR,2026-02-27 15:00:00,2026-02-27 16:00:00,2.9408,2026-03-02 14:00:00,3.029024,profit_target,4,0.025296,2.331,3.0
WYFI,2026-02-27 20:00:00,2026-03-02 14:00:00,16.41,2026-03-02 14:00:00,16.9023,profit_target,1,0.027222,2.019,3.0
ELVR,2026-03-02 20:00:00,2026-03-03 14:00:00,52.375,2026-03-03 14:00:00,51.3275,stop_loss,1,0.020306,1.718,-2.0
ELVR,2026-03-04 20:00:00,2026-03-05 14:00:00,50.400002,2026-03-05 17:00:00,49.392001,stop_loss,4,0.022873,2.51,-2.0
ELVR,2026-03-05 20:00:00,2026-03-06 14:00:00,52.02,2026-03-06 14:00:00,50.9796,stop_loss,1,0.022534,1.817,-2.0
ELVR,2026-03-13 19:00:00,2026-03-16 14:00:00,51.849998,2026-03-16 18:00:00,51.98,time_stop,5,0.021424,1.677,0.2507
WYFI,2026-03-16 18:00:00,2026-03-16 19:00:00,15.76,2026-03-17 14:00:00,15.4448,stop_loss,2,0.029738,1.634,-2.0
AHMA,2026-03-20 15:00:00,2026-03-20 17:00:00,4.51,2026-03-20 17:00:00,4.4198,stop_loss,1,0.029424,1.678,-2.0
WYFI,2026-03-25 19:00:00,2026-03-26 14:00:00,12.88,2026-03-26 14:00:00,13.2664,profit_target,1,0.023207,1.664,3.0
WYFI,2026-04-08 19:00:00,2026-04-09 14:00:00,13.15,2026-04-09 15:00:00,13.5445,profit_target,2,0.025437,1.791,3.0
ELVR,2026-04-15 14:00:00,2026-04-15 15:00:00,63.474998,2026-04-15 19:00:00,64.019997,time_stop,5,0.01379,1.854,0.8586
ELVR,2026-04-27 19:00:00,2026-04-28 14:00:00,94.385002,2026-04-28 16:00:00,92.497302,stop_loss,3,0.017717,3.242,-2.0
ELVR,2026-04-28 19:00:00,2026-04-29 14:00:00,95.745003,2026-04-29 18:00:00,96.305,time_stop,5,0.0186,1.641,0.5849
ELVR,2026-05-05 19:00:00,2026-05-06 14:00:00,97.980003,2026-05-06 18:00:00,97.870003,time_stop,5,0.015611,1.706,-0.1123
ELVR,2026-05-06 15:00:00,2026-05-06 16:00:00,99.330002,2026-05-07 14:00:00,99.709999,time_stop,5,0.020802,1.781,0.3826
ELVR,2026-05-08 19:00:00,2026-05-11 14:00:00,99.264999,2026-05-11 18:00:00,98.5,time_stop,5,0.013996,2.745,-0.7707
ELVR,2026-05-13 18:00:00,2026-05-13 19:00:00,90.120003,2026-05-14 14:00:00,88.317603,stop_loss,2,0.021179,1.794,-2.0
PHUN,2026-05-28 17:00:00,2026-05-28 18:00:00,2.016,2026-05-29 16:00:00,2.03,time_stop,5,0.010886,1.533,0.6944
KPLT,2026-05-28 18:00:00,2026-05-28 19:00:00,6.2,2026-05-29 15:00:00,6.076,stop_loss,3,0.021997,1.565,-2.0
WYFI,2026-05-28 19:00:00,2026-05-29 14:00:00,30.6,2026-05-29 14:00:00,29.988,stop_loss,1,0.026739,1.873,-2.0
AENT,2026-05-29 16:00:00,2026-05-29 17:00:00,6.15,2026-05-29 17:00:00,6.027,stop_loss,1,0.021403,1.829,-2.0
CETY,2026-06-01 14:00:00,2026-06-01 15:00:00,0.7201,2026-06-01 16:00:00,0.741703,profit_target,2,0.019678,1.66,3.0
TOP,2026-06-02 15:00:00,2026-06-02 16:00:00,0.9599,2026-06-02 16:00:00,0.940702,stop_loss,1,0.02766,4.849,-2.0
IKT,2026-06-02 18:00:00,2026-06-02 19:00:00,1.715,2026-06-03 14:00:00,1.6807,stop_loss,2,0.013177,1.594,-2.0
WYFI,2026-06-02 19:00:00,2026-06-03 14:00:00,29.250099,2026-06-03 14:00:00,28.665097,stop_loss,1,0.029703,1.891,-2.0
PHUN,2026-06-03 15:00:00,2026-06-03 16:00:00,1.92,2026-06-04 14:00:00,1.9776,profit_target,5,0.012723,1.875,3.0
IWM,2026-06-03 19:00:00,2026-06-04 14:00:00,290.640015,2026-06-04 18:00:00,292.299988,time_stop,5,0.004587,2.421,0.5711
AENT,2026-06-04 16:00:00,2026-06-04 17:00:00,5.59,2026-06-04 17:00:00,5.7577,profit_target,1,0.025769,2.391,3.0
PLUR,2026-06-11 14:00:00,2026-06-11 15:00:00,2.27,2026-06-11 19:00:00,2.25,time_stop,5,0.019867,4.662,-0.8811
JAKK,2026-06-10 19:00:00,2026-06-11 15:00:00,21.858999,2026-06-11 19:00:00,22.33,time_stop,5,0.009115,2.116,2.1547
REVB,2026-06-11 18:00:00,2026-06-11 19:00:00,1.04,2026-06-12 15:00:00,1.0192,stop_loss,3,0.015304,2.216,-2.0
PLUR,2026-06-12 14:00:00,2026-06-12 15:00:00,2.26,2026-06-15 15:00:00,2.3278,profit_target,4,0.017465,2.192,3.0
ARQQ,2026-06-12 19:00:00,2026-06-15 14:00:00,17.290001,2026-06-15 15:00:00,16.944201,stop_loss,2,0.02821,1.546,-2.0
IKT,2026-06-15 14:00:00,2026-06-15 15:00:00,1.715,2026-06-15 17:00:00,1.6807,stop_loss,3,0.01407,1.502,-2.0
UXIN,2026-06-15 17:00:00,2026-06-15 18:00:00,2.1,2026-06-16 14:00:00,2.058,stop_loss,3,0.0172,3.423,-2.0
ELVR,2026-06-15 18:00:00,2026-06-15 19:00:00,102.07,2026-06-16 14:00:00,100.0286,stop_loss,2,0.028674,2.64,-2.0
ELVR,2026-06-15 19:00:00,2026-06-16 14:00:00,92.93,2026-06-16 18:00:00,91.0714,stop_loss,5,0.026829,3.944,-2.0
