ticker,n_transitions,n_events,cont_window,hit_rate,mean_bars_to_event,med_bars_to_event,mean_burst_duration,med_burst_duration
AHMA,57,36,5,0.2456,2.5,2.0,2.09,1.0
CAST,37,41,5,0.2432,2.0,2.0,2.46,1.0
CUPR,45,47,5,0.3111,2.21,2.0,2.13,1.0
GLXG,61,80,5,0.4262,2.15,1.0,2.15,1.0
HQ,26,10,5,0.2692,2.86,3.0,2.08,1.0
HUBC,27,30,5,0.3333,1.89,2.0,2.52,2.0
LUD,62,31,5,0.3226,2.6,2.5,1.63,1.0
MTEN,34,31,5,0.1471,2.2,2.0,2.24,1.0
QUCY,7,8,5,0.5714,2.25,1.5,2.43,3.0
RDGT,41,31,5,0.2927,2.67,3.0,2.29,1.0
SDOT,22,23,5,0.2273,1.6,1.0,4.18,2.0
UBXG,16,27,5,0.5,1.5,1.0,2.5,1.5
VSME,18,39,5,0.4444,2.12,1.0,4.5,2.0
WYFI,56,15,5,0.1964,2.45,2.0,1.52,1.0
