ticker,transition_bar,entry_bar,p_burst_at_entry,event_within_window,bars_to_event,burst_duration
AHMA,3,4,1.0,True,1.0,3
AHMA,7,8,0.9963,False,,2
AHMA,21,22,0.0066,False,,1
AHMA,23,24,0.9781,False,,2
AHMA,42,43,1.0,True,1.0,2
AHMA,46,47,0.0047,False,,1
AHMA,51,52,0.0228,False,,1
AHMA,60,61,0.0159,True,2.0,1
AHMA,62,63,0.0147,False,,1
AHMA,69,70,0.0266,False,,1
AHMA,80,81,1.0,True,1.0,16
AHMA,97,98,1.0,True,3.0,9
AHMA,238,239,0.0046,False,,1
AHMA,264,265,0.0101,False,,1
AHMA,276,277,0.0149,True,2.0,1
AHMA,278,279,0.01,False,,1
AHMA,281,282,0.0051,False,,1
AHMA,283,284,0.0132,True,5.0,1
AHMA,288,289,0.0172,False,,1
AHMA,295,296,1.0,False,,2
AHMA,304,305,0.0186,False,,1
AHMA,310,311,0.0146,False,,1
AHMA,316,317,0.0065,False,,1
AHMA,321,322,1.0,True,1.0,2
AHMA,337,338,0.036,False,,1
AHMA,340,341,0.998,False,,2
AHMA,344,345,1.0,False,,2
AHMA,349,350,1.0,True,3.0,4
AHMA,354,355,0.9993,False,,2
AHMA,367,368,0.0091,False,,1
AHMA,375,376,0.9995,False,,3
AHMA,387,388,0.0131,True,5.0,1
AHMA,392,393,0.0131,False,,1
AHMA,400,401,0.0051,False,,1
AHMA,405,406,0.6929,False,,2
AHMA,409,410,0.015,False,,1
AHMA,412,413,0.0097,False,,1
AHMA,418,419,1.0,False,,2
AHMA,422,423,0.1722,False,,1
AHMA,424,425,0.0089,False,,1
AHMA,439,440,0.0062,False,,1
AHMA,441,442,1.0,False,,2
AHMA,446,447,1.0,False,,2
AHMA,449,450,0.9864,False,,2
AHMA,459,460,0.0152,False,,1
AHMA,463,464,0.3498,False,,1
AHMA,470,471,0.0051,True,3.0,1
AHMA,473,474,0.0059,False,,1
AHMA,478,479,0.4502,False,,1
AHMA,490,491,0.0119,False,,1
AHMA,492,493,0.0105,False,,1
AHMA,498,499,0.9876,False,,2
AHMA,506,507,0.0073,False,,1
AHMA,514,515,0.013,True,5.0,1
AHMA,518,519,1.0,True,1.0,18
AHMA,537,538,0.0345,True,2.0,1
AHMA,539,540,1.0,False,,2
CAST,8,9,0.0377,False,,1
CAST,22,23,1.0,False,,3
CAST,43,44,0.0585,False,,1
CAST,51,52,0.0376,False,,1
CAST,63,64,1.0,True,1.0,7
CAST,73,74,0.0616,False,,1
CAST,75,76,0.0662,False,,1
CAST,81,82,0.1232,False,,1
CAST,87,88,1.0,True,1.0,3
CAST,91,92,0.4256,False,,1
CAST,98,99,1.0,False,,3
CAST,105,106,0.3495,False,,1
CAST,113,114,1.0,False,,2
CAST,117,118,0.0619,False,,1
CAST,120,121,0.3092,False,,1
CAST,127,128,0.0413,False,,1
CAST,132,133,0.0534,False,,1
CAST,141,142,1.0,True,3.0,2
CAST,144,145,0.1515,False,,1
CAST,147,148,0.5434,True,3.0,2
CAST,150,151,0.1448,False,,1
CAST,156,157,0.984,False,,3
CAST,160,161,0.0666,True,3.0,1
CAST,163,164,0.046,False,,1
CAST,177,178,0.1472,False,,1
CAST,193,194,0.0481,True,2.0,1
CAST,195,196,0.1434,False,,1
CAST,199,200,0.1875,False,,1
CAST,229,230,1.0,False,,3
