ticker,lag,n_events,pre_event_p_burst_mean,pre_event_p_burst_median,baseline_p_burst_mean,lift,mw_pval,mw_significant,rva_pre_event_mean,rva_pval
AHMA,0,36,1.0,1.0,0.1285,7.784,0.0,True,0.5716,0.0151
AHMA,1,36,0.7277,1.0,0.1285,5.665,0.0,True,-1.9479,0.8665
AHMA,2,36,0.696,1.0,0.1285,5.418,0.0,True,1.0214,0.6489
AHMA,3,36,0.6217,1.0,0.1285,4.84,0.0,True,1.4053,0.1614
CAST,0,41,0.9899,1.0,0.1571,6.302,0.0,True,1.6446,0.0
CAST,1,41,0.6222,1.0,0.1571,3.961,0.0,True,0.7366,0.4277
CAST,2,41,0.5774,0.9993,0.1571,3.676,0.0,True,-0.2136,0.7991
CAST,3,41,0.5546,0.7853,0.1571,3.531,0.0,True,0.1286,0.1263
CUPR,0,47,0.9993,1.0,0.0612,16.318,0.0,True,2.701,0.016
CUPR,1,47,0.6322,1.0,0.0612,10.323,0.0,True,1.3925,0.8551
CUPR,2,47,0.5568,0.9986,0.0612,9.091,0.0,True,-0.2244,0.8851
CUPR,3,47,0.4848,0.3286,0.0612,7.916,0.0,True,0.3498,0.8787
GLXG,0,80,0.9256,1.0,0.0416,22.241,0.0,True,2.5795,0.0
GLXG,1,80,0.5459,0.9802,0.0416,13.118,0.0,True,4.5251,0.0
GLXG,2,80,0.4106,0.0225,0.0416,9.867,0.0,True,-0.0289,0.8392
GLXG,3,80,0.4545,0.0391,0.0416,10.922,0.0,True,0.8819,0.2489
HQ,0,10,0.9062,0.9965,0.1309,6.921,0.0,True,2.8807,0.0
HQ,1,10,0.2964,0.1313,0.1309,2.263,0.0212,True,0.0958,0.5982
HQ,2,10,0.3782,0.1384,0.1309,2.888,0.009,True,-1.6899,0.9971
HQ,3,10,0.6391,0.9182,0.1309,4.881,0.0002,True,1.9298,0.0016
HUBC,0,30,0.9124,1.0,0.1326,6.878,0.0,True,0.6162,0.1676
HUBC,1,30,0.7045,1.0,0.1326,5.311,0.0,True,1.591,0.8052
HUBC,2,30,0.6474,0.9926,0.1326,4.881,0.0,True,-1.0759,0.6857
HUBC,3,30,0.5862,0.9906,0.1326,4.419,0.0,True,1.1834,0.1056
LUD,0,31,1.0,1.0,0.1136,8.801,0.0,True,5.2297,0.0
LUD,1,31,0.3329,0.0257,0.1136,2.93,0.0,True,1.0031,0.2938
LUD,2,31,0.245,0.0124,0.1136,2.156,0.0253,True,1.1142,0.1497
LUD,3,31,0.1579,0.0066,0.1136,1.39,0.0185,True,-0.8489,0.7302
MTEN,0,31,0.9999,1.0,0.2771,3.608,0.0,True,0.7646,0.025
MTEN,1,31,0.7908,1.0,0.2771,2.853,0.0,True,1.3971,0.1244
MTEN,2,31,0.81,1.0,0.2771,2.923,0.0,True,-0.769,0.479
MTEN,3,31,0.75,1.0,0.2771,2.706,0.0,True,1.6657,0.1692
QUCY,0,8,0.6915,0.8209,0.0286,24.218,0.0,True,0.4879,0.0034
QUCY,1,8,0.59,0.8229,0.0286,20.664,0.0,True,-0.0381,0.7876
QUCY,2,8,0.473,0.3747,0.0286,16.566,0.0,True,0.5637,0.0351
QUCY,3,8,0.4571,0.3144,0.0286,16.009,0.0,True,-0.2484,0.9893
RDGT,0,31,0.998,1.0,0.211,4.73,0.0,True,2.1345,0.0
RDGT,1,31,0.6398,0.9999,0.211,3.032,0.0,True,1.0229,0.167
RDGT,2,31,0.7507,1.0,0.211,3.558,0.0,True,0.464,0.0791
RDGT,3,31,0.6701,0.9979,0.211,3.176,0.0,True,1.0563,0.1303
RGNT,0,28,0.0,0.0,0.0,0.0,0.0,True,0.5005,0.1936
RGNT,1,28,0.0,0.0,0.0,0.0,0.1353,False,1.6014,0.8616
RGNT,2,28,0.0,0.0,0.0,0.0,0.3284,False,4.7568,0.0717
RGNT,3,28,0.0,0.0,0.0,0.0,0.0606,False,-1.21,0.5669
SDOT,0,23,1.0,1.0,0.2797,3.576,0.0,True,1.0921,0.4063
SDOT,1,23,0.8558,1.0,0.2797,3.06,0.0,True,0.0178,0.5812
SDOT,2,23,0.6889,1.0,0.2797,2.463,0.0,True,0.4416,0.572
SDOT,3,23,0.5669,1.0,0.2797,2.027,0.0005,True,0.9917,0.0761
UBXG,0,27,0.9587,1.0,0.04,23.939,0.0,True,1.7058,0.0715
UBXG,1,27,0.7423,1.0,0.04,18.536,0.0,True,0.9233,0.3501
UBXG,2,27,0.615,0.9943,0.04,15.356,0.0,True,0.8386,0.2332
UBXG,3,27,0.5357,0.8082,0.04,13.376,0.0,True,-0.707,0.6613
VSME,0,39,0.9744,1.0,0.2351,4.144,0.0,True,0.9409,0.3084
VSME,1,38,0.8672,1.0,0.2351,3.688,0.0,True,0.6858,0.7758
VSME,2,38,0.7662,1.0,0.2351,3.259,0.0,True,0.5716,0.8687
VSME,3,37,0.73,1.0,0.2351,3.105,0.0,True,1.8885,0.4866
WYFI,0,15,0.9841,1.0,0.1018,9.664,0.0,True,1.3648,0.0188
WYFI,1,15,0.5758,1.0,0.1018,5.654,0.0,True,1.7626,0.0284
WYFI,2,15,0.3538,0.0436,0.1018,3.474,0.0007,True,-0.1456,0.4384
WYFI,3,15,0.3231,0.0553,0.1018,3.173,0.0003,True,0.2203,0.2247
