ticker,bar_idx,datetime,hmm_state,p_burst,p_accum,p_quiet,lambda_t,W_norm,beta_quiet_norm,beta_accum_norm,beta_burst_norm,event_occurred
AHMA,910,2026-04-29 18:45:00+00:00,0,0.00038,0.033483,0.966137,0.288113,1013.660627,145.845736,7.47849,7.82042,0
AHMA,911,2026-04-29 19:00:00+00:00,0,0.000356,0.031568,0.968077,0.3049,1013.660628,145.845748,7.47849,7.82042,0
AHMA,912,2026-04-29 19:15:00+00:00,0,0.000355,0.034892,0.964753,0.622235,1013.660628,145.845758,7.47849,7.82042,0
AHMA,913,2026-04-29 19:45:00+00:00,2,0.819429,0.180571,0.0,0.104717,1013.660631,145.845758,7.47849,7.820571,0
AHMA,914,2026-04-30 14:30:00+00:00,2,1.0,0.0,0.0,3.8e-05,1013.656662,145.845758,7.47849,7.814112,1
AHMA,915,2026-04-30 14:45:00+00:00,2,1.0,0.0,0.0,9e-06,1013.653343,145.845758,7.47849,7.814112,0
AHMA,916,2026-04-30 15:00:00+00:00,1,0.008346,0.991654,0.0,0.176088,1013.650682,145.845758,7.478693,7.814112,0
AHMA,917,2026-04-30 15:15:00+00:00,2,1.0,0.0,0.0,0.00015,1013.65067,145.845758,7.478693,7.814113,0
AHMA,918,2026-04-30 15:30:00+00:00,2,0.717802,0.282198,0.0,0.002123,1013.646728,145.845758,7.478693,7.814121,0
AHMA,919,2026-04-30 15:45:00+00:00,1,0.078489,0.921511,0.0,0.194775,1013.643411,145.845758,7.478904,7.814121,0
AHMA,920,2026-04-30 16:00:00+00:00,1,0.005004,0.99496,3.6e-05,0.249771,1013.64341,145.845758,7.479134,7.814121,0
AHMA,921,2026-04-30 16:15:00+00:00,1,0.005448,0.994552,0.0,0.33779,1013.64341,145.845758,7.479376,7.814121,0
AHMA,922,2026-04-30 16:45:00+00:00,0,0.001034,0.086399,0.912567,0.106133,1013.643412,145.845766,7.479376,7.814121,0
AHMA,923,2026-04-30 17:00:00+00:00,0,0.00036,0.047063,0.952577,0.085642,1013.643411,145.845773,7.479376,7.814121,0
AHMA,924,2026-04-30 17:15:00+00:00,1,0.004862,0.995064,7.3e-05,0.439485,1013.643414,145.845773,7.479615,7.814121,0
AHMA,925,2026-04-30 17:30:00+00:00,1,0.009395,0.990605,0.0,0.355809,1013.643409,145.845773,7.479857,7.814121,0
AHMA,926,2026-04-30 17:45:00+00:00,1,0.010854,0.989146,0.0,0.382476,1013.643405,145.845773,7.480099,7.814121,0
AHMA,927,2026-04-30 18:00:00+00:00,1,0.007129,0.992871,0.0,0.443869,1013.643403,145.845773,7.480336,7.814121,0
AHMA,928,2026-04-30 18:15:00+00:00,0,0.001905,0.252401,0.745694,0.031339,1013.643404,145.845777,7.480336,7.814121,0
AHMA,929,2026-04-30 18:30:00+00:00,1,0.070633,0.929367,0.0,0.306378,1013.643407,145.845777,7.480574,7.814121,0
