ticker,signal_bar,entry_bar,type,outcome,p_burst,hmm_state,rva,bars_to_event
AHMA,9.0,10.0,signal,FP,0.483,1,-0.4645,
AHMA,257.0,258.0,signal,FP,0.4933,1,1.2515,
AHMA,362.0,363.0,signal,FP,0.4582,1,1.2311,
AHMA,395.0,396.0,signal,FP,0.477,1,1.1991,
AHMA,479.0,480.0,signal,TP,0.4502,1,-3.6357,11.0
AHMA,,,event,FN,1.0,2,1.3578,0.0
AHMA,,,event,FN,1.0,2,7.577,0.0
AHMA,,,event,FN,1.0,2,-4.5595,0.0
AHMA,,,event,FN,1.0,2,4.6541,0.0
AHMA,,,event,FN,1.0,2,-72.9946,0.0
AHMA,,,event,FN,1.0,2,-12.1319,0.0
AHMA,,,event,FN,1.0,2,-5.162,0.0
AHMA,,,event,FN,1.0,2,-8.4718,0.0
AHMA,,,event,FN,1.0,2,1.246,0.0
AHMA,,,event,FN,1.0,2,-1.7304,0.0
AHMA,,,event,FN,1.0,2,8.5283,0.0
AHMA,,,event,FN,1.0,2,-0.6784,0.0
AHMA,,,event,FN,1.0,2,1.9632,0.0
AHMA,,,event,FN,1.0,2,3.4916,0.0
AHMA,,,event,FN,1.0,2,5.6251,0.0
AHMA,,,event,FN,1.0,2,0.94,0.0
AHMA,,,event,FN,1.0,2,2.5059,0.0
AHMA,,,event,FN,1.0,2,4.0256,0.0
AHMA,,,event,FN,1.0,2,5.9827,0.0
AHMA,,,event,caught,1.0,2,3.9508,0.0
AHMA,,,event,FN,1.0,2,100.0235,0.0
AHMA,,,event,FN,1.0,2,36.1616,0.0
AHMA,,,event,FN,1.0,2,-32.4205,0.0
AHMA,,,event,FN,1.0,2,-14.7088,0.0
AHMA,,,event,FN,1.0,2,-1.3955,0.0
AHMA,,,event,FN,1.0,2,-20.9782,0.0
AHMA,,,event,FN,1.0,2,8.2513,0.0
AHMA,,,event,FN,1.0,2,1.935,0.0
AHMA,,,event,FN,1.0,2,-11.9547,0.0
AHMA,,,event,FN,1.0,2,-1.0353,0.0
AHMA,,,event,FN,1.0,2,-0.5048,0.0
