ticker,threshold,horizon,n_signals,tp,fp,fn,precision,recall,f1
AHMA,0.1,15,14,5,9,31,0.3571,0.1389,0.2
AHMA,0.15,15,14,5,9,31,0.3571,0.1389,0.2
AHMA,0.2,15,13,5,8,31,0.3846,0.1389,0.2041
AHMA,0.25,15,11,4,7,33,0.3636,0.1081,0.1667
AHMA,0.3,15,8,4,4,33,0.5,0.1081,0.1778
AHMA,0.35,15,5,1,4,35,0.2,0.0278,0.0488
AHMA,0.4,15,5,1,4,35,0.2,0.0278,0.0488
AHMA,0.45,15,5,1,4,35,0.2,0.0278,0.0488
AHMA,0.5,15,0,0,0,36,0.0,0.0,0.0
AHMA,0.55,15,0,0,0,36,0.0,0.0,0.0
AHMA,0.6,15,0,0,0,36,0.0,0.0,0.0
AHMA,0.65,15,0,0,0,36,0.0,0.0,0.0
AHMA,0.7,15,0,0,0,36,0.0,0.0,0.0
AHMA,0.75,15,0,0,0,36,0.0,0.0,0.0
AHMA,0.8,15,0,0,0,36,0.0,0.0,0.0
AHMA,0.85,15,0,0,0,36,0.0,0.0,0.0
AHMA,0.9,15,0,0,0,36,0.0,0.0,0.0
CAST,0.1,15,31,21,10,14,0.6774,0.6,0.6364
CAST,0.15,15,23,15,8,15,0.6522,0.5,0.566
CAST,0.2,15,13,10,3,19,0.7692,0.3448,0.4762
CAST,0.25,15,10,8,2,19,0.8,0.2963,0.4324
CAST,0.3,15,8,6,2,33,0.75,0.1538,0.2553
CAST,0.35,15,2,2,0,38,1.0,0.05,0.0952
CAST,0.4,15,2,2,0,38,1.0,0.05,0.0952
CAST,0.45,15,1,1,0,39,1.0,0.025,0.0488
CAST,0.5,15,0,0,0,41,0.0,0.0,0.0
CAST,0.55,15,0,0,0,41,0.0,0.0,0.0
CAST,0.6,15,0,0,0,41,0.0,0.0,0.0
CAST,0.65,15,0,0,0,41,0.0,0.0,0.0
CAST,0.7,15,0,0,0,41,0.0,0.0,0.0
CAST,0.75,15,0,0,0,41,0.0,0.0,0.0
CAST,0.8,15,0,0,0,41,0.0,0.0,0.0
CAST,0.85,15,0,0,0,41,0.0,0.0,0.0
CAST,0.9,15,0,0,0,41,0.0,0.0,0.0
CUPR,0.1,15,37,15,22,24,0.4054,0.3846,0.3947
CUPR,0.15,15,24,11,13,29,0.4583,0.275,0.3437
CUPR,0.2,15,19,8,11,32,0.4211,0.2,0.2712
CUPR,0.25,15,15,7,8,32,0.4667,0.1795,0.2593
CUPR,0.3,15,12,7,5,32,0.5833,0.1795,0.2745
CUPR,0.35,15,9,5,4,34,0.5556,0.1282,0.2083
CUPR,0.4,15,7,4,3,35,0.5714,0.1026,0.1739
CUPR,0.45,15,1,0,1,47,0.0,0.0,0.0
CUPR,0.5,15,0,0,0,47,0.0,0.0,0.0
CUPR,0.55,15,0,0,0,47,0.0,0.0,0.0
CUPR,0.6,15,0,0,0,47,0.0,0.0,0.0
CUPR,0.65,15,0,0,0,47,0.0,0.0,0.0
CUPR,0.7,15,0,0,0,47,0.0,0.0,0.0
CUPR,0.75,15,0,0,0,47,0.0,0.0,0.0
CUPR,0.8,15,0,0,0,47,0.0,0.0,0.0
CUPR,0.85,15,0,0,0,47,0.0,0.0,0.0
CUPR,0.9,15,0,0,0,47,0.0,0.0,0.0
GLXG,0.1,15,21,15,6,52,0.7143,0.2239,0.3409
GLXG,0.15,15,17,13,4,54,0.7647,0.194,0.3095
GLXG,0.2,15,11,9,2,61,0.8182,0.1286,0.2222
GLXG,0.25,15,9,7,2,65,0.7778,0.0972,0.1728
GLXG,0.3,15,4,3,1,70,0.75,0.0411,0.0779
GLXG,0.35,15,4,3,1,70,0.75,0.0411,0.0779
GLXG,0.4,15,1,1,0,79,1.0,0.0125,0.0247
GLXG,0.45,15,0,0,0,80,0.0,0.0,0.0
GLXG,0.5,15,0,0,0,80,0.0,0.0,0.0
GLXG,0.55,15,0,0,0,80,0.0,0.0,0.0
GLXG,0.6,15,0,0,0,80,0.0,0.0,0.0
GLXG,0.65,15,0,0,0,80,0.0,0.0,0.0
GLXG,0.7,15,0,0,0,80,0.0,0.0,0.0
GLXG,0.75,15,0,0,0,80,0.0,0.0,0.0
GLXG,0.8,15,0,0,0,80,0.0,0.0,0.0
GLXG,0.85,15,0,0,0,80,0.0,0.0,0.0
GLXG,0.9,15,0,0,0,80,0.0,0.0,0.0
HQ,0.1,15,26,12,14,1,0.4615,0.9231,0.6154
HQ,0.15,15,15,7,8,2,0.4667,0.7778,0.5833
HQ,0.2,15,13,7,6,2,0.5385,0.7778,0.6364
HQ,0.25,15,9,5,4,4,0.5556,0.5556,0.5556
HQ,0.3,15,8,4,4,6,0.5,0.4,0.4444
HQ,0.35,15,7,4,3,6,0.5714,0.4,0.4706
HQ,0.4,15,6,3,3,6,0.5,0.3333,0.4
HQ,0.45,15,3,2,1,8,0.6667,0.2,0.3077
HQ,0.5,15,0,0,0,10,0.0,0.0,0.0
HQ,0.55,15,0,0,0,10,0.0,0.0,0.0
HQ,0.6,15,0,0,0,10,0.0,0.0,0.0
HQ,0.65,15,0,0,0,10,0.0,0.0,0.0
HQ,0.7,15,0,0,0,10,0.0,0.0,0.0
HQ,0.75,15,0,0,0,10,0.0,0.0,0.0
HQ,0.8,15,0,0,0,10,0.0,0.0,0.0
HQ,0.85,15,0,0,0,10,0.0,0.0,0.0
HQ,0.9,15,0,0,0,10,0.0,0.0,0.0
HUBC,0.1,15,24,11,13,4,0.4583,0.7333,0.5641
HUBC,0.15,15,15,8,7,5,0.5333,0.6154,0.5714
HUBC,0.2,15,13,6,7,6,0.4615,0.5,0.48
HUBC,0.25,15,9,5,4,6,0.5556,0.4545,0.5
HUBC,0.3,15,7,4,3,8,0.5714,0.3333,0.4211
HUBC,0.35,15,3,1,2,23,0.3333,0.0417,0.0741
HUBC,0.4,15,3,1,2,23,0.3333,0.0417,0.0741
HUBC,0.45,15,2,0,2,30,0.0,0.0,0.0
HUBC,0.5,15,0,0,0,30,0.0,0.0,0.0
HUBC,0.55,15,0,0,0,30,0.0,0.0,0.0
HUBC,0.6,15,0,0,0,30,0.0,0.0,0.0
HUBC,0.65,15,0,0,0,30,0.0,0.0,0.0
HUBC,0.7,15,0,0,0,30,0.0,0.0,0.0
HUBC,0.75,15,0,0,0,30,0.0,0.0,0.0
HUBC,0.8,15,0,0,0,30,0.0,0.0,0.0
HUBC,0.85,15,0,0,0,30,0.0,0.0,0.0
HUBC,0.9,15,0,0,0,30,0.0,0.0,0.0
LUD,0.1,15,24,13,11,12,0.5417,0.52,0.5306
LUD,0.15,15,16,8,8,17,0.5,0.32,0.3902
LUD,0.2,15,12,7,5,19,0.5833,0.2692,0.3684
LUD,0.25,15,8,5,3,20,0.625,0.2,0.303
LUD,0.3,15,6,3,3,25,0.5,0.1071,0.1765
LUD,0.35,15,3,1,2,29,0.3333,0.0333,0.0606
LUD,0.4,15,1,0,1,31,0.0,0.0,0.0
LUD,0.45,15,0,0,0,31,0.0,0.0,0.0
LUD,0.5,15,0,0,0,31,0.0,0.0,0.0
LUD,0.55,15,0,0,0,31,0.0,0.0,0.0
LUD,0.6,15,0,0,0,31,0.0,0.0,0.0
LUD,0.65,15,0,0,0,31,0.0,0.0,0.0
LUD,0.7,15,0,0,0,31,0.0,0.0,0.0
LUD,0.75,15,0,0,0,31,0.0,0.0,0.0
LUD,0.8,15,0,0,0,31,0.0,0.0,0.0
LUD,0.85,15,0,0,0,31,0.0,0.0,0.0
LUD,0.9,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.1,15,22,12,10,10,0.5455,0.5455,0.5455
MTEN,0.15,15,15,10,5,17,0.6667,0.3704,0.4762
MTEN,0.2,15,8,5,3,27,0.625,0.1562,0.25
MTEN,0.25,15,8,5,3,27,0.625,0.1562,0.25
MTEN,0.3,15,5,2,3,29,0.4,0.0645,0.1111
MTEN,0.35,15,2,1,1,30,0.5,0.0323,0.0606
MTEN,0.4,15,2,1,1,30,0.5,0.0323,0.0606
MTEN,0.45,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.5,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.55,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.6,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.65,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.7,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.75,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.8,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.85,15,0,0,0,31,0.0,0.0,0.0
MTEN,0.9,15,0,0,0,31,0.0,0.0,0.0
QUCY,0.1,15,13,6,7,2,0.4615,0.75,0.5714
QUCY,0.15,15,11,5,6,2,0.4545,0.7143,0.5556
QUCY,0.2,15,10,5,5,2,0.5,0.7143,0.5882
QUCY,0.25,15,8,4,4,2,0.5,0.6667,0.5714
QUCY,0.3,15,6,2,4,2,0.3333,0.5,0.4
QUCY,0.35,15,2,1,1,4,0.5,0.2,0.2857
QUCY,0.4,15,1,0,1,8,0.0,0.0,0.0
QUCY,0.45,15,0,0,0,8,0.0,0.0,0.0
QUCY,0.5,15,0,0,0,8,0.0,0.0,0.0
QUCY,0.55,15,0,0,0,8,0.0,0.0,0.0
QUCY,0.6,15,0,0,0,8,0.0,0.0,0.0
QUCY,0.65,15,0,0,0,8,0.0,0.0,0.0
QUCY,0.7,15,0,0,0,8,0.0,0.0,0.0
QUCY,0.75,15,0,0,0,8,0.0,0.0,0.0
QUCY,0.8,15,0,0,0,8,0.0,0.0,0.0
QUCY,0.85,15,0,0,0,8,0.0,0.0,0.0
QUCY,0.9,15,0,0,0,8,0.0,0.0,0.0
RDGT,0.1,15,25,10,15,10,0.4,0.5,0.4444
RDGT,0.15,15,17,6,11,16,0.3529,0.2727,0.3077
RDGT,0.2,15,12,3,9,25,0.25,0.1071,0.15
