ticker,n_events,n_bars,n_train,n_test,n_states,hmm_logL,burst_time_frac,burst_rate_ratio,p_burst_entry,p_burst_persist,baseline_dispersion,residual_dispersion,dispersion_reduction_pct,beta0,beta1_rva,beta2_state,pval_rva,pval_state,glm_logL,glm_converged,W_norm_initial,beta_norms_initial
AHMA,67,1517,910,607,3,264.19,0.1213,0.65,0.101,0.5435,5.053,2.149,57.5,-0.2913,-39.0526,1.7957,0.0,0.0001,-43.06,True,1013.6606,"[145.8457, 7.4785, 7.8204]"
CAST,79,870,522,348,3,-335.7,0.1678,2.19,0.0839,0.7241,3.135,1.166,62.8,-0.5044,-17.5309,1.9827,0.0,0.0,-33.82,True,12.6303,"[5.4161, 5.3123, 3.6848]"
CUPR,120,2055,1233,822,3,-1164.39,0.1382,1.53,0.1263,0.4664,1.757,1.46,16.9,0.686,0.9061,1.4235,0.8135,0.0004,-49.65,True,4.3462,"[11.196, 0.8315, 1.7304]"
GLXG,185,2490,1494,996,3,-1201.75,0.1092,0.88,0.0879,0.5515,5.992,2.699,55.0,0.6664,-0.7215,2.5088,0.2195,0.0,-63.58,True,6.3314,"[19.5161, 0.8513, 1.5911]"
HQ,41,908,544,364,3,-957.33,0.1035,0.24,0.0617,0.5745,5.682,5.035,11.4,0.3632,-4.0221,0.459,0.0321,0.3521,-54.15,True,,"[5.3104, 0.8681, 0.8265]"
HUBC,88,827,496,331,3,-542.22,0.1584,1.3,0.1818,0.5725,4.214,2.348,44.3,0.4117,-12.3613,1.2802,0.0011,0.0,-49.46,True,13.0729,"[7.1845, 1.0161, 2.9306]"
LUD,82,1629,977,652,3,-592.9,0.1578,2.23,0.1249,0.3969,3.68,0.607,83.5,-4.5518,-0.4376,6.0725,0.8314,0.0,-33.57,True,85.6385,"[84.4173, 5.3207, 0.9268]"
MTEN,44,521,312,209,3,496.57,0.238,4.58,0.3059,0.4065,6.664,2.478,62.8,-1.1825,-0.9196,1.9181,0.1028,0.0,-38.24,True,20.353,"[105.7516, 2.2573, 5.0993]"
QUCY,50,798,478,320,3,-624.7,0.1228,1.86,0.043,0.7551,6.183,4.323,30.1,-0.1026,-2.6513,0.9805,0.0361,0.0462,-47.44,True,12.7155,"[11.2107, 0.5273, 2.0462]"
RDGT,51,705,423,282,3,-122.14,0.2411,2.62,0.1685,0.5059,3.587,2.388,33.4,-0.4688,-1.6584,1.3065,0.0726,0.0051,-47.63,True,55.5614,"[73.8852, 0.7221, 1.1438]"
RGNT,48,718,430,288,3,-97.78,0.0028,0.0,0.0023,0.5,5.017,1.855,63.0,-0.1785,-23.1006,1.0362,0.0,0.1828,-40.14,True,261.9977,"[75.965, 0.2629, 0.0228]"
SDOT,69,686,411,275,3,-162.31,0.2813,3.21,0.1265,0.7824,8.593,6.731,21.7,-0.3936,-4.4949,1.144,0.0,0.0,-54.74,True,221.9577,"[84.0398, 1.0337, 0.8284]"
UBXG,80,642,385,257,3,-368.02,0.1745,1.53,0.096,0.6937,3.655,1.826,50.1,-0.5022,-0.4004,1.7587,0.265,0.0,-41.6,True,20.6965,"[20.8484, 1.1438, 1.3006]"
VSME,55,491,294,197,3,478.91,0.2831,4.58,0.1026,0.7899,6.019,3.341,44.5,-0.3252,-1.4804,1.1855,0.4014,0.0,-54.35,True,236.3018,"[20.57, 8.685, 0.0079]"
WYFI,57,1953,1171,782,3,-2397.97,0.1034,0.69,0.1189,0.3383,3.097,1.249,59.7,-1.8272,-42.2744,3.5556,0.0057,0.0,-34.15,True,278.1521,"[4.8374, 0.6548, 8.0143]"
