ticker,n_events,n_bars,n_train,n_test,n_states,tf_tag,hmm_logL,burst_rate_ratio,p_burst_entry,p_burst_persist,pseudo_r2,intensity_lift,lam_event,lam_noise,glm_converged,W_norm_initial
AHMA,73,1559,935,624,3,15m,145.06,1.42,0.1048,0.5337,-0.4614,1.121,0.30444,0.27164,True,31.5025
ARQQ,63,849,509,340,3,15m,-951.39,2.93,0.1359,0.5728,-1.2138,0.957,0.50362,0.52613,True,26.3807
CAST,63,937,562,375,3,15m,-680.15,2.56,0.1211,0.5519,-0.2221,1.832,0.37667,0.20563,True,10.184
CUPR,111,2114,1268,846,3,15m,-1240.47,1.95,0.1263,0.4899,-1.0955,1.074,0.50319,0.46873,True,5.5383
GLXG,139,2573,1543,1030,3,15m,-1238.79,2.17,0.085,0.5627,-1.4198,1.28,0.7826,0.61127,True,7.3681
HQ,62,951,570,381,3,15m,-938.88,5.36,0.0976,0.646,-0.6049,1.464,0.5263,0.35952,True,11.0785
HUBC,91,849,509,340,3,15m,-653.15,2.34,0.1317,0.5913,-1.2285,0.944,0.53957,0.57147,True,14.8307
LUD,69,1636,981,655,3,15m,-618.57,1.36,0.1182,0.4064,-1.0605,0.655,0.30255,0.46201,True,85.3786
MTEN,70,573,343,230,3,15m,109.87,3.92,0.3024,0.461,-0.467,1.185,0.34695,0.2927,True,164.8714
PRFX,33,584,350,234,3,15m,-325.34,1.78,0.0314,0.6087,-1.0943,0.502,0.20523,0.40873,True,20.0687
QUCY,25,820,492,328,3,15m,-355.63,17.86,0.0728,0.7364,-1.7572,1.083,0.83782,0.7735,True,12.1905
RDGT,51,726,435,291,3,15m,-402.13,0.93,0.1521,0.4968,-1.4675,0.702,0.43436,0.61867,True,179.6975
RGNT,77,801,480,321,3,15m,-4.05,3.59,0.1301,0.506,-1.1053,0.947,0.46123,0.48696,True,250.7299
SDOT,95,744,446,298,3,15m,-442.74,1.2,0.1542,0.75,-1.3872,0.743,0.44876,0.60375,True,24.3467
UBXG,54,691,414,277,3,15m,-402.55,3.67,0.0816,0.6917,-1.1999,1.406,0.83887,0.59659,True,7.206
VSME,63,531,318,213,3,15m,233.09,2.43,0.0943,0.8042,-0.3887,1.052,0.25792,0.24515,True,60.2085
WLDS,55,791,474,317,3,15m,-821.61,0.79,0.1389,0.3509,-0.9623,0.994,0.40865,0.41091,True,4.6724
WYFI,88,1993,1195,798,3,15m,-2366.98,1.71,0.1295,0.3909,-1.4121,0.931,0.56354,0.60523,True,275.8409
