ticker,A_qu_qu,A_qu_ac,A_qu_bu,A_ac_qu,A_ac_ac,A_ac_bu,A_bu_qu,A_bu_ac,A_bu_bu
AHMA,0.807592,0.157068,0.03534,0.22629,0.668885,0.104825,0.062176,0.404145,0.533679
ARQQ,0.798165,0.194954,0.006881,0.281553,0.582524,0.135922,0.009709,0.417476,0.572816
CAST,0.713198,0.230964,0.055838,0.255155,0.623711,0.121134,0.084416,0.363636,0.551948
CUPR,0.652764,0.296799,0.050436,0.391582,0.482143,0.126276,0.171141,0.338926,0.489933
GLXG,0.677534,0.289157,0.03331,0.487528,0.427438,0.085034,0.089606,0.34767,0.562724
HQ,0.8389,0.145383,0.015717,0.219512,0.682927,0.097561,0.088496,0.265487,0.646018
HUBC,0.911504,0.066372,0.022124,0.13879,0.729537,0.131673,0.008696,0.4,0.591304
LUD,0.33995,0.578164,0.081886,0.247706,0.634047,0.118247,0.095618,0.498008,0.406375
MTEN,0.549296,0.352113,0.098592,0.312195,0.385366,0.302439,0.201299,0.337662,0.461039
PRFX,0.718157,0.273713,0.00813,0.539267,0.429319,0.031414,0.0,0.391304,0.608696
QUCY,0.743003,0.24173,0.015267,0.316456,0.610759,0.072785,0.0,0.263636,0.736364
RDGT,0.341317,0.550898,0.107784,0.23192,0.61596,0.15212,0.11465,0.388535,0.496815
RGNT,0.520833,0.350694,0.128472,0.300578,0.569364,0.130058,0.198795,0.295181,0.506024
SDOT,0.896667,0.043333,0.06,0.052863,0.792952,0.154185,0.087963,0.162037,0.75
UBXG,0.821538,0.129231,0.049231,0.187755,0.730612,0.081633,0.108333,0.2,0.691667
VSME,0.531429,0.417143,0.051429,0.353774,0.551887,0.09434,0.048951,0.146853,0.804196
WLDS,0.603093,0.309278,0.087629,0.4375,0.423611,0.138889,0.254386,0.394737,0.350877
WYFI,0.814765,0.159732,0.025503,0.134462,0.736056,0.129482,0.00823,0.600823,0.390947
