ticker,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
GLXG,3,3,0,1.0,1.9629,2.1552,1.9629,0.0,inf,5.8888,5.8888,0.0,2.5078
CUPR,6,5,1,0.8333,0.7801,7.2533,7.3546,-32.0924,1.146,4.6804,36.7728,-32.0924,0.0475
HUBC,1,1,0,1.0,0.3663,0.3663,0.3663,0.0,inf,0.3663,0.3663,0.0,
RDGT,4,2,2,0.5,0.0835,-0.4613,5.1939,-5.0269,1.033,0.3339,10.3877,-10.0538,0.0126
UBXG,1,1,0,1.0,0.2383,0.2383,0.2383,0.0,inf,0.2383,0.2383,0.0,
LUD,1,0,1,0.0,-1.2097,-1.2097,0.0,-1.2097,0.0,-1.2097,-1.2097,0.0,
ARQQ,2,1,1,0.5,-1.9795,-1.9795,0.4441,-4.4032,0.101,-3.9591,-3.9591,0.0,-0.5775
WYFI,3,0,3,0.0,-1.3232,-0.462,0.0,-1.3232,0.0,-3.9696,-0.462,-3.5076,-0.7105
SDOT,1,0,1,0.0,-4.4418,-4.4418,0.0,-4.4418,0.0,-4.4418,-4.4418,0.0,
QUCY,4,2,2,0.5,-2.2254,-1.3412,1.6718,-6.1227,0.273,-8.9018,-8.9018,-3.2425,-0.4315
MTEN,3,1,2,0.3333,-3.978,-0.7297,0.8721,-6.403,0.068,-11.9339,0.1424,-12.0763,-0.5635
RGNT,2,0,2,0.0,-9.1089,-9.1089,0.0,-9.1089,0.0,-18.2178,-4.1637,-14.0541,-1.3025
CAST,3,0,3,0.0,-9.3931,-5.8116,0.0,-9.3931,0.0,-28.1793,-2.8753,-25.304,-1.0591
