tau,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
0.1,205.0,86.0,119.0,0.4195,-0.5859,-0.3408,5.924,-5.2906,0.809,-120.111,153.9786,-274.0896,-0.0608
0.15,149.0,60.0,89.0,0.4027,-1.2659,-0.5745,5.1132,-5.5665,0.619,-188.6244,47.1016,-239.3809,-0.1576
0.2,110.0,43.0,67.0,0.3909,-1.2642,-0.8558,5.7945,-5.7944,0.642,-139.0622,56.7906,-199.5077,-0.1476
0.25,81.0,32.0,49.0,0.3951,-2.3073,-1.0596,4.7754,-6.9327,0.45,-186.8877,39.2566,-229.2253,-0.2678
0.3,58.0,26.0,32.0,0.4483,-1.8864,-0.5958,4.6165,-7.17,0.523,-109.4109,24.5534,-133.9643,-0.226
0.35,43.0,19.0,24.0,0.4419,-2.3495,-0.7297,3.8193,-7.2331,0.418,-101.0284,28.9996,-130.028,-0.288
0.4,34.0,16.0,18.0,0.4706,-2.0384,-0.2546,3.6446,-7.0899,0.457,-69.3053,34.0481,-103.3534,-0.2445
0.45,13.0,4.0,9.0,0.3077,-2.9987,-0.7297,5.2328,-6.6571,0.349,-38.9825,16.4289,-55.4114,-0.2914
0.5,,,,,,,,,,,,,
0.55,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,
0.65,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,
0.75,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,
0.85,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,
