ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,p_burst_sig,pct_return
CUPR,2026-03-10 19:30:00+00:00,2026-03-11 14:30:00+00:00,2.8968,2026-03-11 18:30:00+00:00,3.1192,time_stop,5,0.4662,7.6774
GLXG,2026-03-16 19:30:00+00:00,2026-03-17 14:30:00+00:00,2.32,2026-03-18 14:30:00+00:00,2.37,time_stop,5,0.4706,2.1552
CUPR,2026-03-24 15:30:00+00:00,2026-03-24 16:30:00+00:00,2.5944,2026-03-25 17:30:00+00:00,2.6392,time_stop,5,0.443,1.7268
CUPR,2026-04-06 17:30:00+00:00,2026-04-06 18:30:00+00:00,2.752,2026-04-06 18:30:00+00:00,2.996,event,1,0.4126,8.8663
WYFI,2026-04-30 16:00:00+00:00,2026-04-30 16:15:00+00:00,15.15,2026-04-30 17:15:00+00:00,15.08,time_stop,5,0.4578,-0.462
WYFI,2026-05-06 16:45:00+00:00,2026-05-06 17:00:00+00:00,21.17,2026-05-06 18:00:00+00:00,21.16,time_stop,5,0.4871,-0.0472
LUD,2026-05-19 19:45:00+00:00,2026-05-20 14:30:00+00:00,4.96,2026-05-20 16:15:00+00:00,4.9,time_stop,5,0.4706,-1.2097
GLXG,2026-05-21 16:00:00+00:00,2026-05-21 16:15:00+00:00,1.14,2026-05-21 17:15:00+00:00,1.17,time_stop,5,0.4156,2.6316
CAST,2026-05-22 18:30:00+00:00,2026-05-22 18:45:00+00:00,1.0399,2026-05-22 19:45:00+00:00,1.01,time_stop,5,0.4291,-2.8753
CUPR,2026-05-28 17:15:00+00:00,2026-05-28 17:30:00+00:00,2.8476,2026-05-28 18:30:00+00:00,3.18,time_stop,5,0.4115,11.673
ARQQ,2026-05-28 19:30:00+00:00,2026-05-28 19:45:00+00:00,17.26,2026-05-29 15:15:00+00:00,16.5,time_stop,5,0.4367,-4.4032
RDGT,2026-06-01 17:15:00+00:00,2026-06-01 17:30:00+00:00,1.745,2026-06-01 18:30:00+00:00,1.8901,time_stop,5,0.4905,8.3152
QUCY,2026-06-02 15:15:00+00:00,2026-06-02 15:30:00+00:00,2.8902,2026-06-02 16:30:00+00:00,2.63,time_stop,5,0.4355,-9.0028
RDGT,2026-06-02 15:45:00+00:00,2026-06-02 16:00:00+00:00,1.93,2026-06-02 17:00:00+00:00,1.97,time_stop,5,0.4448,2.0725
QUCY,2026-06-02 17:30:00+00:00,2026-06-02 17:45:00+00:00,2.7078,2026-06-02 18:45:00+00:00,2.62,time_stop,5,0.4599,-3.2425
RDGT,2026-06-02 18:15:00+00:00,2026-06-02 18:30:00+00:00,2.0,2026-06-02 19:30:00+00:00,1.9401,time_stop,5,0.4966,-2.995
QUCY,2026-06-02 19:30:00+00:00,2026-06-02 19:45:00+00:00,2.515,2026-06-03 15:15:00+00:00,2.585,time_stop,5,0.4993,2.7833
MTEN,2026-06-04 14:45:00+00:00,2026-06-04 17:00:00+00:00,1.11,2026-06-04 18:45:00+00:00,1.1019,time_stop,5,0.4537,-0.7297
GLXG,2026-06-08 16:15:00+00:00,2026-06-08 16:30:00+00:00,0.8802,2026-06-08 16:30:00+00:00,0.8899,event,1,0.4014,1.102
