ticker,n_events,n_bars,n_sessions,dispersion,winner_aic,winner_bic,winner,aic_margin_hpp,aic_hpp,aic_nhpp,aic_renewal,aic_cox,aic_hawkes,aic_mhawkes,aic_coxhawkes,weibull_k,branching_ratio,halflife_bars,halflife_sessions,ogata_ks,ogata_p,ogata_pass,interpretation
AHMA,67,1590.0,61.0,5.3338,Cox,Cox,Cox,462.76,560.35,553.69,473.99,97.59,445.06,447.06,449.04,0.529,,,,,,False,Latent burst regime. Identify external driver with covariates.
ARQQ,31,880.0,34.0,4.9989,Cox,Cox,Cox,208.22,271.45,269.3,226.01,63.23,232.81,234.08,233.28,0.5784,,,,,,False,Latent burst regime. Identify external driver with covariates.
BRUN,23,,,,,,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,
CAST,83,968.0,37.0,5.4622,Cox,Cox,Cox,470.78,575.76,568.03,525.19,104.98,499.76,500.54,501.65,0.6718,,,,,,False,Latent burst regime. Identify external driver with covariates.
CUPR,129,2144.0,82.0,6.2504,Cox,Cox,Cox,863.52,985.14,986.4,878.0,121.62,845.04,846.72,848.45,0.6082,,,,,,False,Latent burst regime. Identify external driver with covariates.
ELVR,27,,,,,,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,
FAMI,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
GLXG,189,2602.0,100.0,3.8429,Cox,Cox,Cox,1235.36,1371.23,1364.82,1261.06,135.86,1226.26,1228.25,1227.79,0.6447,,,,,,False,Latent burst regime. Identify external driver with covariates.
HQ,62,981.0,38.0,5.5785,Cox,Cox,Cox,375.84,468.42,467.13,416.36,92.58,398.81,399.72,395.63,0.6102,,,,,,False,Latent burst regime. Identify external driver with covariates.
HUBC,91,880.0,34.0,5.3073,Cox,Cox,Cox,490.64,596.97,598.88,520.1,106.33,505.52,506.93,508.18,0.6411,,,,,,False,Latent burst regime. Identify external driver with covariates.
LUD,82,1667.0,64.0,3.7545,Cox,Cox,Cox,555.01,659.98,661.26,620.03,104.97,617.32,618.99,619.84,0.684,,,,,,False,Latent burst regime. Identify external driver with covariates.
MTEN,44,604.0,23.0,6.4879,Cox,Cox,Cox,235.81,320.51,322.33,274.57,84.7,257.53,258.97,260.85,0.616,,,,,,False,Latent burst regime. Identify external driver with covariates.
PRFX,35,615.0,24.0,4.3476,Cox,Cox,Cox,199.45,272.64,274.55,227.46,73.18,228.63,230.1,231.98,0.5751,,,,,,False,Latent burst regime. Identify external driver with covariates.
QUCY,52,851.0,33.0,6.7282,Cox,Cox,Cox,316.38,396.7,398.68,323.8,80.31,311.67,313.2,314.91,0.5666,,,,,,False,Latent burst regime. Identify external driver with covariates.
RDGT,51,757.0,29.0,2.9863,Cox,Cox,Cox,291.06,379.15,380.37,348.56,88.09,343.9,345.71,346.77,0.6608,,,,,,False,Latent burst regime. Identify external driver with covariates.
RGNT,65,831.0,32.0,4.5872,Cox,Cox,Cox,366.88,463.27,458.99,397.81,96.39,373.2,374.6,374.19,0.613,,,,,,False,Latent burst regime. Identify external driver with covariates.
RTB,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
SDOT,73,775.0,30.0,8.2105,Cox,Cox,Cox,400.37,492.91,489.74,402.32,92.55,358.17,360.15,361.86,0.5718,,,,,,False,Latent burst regime. Identify external driver with covariates.
SLMT,22,,,,,,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,
UBXG,73,722.0,28.0,5.2516,Cox,Cox,Cox,384.92,482.57,478.74,405.11,97.64,388.78,390.77,392.77,0.6217,,,,,,False,Latent burst regime. Identify external driver with covariates.
VSME,54,562.0,22.0,5.163,Cox,Cox,Cox,278.29,362.99,353.63,300.34,84.7,289.77,291.73,291.63,0.6422,,,,,,False,Latent burst regime. Identify external driver with covariates.
WLDS,32,822.0,32.0,1.8708,Cox,Cox,Cox,200.14,273.74,270.86,242.99,73.61,248.32,249.09,246.78,0.5914,,,,,,False,Latent burst regime. Identify external driver with covariates.
WYFI,68,2024.0,78.0,3.2333,Cox,Cox,Cox,500.39,599.49,595.98,549.76,99.11,562.58,564.49,564.53,0.6329,,,,,,False,Latent burst regime. Identify external driver with covariates.
ADTX,159,878.0,34.0,5.1465,Cox,Cox,Cox,733.24,863.38,863.72,810.79,130.14,768.06,770.05,771.47,0.7545,,,,,,False,Latent burst regime. Identify external driver with covariates.
AEHL,44,794.0,31.0,5.1242,Cox,Cox,Cox,264.9,344.57,315.49,295.98,79.67,276.42,278.38,274.66,0.5448,,,,,,False,Latent burst regime. Identify external driver with covariates.
AENT,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
ALBT,33,704.0,27.0,2.6273,Cox,Cox,Cox,195.83,269.98,265.01,249.24,74.15,259.59,261.3,260.81,0.7263,,,,,,False,Latent burst regime. Identify external driver with covariates.
AMV,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
APCX,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
ASST,14,,,,,,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,
BETS,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
BFRG,21,,,,,,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,
BLBX,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
CDIO,31,601.0,23.0,0.8699,Cox,Cox,Cox,178.78,247.81,249.74,238.41,69.03,249.91,251.89,253.69,0.94,,,,,,False,Latent burst regime. Identify external driver with covariates.
CEI,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
CETY,35,523.0,20.0,1.719,Cox,Cox,Cox,186.71,261.3,255.06,244.81,74.59,258.85,260.71,253.34,0.8642,,,,,,False,Latent burst regime. Identify external driver with covariates.
CJET,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
CRKN,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
CXAI,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
DRUG,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
EDBL,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
GDC,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
GDHG,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
GGE,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
GPUS,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
GWAV,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
IKT,6,,,,,,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,
INVO,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
IVA,7,,,,,,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,
JAKK,0,,,,,,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,
KPLT,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
LBBB,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
LIFW,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
MGIH,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
MGRM,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
MRAI,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
MULN,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
OBLG,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
OMH,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
PEV,0,,,,,,NO_DATA,,,,,,,,,,,,,,,,
PHUN,7,,,,,,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,
