pair,entry_time,exit_time,entry_price,exit_price,peak_price,sw1_price,pnl,pnl_pct,bars_to_exit,peak_capture,exit_reason
ACT_USDT,2026-06-28 02:56:00+00:00,2026-06-28 03:27:00+00:00,0.008795,0.009117,0.009149,0.009085,0.000322,3.6612,31,90.96,divergence_complete
ACT_USDT,2026-06-28 02:57:00+00:00,2026-06-28 03:27:00+00:00,0.008781,0.009117,0.009149,0.009085,0.000336,3.8264,30,91.3,divergence_complete
ACT_USDT,2026-06-28 02:58:00+00:00,2026-06-28 03:27:00+00:00,0.008759,0.009117,0.009149,0.009085,0.000358,4.0872,29,91.79,divergence_complete
ACT_USDT,2026-06-28 02:59:00+00:00,2026-06-28 03:27:00+00:00,0.008813,0.009117,0.009149,0.009085,0.000304,3.4494,28,90.48,divergence_complete
ACT_USDT,2026-06-28 03:00:00+00:00,2026-06-28 03:27:00+00:00,0.008793,0.009117,0.009149,0.009085,0.000324,3.6847,27,91.01,divergence_complete
ACT_USDT,2026-06-28 03:21:00+00:00,2026-06-28 03:22:00+00:00,0.009001,0.00896,0.009022,0.008771,-4.1e-05,-0.4555,1,0.0,divergence_complete
ACT_USDT,2026-06-28 03:22:00+00:00,2026-06-28 03:23:00+00:00,0.00896,0.00896,0.009022,0.008771,0.0,0.0,1,0.0,divergence_complete
ACT_USDT,2026-06-28 03:23:00+00:00,2026-06-28 03:24:00+00:00,0.00896,0.008994,0.008999,0.008771,3.4e-05,0.3795,1,0.0,divergence_complete
ACT_USDT,2026-06-28 03:24:00+00:00,2026-06-28 03:25:00+00:00,0.008994,0.009002,0.009048,0.008771,8e-06,0.0889,1,14.81,divergence_complete
ACT_USDT,2026-06-28 03:25:00+00:00,2026-06-28 03:26:00+00:00,0.009002,0.009072,0.009117,0.008771,7e-05,0.7776,1,60.87,divergence_complete
ACT_USDT,2026-06-28 03:26:00+00:00,2026-06-28 03:27:00+00:00,0.009072,0.009117,0.009149,0.008771,4.5e-05,0.496,1,58.44,divergence_complete
ACT_USDT,2026-06-28 03:27:00+00:00,2026-06-28 03:28:00+00:00,0.009117,0.009165,0.009245,0.008771,4.8e-05,0.5265,1,37.5,divergence_complete
ACT_USDT,2026-06-28 03:28:00+00:00,2026-06-28 03:29:00+00:00,0.009165,0.009219,0.009271,0.008771,5.4e-05,0.5892,1,50.94,divergence_complete
ACT_USDT,2026-06-28 03:29:00+00:00,2026-06-28 03:30:00+00:00,0.009219,0.009114,0.009271,0.008771,-0.000105,-1.139,1,-100.0,divergence_complete
ACT_USDT,2026-06-28 03:30:00+00:00,2026-06-28 03:31:00+00:00,0.009114,0.008988,0.00924,0.008771,-0.000126,-1.3825,1,-100.0,divergence_complete
ACT_USDT,2026-06-28 06:58:00+00:00,2026-06-28 07:00:00+00:00,0.009395,0.009445,0.009472,0.009432,5e-05,0.5322,2,64.94,divergence_complete
ACT_USDT,2026-06-28 06:59:00+00:00,2026-06-28 07:00:00+00:00,0.009404,0.009445,0.009472,0.009432,4.1e-05,0.436,1,60.29,divergence_complete
ACT_USDT,2026-06-28 07:00:00+00:00,2026-06-28 07:16:00+00:00,0.009445,0.009285,0.009472,0.009432,-0.00016,-1.694,16,0.0,end_of_data
ACT_USDT,2026-06-28 07:01:00+00:00,2026-06-28 07:16:00+00:00,0.009379,0.009285,0.009458,0.009432,-9.4e-05,-1.0022,15,-100.0,end_of_data
ACT_USDT,2026-06-28 07:02:00+00:00,2026-06-28 07:16:00+00:00,0.009373,0.009285,0.009458,0.009432,-8.8e-05,-0.9389,14,-100.0,end_of_data
ACT_USDT,2026-06-28 07:03:00+00:00,2026-06-28 07:16:00+00:00,0.009377,0.009285,0.009458,0.009432,-9.2e-05,-0.9811,13,-100.0,end_of_data
ACT_USDT,2026-06-28 07:04:00+00:00,2026-06-28 07:16:00+00:00,0.009356,0.009285,0.009458,0.009432,-7.1e-05,-0.7589,12,-69.61,end_of_data
ACT_USDT,2026-06-28 07:05:00+00:00,2026-06-28 07:16:00+00:00,0.009268,0.009285,0.009458,0.009432,1.7e-05,0.1834,11,8.95,end_of_data
ACT_USDT,2026-06-28 07:06:00+00:00,2026-06-28 07:16:00+00:00,0.009369,0.009285,0.009458,0.009432,-8.4e-05,-0.8966,10,-94.38,end_of_data
ACT_USDT,2026-06-28 07:07:00+00:00,2026-06-28 07:16:00+00:00,0.009392,0.009285,0.009458,0.009432,-0.000107,-1.1393,9,-100.0,end_of_data
AGLD_USDT,2026-06-28 02:47:00+00:00,2026-06-28 03:11:00+00:00,0.1891,0.1918,0.1918,0.1929,0.0027,1.4278,24,100.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 02:48:00+00:00,2026-06-28 03:11:00+00:00,0.1888,0.1918,0.1918,0.1929,0.003,1.589,23,100.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 02:49:00+00:00,2026-06-28 03:11:00+00:00,0.1886,0.1918,0.1918,0.1929,0.0032,1.6967,22,100.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 02:50:00+00:00,2026-06-28 03:11:00+00:00,0.1885,0.1918,0.1918,0.1929,0.0033,1.7507,21,100.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 02:51:00+00:00,2026-06-28 03:11:00+00:00,0.1883,0.1918,0.1918,0.1929,0.0035,1.8587,20,100.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 02:52:00+00:00,2026-06-28 03:11:00+00:00,0.1878,0.1918,0.1918,0.1929,0.004,2.1299,19,100.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 02:53:00+00:00,2026-06-28 03:11:00+00:00,0.1886,0.1918,0.1918,0.1929,0.0032,1.6967,18,100.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:05:00+00:00,2026-06-28 04:34:00+00:00,0.1882,0.1895,0.1903,0.1905,0.0013,0.6908,29,61.9,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:06:00+00:00,2026-06-28 04:34:00+00:00,0.1889,0.1895,0.1903,0.1905,0.0006,0.3176,28,42.86,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:07:00+00:00,2026-06-28 04:34:00+00:00,0.1888,0.1895,0.1903,0.1905,0.0007,0.3708,27,46.67,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:08:00+00:00,2026-06-28 04:34:00+00:00,0.1889,0.1895,0.1903,0.1905,0.0006,0.3176,26,42.86,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:09:00+00:00,2026-06-28 04:34:00+00:00,0.1888,0.1895,0.1903,0.1905,0.0007,0.3708,25,46.67,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:10:00+00:00,2026-06-28 04:34:00+00:00,0.189,0.1895,0.1903,0.1905,0.0005,0.2646,24,38.46,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:11:00+00:00,2026-06-28 04:34:00+00:00,0.1895,0.1895,0.1903,0.1905,0.0,0.0,23,0.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:12:00+00:00,2026-06-28 04:34:00+00:00,0.1892,0.1895,0.1903,0.1905,0.0003,0.1586,22,27.27,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:13:00+00:00,2026-06-28 04:34:00+00:00,0.1888,0.1895,0.1898,0.1905,0.0007,0.3708,21,70.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:14:00+00:00,2026-06-28 04:34:00+00:00,0.1895,0.1895,0.1898,0.1905,0.0,0.0,20,0.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:15:00+00:00,2026-06-28 04:34:00+00:00,0.189,0.1895,0.1898,0.1905,0.0005,0.2646,19,0.0,bearish_vol_divergence
AGLD_USDT,2026-06-28 04:55:00+00:00,2026-06-28 05:04:00+00:00,0.1853,0.1874,0.1876,0.1873,0.0021,1.1333,9,91.3,divergence_complete
AGLD_USDT,2026-06-28 04:56:00+00:00,2026-06-28 05:04:00+00:00,0.1862,0.1874,0.1876,0.1873,0.0012,0.6445,8,85.71,divergence_complete
AGLD_USDT,2026-06-28 04:57:00+00:00,2026-06-28 05:04:00+00:00,0.1858,0.1874,0.1876,0.1873,0.0016,0.8611,7,88.89,divergence_complete
AGLD_USDT,2026-06-28 04:58:00+00:00,2026-06-28 05:04:00+00:00,0.1846,0.1874,0.1876,0.1873,0.0028,1.5168,6,93.33,divergence_complete
