Ticker,Timestamp,Headline,Source,URL
CIIT,2025-04-09 20:00,"Tianci International, Inc. Announces Nasdaq Uplisting and Pricing of $7 Million Public Offering",GlobeNewswire,https://finance.yahoo.com/news/tianci-international-inc-announces-nasdaq-000000648.html
CIIT,2025-04-10 12:04,American Trust Investment Services Leads Tianci International's Uplisting to Nasdaq Capital Market,PR Newswire,https://www.prnewswire.com/news-releases/american-trust-investment-services-leads-tianci-internationals-uplisting-to-nasdaq-capital-market-302424787.html
CIIT,2025-04-11 16:05,"Tianci International, Inc. Announces Closing of $7 Million Public Offering",GlobeNewswire,https://www.globenewswire.com/news-release/2025/04/11/3060328/0/en/Tianci-International-Inc-Announces-Closing-of-7-Million-Public-Offering.html
CIIT,2025-04-12 01:30,"U.S. IPO Weekly Recap: Flurry Of Small Issuers List, Despite Heightened Market Volatility",Seeking Alpha,https://seekingalpha.com/article/4774661-us-ipo-flurry-of-small-issuers-list-despite-heightened-market-volatility?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
CIIT,2025-06-07 09:00,"Tianci International, Inc. Reports Third Quarter 2025 Financial Results",ACCESSWIRE,/news/75910/tianci-international-inc-reports-third-quarter-2025-financial-results
CIIT,2025-08-05 18:00,Tianci International Inc. Signs Strategic Agreement to Purchase Chromite Ore Concentrate,ACCESSWIRE,/news/128935/tianci-international-inc-signs-strategic-agreement-to-purchase-chromite-ore-concentrate
CIIT,2025-10-03 18:00,"Tianci International, Inc. Reports Fiscal Year 2025 Financial Results",ACCESSWIRE,/news/183712/tianci-international-inc-reports-fiscal-year-2025-financial-results
CIIT,2025-10-14 08:30,"Tianci International, Inc. Reports Entry Into Memorandum of Understanding with BTC Digital Ltd.",ACCESSWIRE,/news/191926/tianci-international-inc-reports-entry-into-memorandum-of-understanding-with-btc-digital-ltd
CIIT,2025-12-12 17:00,"Tianci International, Inc. Reports Financial Results for Fiscal Quarter Ended October 31, 2025",ACCESSWIRE,/news/253255/tianci-international-inc-reports-financial-results-for-fiscal-quarter-ended-october-31-2025
CIIT,2026-03-13 20:00,"Tianci International, Inc. Reports Financial Results for Fiscal Quarter Ended January 31, 2026",ACCESSWIRE,/news/337309/tianci-international-inc-reports-financial-results-for-fiscal-quarter-ended-january-31-2026
CIIT,2026-03-17 08:00,"Tianci International, Inc. Announces Reverse Stock Split",ACCESSWIRE,/news/337847/tianci-international-inc-announces-reverse-stock-split
CIIT,2026-04-14 17:00,Tianci International Enters Memorandum of Understanding with Greypole Mining to Advance Gold and Chromium Resource Development in Zimbabwe,ACCESSWIRE,/news/344598/tianci-international-enters-memorandum-of-understanding-with-greypole-mining-to-advance-gold-and-chromium-resource-development-in-zimbabwe
