symbol,vol_bars,n_trades,win_rate,avg_ret
ICX/USDT,75,36,63.89,2.2736
CFG/USDT,68,33,39.39,-1.5838
OP/USDT,75,33,39.39,-1.1596
BTC/USDT,72,32,46.88,-0.1492
ZK/USDT,72,32,50.0,0.1235
FET/USDT,68,32,40.62,-0.1961
ONE/USDT,77,31,58.06,-0.9129
GRT/USDT,72,31,35.48,-2.5885
JUP/USDT,67,30,46.67,2.3884
ICP/USDT,69,30,50.0,1.5487
ATOM/USDT,74,30,43.33,-1.3705
ETH/USDT,71,30,43.33,-0.7462
ACE/USDT,72,30,36.67,-2.0139
WLD/USDT,62,30,46.67,2.0089
ARB/USDT,69,30,46.67,0.1931
THETA/USDT,65,29,55.17,1.0854
SUSHI/USDT,66,29,58.62,3.2863
CRV/USDT,71,29,55.17,4.8944
CHZ/USDT,77,28,25.0,-3.3678
AAVE/USDT,66,28,39.29,-1.2694
APT/USDT,68,28,39.29,0.061
WOO/USDT,63,28,28.57,-3.4057
FLOKI/USDT,62,28,42.86,-1.3365
YGG/USDT,68,28,42.86,-1.0397
IMX/USDT,74,28,42.86,-1.8133
ETHFI/USDT,65,27,51.85,1.5589
W/USDT,67,27,55.56,1.2142
METIS/USDT,62,27,44.44,-0.9109
WIF/USDT,64,27,29.63,-1.6047
IOTA/USDT,70,27,48.15,0.4992
WIN/USDT,65,27,44.44,-0.756
ILV/USDT,65,27,48.15,0.6809
AGLD/USDT,65,27,48.15,1.4847
STRK/USDT,64,27,51.85,-0.779
AR/USDT,69,27,33.33,-2.7412
WIF/USDT,64,27,29.63,-1.6047
ID/USDT,72,27,51.85,0.6982
INJ/USDT,63,27,51.85,0.9124
BLUR/USDT,61,27,59.26,0.6915
SOL/USDT,69,27,40.74,-0.898
GALA/USDT,68,26,46.15,0.0748
UNI/USDT,65,26,53.85,1.0091
ZETA/USDT,61,26,46.15,0.4057
LTC/USDT,68,26,57.69,0.8802
1INCH/USDT,62,26,50.0,0.6387
RENDER/USDT,61,26,42.31,-0.7353
AVAX/USDT,74,26,46.15,1.4129
LSK/USDT,71,26,61.54,2.5212
JOE/USDT,64,26,30.77,-0.9653
SKY/USDT,61,26,50.0,0.3566
SNX/USDT,74,25,40.0,-0.2163
NEO/USDT,67,25,36.0,-0.3262
GMT/USDT,63,25,40.0,0.371
BNB/USDT,66,25,68.0,1.4508
TURBO/USDT,65,25,64.0,5.9421
LUNA/USDT,64,25,60.0,2.2279
BAND/USDT,64,25,32.0,-2.9235
CETUS/USDT,63,25,60.0,6.894
COMP/USDT,64,25,52.0,2.166
VIRTUAL/USDT,47,25,36.0,-1.7891
TRX/USDT,56,25,32.0,0.9082
PEPE/USDT,71,25,28.0,-2.6224
MINA/USDT,66,25,44.0,0.4498
ONDO/USDT,48,25,40.0,-0.5436
MEME/USDT,66,25,40.0,-2.2984
JTO/USDT,66,24,62.5,3.2787
VELO/USDT,66,24,45.83,-2.3874
PHA/USDT,67,24,29.17,-3.4004
DOGE/USDT,62,24,54.17,6.2695
RON/USDT,75,24,33.33,-0.9982
NMR/USDT,67,23,47.83,-1.3373
ZIL/USDT,71,23,47.83,0.2029
APE/USDT,54,23,47.83,-0.9742
ENS/USDT,63,23,43.48,1.497
AXS/USDT,70,23,69.57,1.3901
FIL/USDT,61,23,43.48,-0.3108
NOT/USDT,61,23,39.13,-2.1742
SUI/USDT,58,23,52.17,2.3628
SSV/USDT,60,22,36.36,-1.792
T/USDT,70,22,63.64,0.9142
HBAR/USDT,65,22,50.0,1.9083
CORE/USDT,46,22,59.09,0.1349
MAGIC/USDT,60,22,50.0,1.6294
RVN/USDT,70,22,36.36,0.0344
ORDI/USDT,58,22,54.55,1.1344
EGLD/USDT,70,22,54.55,0.3093
KNC/USDT,63,22,45.45,0.403
SEI/USDT,44,21,33.33,-0.944
SKL/USDT,72,21,52.38,1.3301
CELR/USDT,63,21,52.38,-1.7368
ZRX/USDT,68,21,47.62,1.0763
TON/USDT,61,21,33.33,-0.1494
ZRO/USDT,66,21,57.14,1.1154
ASTR/USDT,66,21,52.38,0.5515
UMA/USDT,70,21,42.86,0.5626
ADA/USDT,59,21,42.86,1.1158
DYDX/USDT,56,21,57.14,2.2402
SHIB/USDT,60,21,52.38,0.4366
TNSR/USDT,71,21,71.43,2.4861
SATS/USDT,70,21,38.1,0.8412
QTUM/USDT,61,21,57.14,1.7519
PIXEL/USDT,49,21,42.86,0.2459
ENA/USDT,55,21,23.81,-2.1745
BONK/USDT,60,21,33.33,-0.7314
FLOW/USDT,64,20,60.0,1.5853
TRB/USDT,58,20,45.0,-2.3809
BCH/USDT,63,20,50.0,2.2541
ETC/USDT,63,20,40.0,0.2248
SAND/USDT,59,20,50.0,0.8474
YFI/USDT,60,20,50.0,-0.1959
FLR/USDT,65,20,40.0,0.4989
PYTH/USDT,62,19,52.63,-1.3996
XLM/USDT,66,19,57.89,11.1996
BAT/USDT,71,19,57.89,4.0446
MANA/USDT,68,19,47.37,-0.5231
LINK/USDT,68,19,42.11,0.9802
ONT/USDT,70,19,31.58,-2.335
TIA/USDT,58,19,47.37,2.8017
CELO/USDT,61,19,47.37,0.0164
PENDLE/USDT,38,18,61.11,-0.364
DOGS/USDT,45,18,50.0,-1.939
ARKM/USDT,47,18,55.56,0.0993
LQTY/USDT,55,18,44.44,-0.0649
AEVO/USDT,61,17,41.18,-2.4468
ENJ/USDT,67,17,23.53,-1.6062
HYPE/USDT,46,17,41.18,-0.4497
ZEC/USDT,38,17,35.29,3.227
LDO/USDT,54,17,41.18,-1.86
LRC/USDT,61,17,41.18,-1.6905
NEAR/USDT,61,17,35.29,-0.4095
DOT/USDT,69,16,43.75,-0.0898
G/USDT,58,16,37.5,-1.4833
STX/USDT,60,16,25.0,-3.4585
DGB/USDT,57,16,62.5,2.7708
AERGO/USDT,67,15,33.33,1.52
XRP/USDT,59,15,60.0,3.6873
KSM/USDT,58,14,57.14,4.5839
BOME/USDT,43,14,50.0,-0.0254
CRO/USDT,64,14,42.86,-1.7401
STORJ/USDT,65,14,57.14,2.6631
ALGO/USDT,65,14,50.0,1.8708
ZEN/USDT,36,12,33.33,-1.6948
EIGEN/USDT,30,12,58.33,-1.6447
NEIRO/USDT,31,11,9.09,-8.3637
DORA/USDT,52,10,40.0,35.8139
