symbol,vol_bars,n_trades,win_rate,avg_ret
LTC/USDT,228,86,61.63,1.1282
BCH/USDT,228,84,50.0,-0.002
STX/USDT,228,81,49.38,0.8376
NEAR/USDT,228,80,45.0,-0.3557
ICP/USDT,228,80,42.5,-1.0056
SNX/USDT,228,79,49.37,-0.1415
LDO/USDT,228,78,41.03,-2.6303
IMX/USDT,228,77,50.65,-1.2104
NEO/USDT,228,76,44.74,-1.075
PYTH/USDT,228,76,57.89,1.4805
UNI/USDT,228,76,55.26,0.5561
BAND/USDT,228,75,49.33,-1.0037
DYDX/USDT,228,75,56.0,0.0796
AXS/USDT,228,75,48.0,-0.309
YGG/USDT,228,75,48.0,-0.3724
FLR/USDT,228,74,47.3,1.4056
DOT/USDT,228,74,48.65,1.3515
STRK/USDT,228,74,55.41,-0.5985
ALGO/USDT,228,73,52.05,2.0931
TRX/USDT,228,73,50.68,0.2824
ILV/USDT,228,73,50.68,-0.2869
METIS/USDT,228,73,42.47,-1.3647
IOTA/USDT,228,73,45.21,-0.5206
SUI/USDT,228,72,48.61,-0.4284
ENA/USDT,199,72,38.89,-1.2093
ARB/USDT,228,72,40.28,-0.968
APT/USDT,228,72,40.28,-2.17
MINA/USDT,228,71,49.3,-0.1908
RVN/USDT,228,71,45.07,0.0594
RON/USDT,228,71,43.66,-0.6897
LINK/USDT,228,71,54.93,1.4905
ATOM/USDT,228,71,52.11,-0.0014
EGLD/USDT,228,71,47.89,0.5914
LRC/USDT,228,71,45.07,-0.464
CHZ/USDT,228,71,54.93,1.4349
THETA/USDT,228,70,45.71,-1.4664
ZIL/USDT,228,70,55.71,1.7867
ZETA/USDT,228,69,40.58,-0.5577
FET/USDT,228,69,53.62,1.2212
AEVO/USDT,228,69,47.83,-2.0313
TON/USDT,228,69,50.72,-0.2959
GRT/USDT,228,69,55.07,1.0486
ONT/USDT,228,68,47.06,0.3706
CORE/USDT,228,68,51.47,1.9645
AAVE/USDT,228,68,54.41,1.1713
ADA/USDT,228,68,63.24,3.7099
CELO/USDT,228,68,54.41,-0.002
ETC/USDT,228,67,55.22,-0.8685
ENS/USDT,228,67,50.75,-1.0026
JTO/USDT,228,67,38.81,-1.4178
FLOW/USDT,228,67,56.72,0.4527
W/USDT,228,67,38.81,-2.1669
LSK/USDT,228,67,50.75,-0.3076
ENJ/USDT,228,66,57.58,0.7916
COMP/USDT,228,66,62.12,2.6316
SSV/USDT,228,66,46.97,-1.1714
DOGE/USDT,228,66,39.39,-0.8769
ZK/USDT,226,66,45.45,-1.4179
FIL/USDT,228,66,46.97,-0.34
GALA/USDT,228,66,46.97,0.0098
AR/USDT,228,65,46.15,-0.5905
AVAX/USDT,228,65,58.46,1.3123
KNC/USDT,228,65,55.38,0.4768
ETHFI/USDT,228,65,43.08,0.0525
WLD/USDT,228,65,36.92,-2.0748
SAND/USDT,228,64,57.81,0.7135
HBAR/USDT,228,64,54.69,5.8117
UMA/USDT,228,64,46.88,-0.8738
CFG/USDT,228,64,57.81,0.7284
ORDI/USDT,228,64,43.75,-0.9732
ZRO/USDT,224,64,35.94,-3.1734
WIF/USDT,228,64,39.06,-2.3822
CRV/USDT,228,64,51.56,0.1642
ZRX/USDT,228,63,52.38,0.2238
ETH/USDT,228,62,46.77,-0.4054
BAT/USDT,228,62,50.0,0.2679
CRO/USDT,228,62,46.77,1.8007
XRP/USDT,228,62,51.61,1.5232
ICX/USDT,228,62,45.16,0.0048
ID/USDT,228,62,50.0,-0.5443
INJ/USDT,228,62,50.0,-0.6444
GMT/USDT,228,62,54.84,-0.3642
CELR/USDT,228,62,56.45,1.1656
APE/USDT,228,62,51.61,-0.7382
MANA/USDT,228,61,55.74,1.1439
BNB/USDT,228,61,49.18,0.217
ASTR/USDT,228,61,42.62,-2.442
BLUR/USDT,228,60,51.67,-0.6011
YFI/USDT,228,60,46.67,-0.1822
ONE/USDT,228,60,56.67,1.0795
WOO/USDT,228,60,46.67,-0.4417
1INCH/USDT,228,60,60.0,0.7296
TIA/USDT,228,60,61.67,2.2755
LQTY/USDT,228,59,45.76,-1.665
SKL/USDT,228,59,44.07,0.5464
TNSR/USDT,228,59,47.46,-0.9337
NOT/USDT,228,59,38.98,-1.5027
OP/USDT,228,59,50.85,0.9436
XLM/USDT,228,59,55.93,0.5157
BTC/USDT,228,59,50.85,0.5247
MEME/USDT,228,58,51.72,-0.365
MAGIC/USDT,228,57,42.11,-3.2957
JOE/USDT,228,57,54.39,0.9925
SUSHI/USDT,228,57,49.12,-0.2411
SOL/USDT,228,57,64.91,1.5327
DGB/USDT,228,57,63.16,2.7563
QTUM/USDT,228,56,50.0,0.0042
ACE/USDT,228,56,46.43,-2.0079
PHA/USDT,228,54,48.15,2.6163
TRB/USDT,228,53,50.94,0.1334
NMR/USDT,228,52,57.69,0.2789
JUP/USDT,228,52,51.92,1.8424
RENDER/USDT,199,51,45.1,-0.2261
PIXEL/USDT,168,50,44.0,-1.759
ONDO/USDT,185,49,59.18,2.7695
KSM/USDT,228,49,51.02,-0.1893
AGLD/USDT,228,49,59.18,0.8556
HYPE/USDT,151,48,60.42,2.5451
STORJ/USDT,228,47,48.94,-0.5521
ARKM/USDT,168,46,34.78,-2.7214
WIN/USDT,228,46,45.65,-2.3638
BOME/USDT,168,44,38.64,-3.1895
VIRTUAL/USDT,158,43,41.86,-0.6078
ZEC/USDT,131,38,52.63,2.4759
DOGS/USDT,157,36,25.0,-6.5767
SEI/USDT,141,33,39.39,-0.9895
ZEN/USDT,137,32,43.75,-2.2412
EIGEN/USDT,121,31,29.03,-4.7861
PENDLE/USDT,125,27,55.56,1.0057
DASH/USDT,129,24,29.17,-2.8145
NEIRO/USDT,100,24,25.0,-4.6982
PNUT/USDT,80,24,41.67,4.0201
SCR/USDT,87,20,35.0,-3.4282
FLOKI/USDT,228,20,35.0,-0.3727
ACT/USDT,77,19,42.11,-0.2358
GOAT/USDT,49,14,42.86,-1.4295
PENGU/USDT,44,14,35.71,-4.3093
ME/USDT,51,13,46.15,-2.2887
BONK/USDT,228,3,66.67,37.2234
